Questions,Correct,A,B,C,D
"This quote is from a novel which focuses on the myth of hedonism: ‘The only way to get rid of a temptation is to yield to it. Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful.’  Name the novel.", The Picture of Dorian Gray,Lady Chatterleys Lover,The Picture of Dorian Gray,A Portrait of the Artist As a Young Man,Ulysses
"The following quote is from a novel which describes a society, characterized mainly by the lack of freedom: ‘Freedom is the freedom to say that two plus two make four. If that is granted, all else follows.’  Name the novel.", 1984,A Good man in Africa,1984,Lord of the Flies,Heart of Darkness
"The main character from this literary work by Philip Roth addresses the following words to his domineering and meticulous Jewish mother: ‘Because to be bad, Mother, that is the real struggle: to be bad and to enjoy it. That is what makes men of us boys.’", Portnoys Complaint,Portnoys Complaint,My Life As a Man,The Sun Also Rises,The Catcher in the Rye
"In this novel, with the following sentences, David Lodge sums up the fact that his Catholic characters ceased to believe in the existence of hell: ‘At some point in the nineteen-sixties, Hell disappeared. No one could say for certain when this happened. First it was there and then it wasn’t.", How Far Can You Go,The Remains of the Day,How Far Can You Go,The Bloody Chamber,The Silence in the Garden
"The following quote is from a literary work by Kurt Vonnegut in which the characters search for an important and dangerous substance called ‘ice-nine’: ‘Beware of the man who works hard to learn something, learns it, and finds himself no wiser than before. He is full of murderous resentment of people who are ignorant without having come by their ignorance the hard way.’  Name the literary work.", Cats Cradle,Breakfast of Champions,Cats Cradle,Catch-22,Slaughterhouse 5
"The following speculation is from a novel set in the gloomy Fen Country of East Anglia: ‘Realitys not strange, not unexpected. Reality doesnt reside in the sudden hallucination of events. Reality is uneventfulness, vacancy, flatness. Reality is that nothing happens. How many of the events of history have occurred, ask yourselves, for this and for that reason, but for no other reason, fundamentally, than the desire to make things happen?’  Can you name the novel?", Waterland,Times Arrow,Last Orders,Waterland,Sugar and Rum
"This quote is from a novel by Somerset Maugham, which tells the story of a young man searching for the meaning of life:  ‘It is an illusion that youth is happy, an illusion of those who have lost it; but the young know they are wretched, for they are full of the truthless ideals which have been instilled into them and each time they come in contact with the real they are bruised and wounded.", Of Human Bondage,Of Human Bondage,Theatre,Sons and Lovers,Dombey and Son
"In this novel, the following words are said by the protagonist, Isadora Wing, who is in pursuit of liberation: ‘I was nobody’s baby now. Liberated. Utterly free. It was the most terrifying sensation I’d ever known in my life. Like teetering on the edge of the Grand Canyon and hoping you’d learn to fly before you hit the bottom.", Fear of Flying,A Good Man Is Hard to Find,Editha,Tropic of Cancer,Fear of Flying
"This is a quote from a novel in which the action takes place in a mental institution: ‘You have to laugh at the things that hurt you just to keep yourself in balance, just to keep the world from running you plumb crazy.’  Name the novel.", ‘One Flew Over the Cuckoo’s Nest’,‘One Flew Over the Cuckoo’s Nest’,Lost in the Funhouse,Something Happened,The Winter of Our Discontent
"After Dr. Seuss used 236 different words to write The Cat in the Hat, his publisher, Bennett Cerf, bet $50 that Seuss could not write a book of only fifty words. Seuss won the bet with this book in 1960.", Green Eggs and Ham,Hop on Pop,Theres a Wocket in My Pocket!,Green Eggs and Ham,One Fish Two Fish Red Fish Blue Fish
"Published in January 1990, this is the last book written and illustrated by Dr. Seuss. In the US, its a popular graduation gift."," Oh, the Places Youll Go!",My Book about ME,I Am NOT Going to Get Up Today!,"Oh, the Places Youll Go!",Fox in Socks
The plot of this 1984 Seuss satire has been likened to the war between Blefuscu and Lilliput in Jonathan Swifts Gullivers Travel and their war over which end of an egg is supposed to be cracked., The Butter Battle Book,The Butter Battle Book,Oh Say Can You Say?,Green Eggs and Ham,Theres a Wocket in My Pocket!
"Published in 1937, this is Dr. Seusss first book. Its main character Marco is based on Marco McClintock, the son of Mike McClintock, Seuss editor, and Helene McClintock, to whom he dedicated the book.", And to Think That I Saw It on Mulberry Street,Theres a Wocket in My Pocket!,And to Think That I Saw It on Mulberry Street,Horton Hatches the Egg,The Cat in the Hat
In this 1954 Dr. Seuss book the moral of the story (and a repeated phrase throughout the book) is: a persons a person no matter how small. This was the first of two Seuss books starring this kind-hearted elephant., Horton Hears a Who!,Hop on Pop,Theres a Wocket in My Pocket!,Horton Hears a Who!,Hooper Humperdink...? Not Him!
"This 1971 Dr. Seuss book about a mossy,  bossy creature, the Once-ler and the Truffula trees has been banned by some schools and libraries for its anti-forestry industry content.", The Lorax,The Butter Battle Book,Horton Hears a Who!,Fox in Socks,The Lorax
"What book by Dr. Seuss contains the quote: When a Fox is in the bottle where the Tweetle Beetles battle with their paddles in a puddle on a noodle-eating poodle, THIS is what they call......a Tweetle Beetle Noodle Poodle Bottled Paddled Muddled Duddled Fuddled Wuddled Fox In Socks, Sir!?", Fox in Socks,The 500 Hats of Bartholomew Cubbins,If I Ran the Circus,Fox in Socks,"Oh, the Places Youll Go!"
Voyage of the Dawn Treader was written by this author., C S Lewis,T S Elliot,C S Lewis,Lewis Carrol,Brothers Grimm
This famous childrens poet wrote Where the Sidewalk Ends and The Giving Tree., Shel Silverstien,Dr Seuss,none of these,Lewis Carrol,Shel Silverstien
"Dante Alighieri (1265-1321) probably began this work in 1306. Its first canto begins with: Midway upon the journey of our life I found myself within a forest dark, for the straightforward pathway had been lost.", The Divine Comedy,Troilus and Cressida,The Divine Comedy,The Decameron,Gargantua and Pantagruel
The Canterbury Tales is a collection of stories written by Geoffrey Chaucer. It recounts the tales told by individuals on a pilgrimage to the shrine of Saint Thomas Becket at Canterbury Cathedral. Which of the following was not a character in this work?, Tax Collector,Physician,Reeve,Tax Collector,Yeoman
"In the novel Don Quixote by Spanish author Miguel de Cervantes Saavedra, who is the witty squire and companion to Alonso Quixano?", Sancho Panza,Aldonzo Lorenzo,Antonio de la Gandara,Che Guevara,Sancho Panza
"In this tragic play by William Shakespeare, three witches tell a general in the army of King Duncan that he will never be vanquishd until Great Birnam wood to high Dunsinane Hill shall come against him.", Macbeth,The Tempest,Macbeth,Hamlet,Titus Andronicus
"This 1971 novel by Anthony Burgess relates the story of a fifteen-year-old boy named Alex, who, with his gang members (known as droogs) roam the streets at night, committing violent crimes for enjoyment.", A Clockwork Orange,Helter Skelter,A Clockwork Orange,Fahrenheit 451,Catcher in the Rye
"The famous line In the room the women come and go, talking of Michelangelo is from the poem The Love Song of J. Alfred Prufrock by this influential 20th century poet.", T. S. Eliot,W. H. Auden,Robert Browning,Robert Frost,T. S. Eliot
"This great work of Russian literature by Fyodor Dostoevsky features the character Raskolnikov, an impoverished St. Petersburg student who kills an unscrupulous pawnbroker.", Crime and Punishment,Dead Souls,And Quiet Flows the Don,The Brothers Karamazov,Crime and Punishment
"This novel by Charles Dickens, published in 1850, is considered his most autobiographical. It begins with: Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show. Characters include Wilkins Micawber and Uriah Heep.", David Copperfield,Great Expectations,David Copperfield,A Tale of Two Cities,Bleak House
As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect is the opening line to this famous work of German fiction by Franz Kafka., The Metamorphosis,The Metamorphosis,Thus Spoke Zarathustra,As I Lay Dying,Heart of Darkness
"This novel by Charlotte Brontë includes the character Mr. Rochester, whose wife is a violent lunatic.", Jane Eyre,Jane Eyre,Wuthering Heights,A Room with a View,The Turn of the Screw
"Fifteen men on the dead mans chest— Yo-ho-ho, and a bottle of rum! is a famous line from Treasure Island, a novel by this author published in 1883.", Robert Louis Stevenson,James Fenimore Cooper,Robert Louis Stevenson,Ralph Waldo Emerson,William Makepeace Thackeray
"Death be not proud, though some have called thee mighty and dreadfull, for, thou art not so is a portion of a work by this poet who lived from 1572-1631.", John Donne,John Milton,John Donne,Lord Byron,William Blake
"In what 1851 novel would you find the characters Ishmael, Captain Ahab, Queequeg and Starbuck?", Moby Dick by Herman Melville,Voyage of the Dawn Treader by C. S. Lewis,Heart of Darkness by Joseph Conrad,Moby Dick by Herman Melville,The Jungle by Upton Sinclair
"This early Anglo-Saxon work, possibly from the 800s, features the antagonist Grendel, a descendant of Cain who invades the mead-hall of the Danes and eats the men within. The title character ultimately beheads Grendel and keeps it as a trophy.", Beowulf,Oedipus Rex,Morte Arthure,Beowulf,Epic of Gilgamesh
"In Stephen Kings novel Bag of Bones, what is the location of the Noonans summer home?", Sarah Laughs,Sarah Laughs,Black House,Parilloud,Lewiston
What is the name of Dolores Claibornes wealthy employer in the Stephen King novel Dolores Claiborne?, Vera Donovan,Jamie ONeal,Selena Cook,Joe St. George,Vera Donovan
"In the horror novel Misery, Annie Wilkes was referred to by the newspapers as what?", The Dragon Lady,The Dragon Lady,The Baby Slayer,The Black Widow,Misery
What is Stephen Kings first published novel?, Carrie,Salems Lot,Carrie,The Stand,The Shining
What novel did Stephen King and Peter Straub co-author in 1983?, The Talisman,Twilight Eyes,The Talisman,Black House,Shadowland
"In the novel Pet Semetary, what is the name of the Creeds cat that is buried and returns to life?", Church,Jud,Church,Gage,Louis
Who fell into the lake?, Dennis,Neville,Colin,Hermione,Dennis
Goblet of Fire started a series of deaths in the books. Who died in Goblet of Fire?, Cedric Diggory,Wormtail,Padfoot,Dumbledore,Cedric Diggory
"How long does Dudleys tongue become, after eating Fred and Georges candies, in the fourth book of the Harry Potter series?", 1 ft.,1 ft.,2 ft.,2.5 ft.,3 ft.
"In chapter 24 of book 5, what breaks Snapes attempt to use Legilimency on Harry Potter?", The vision of Cedrics dead body,"Fluffys attack on Harry, Hermione and Ron",The vision of Cedrics dead body,Voldemorts re-birth,The Dementors kiss on Sirius
"In 2000, Alice Randall wrote a new version of Gone With the Wind in which the story is told from the point of view of the slaves. What was the name of this novel?", The Wind Done Gone,Scarletts Troubles,Went With the Wind,The Wind Done Gone,Tomorrow Aint  Another Day
"In 1962, the best known music theme from the movie Gone with the Wind often called Taras Theme, was made into a hit record on the pop charts. Which group had a 1962 hit with My Own True Love?", The Duprees,The Coasters,The Dovells,The Duprees,The Shangri-Las
Who portrayed Ashley Wilkes in the popular movie Gone with the Wind?, Leslie Howard,Gary Cooper,Groucho Marx,Leslie Howard,Voctor Jory
"Excluding the opening music, the intermission, and exit music, how long does the movie Gone with the Wind run?", 222 minutes,148 minutes,127 minutes,180 minutes,222 minutes
Three men are given credit as directors of the movie Gone with the Wind. Which one of the following directors is not among them?, Raoul Walsh,Sam Wood,Raoul Walsh,George Cukor,Victor Fleming
The producer of the movie Gone with the Wind was short of money and needed a male lead. With whom did he make a deal?, With his father-in-law,With his father-in-law,With Columbia Films,With his father,With  United Artists
Which novel by Ernest Hemingway was published in Great Britain under the title Fiesta?, The Sun Also Rises,Death in the Afternoon,A Farewell to Arms,The Sun Also Rises,For Whom the Bell Tolls
"Which 1929 novel narrates the decline of the distinguished Southern family, the Compsons?", The Sound and the Fury by William Faulkner,East of Eden by John Steinbeck,The Sound and the Fury by William Faulkner,Manhattan Transfer by John Dos Passos,This Side of paradise by F. Scott Fitzgerald
The 1961 publication of this sexually explicit novel led to an obscenity trial in the USA., Tropic of Cancer,Naked Lunch,Tropic of Cancer,A Spy in the House of Love,On the Road
"Which novel, set in the Great Depression of the 1930s, won the the Pulitzer Prize in 1940?", The Grapes of Wrath,The Naked and the Death,Tortilla Flat,An American Tragedy,The Grapes of Wrath
Which of the following is not a character depicted by Joseph Heller in his anti-war novel Catch-22?, Papa Monzano,Papa Monzano,Major Major Major Major,Chief White Halfoat,Dunbar
Humbert Humbert is the protagonist and narrator of which 1955 novel?, Lolita,Lolita,The Awakening,In Cold Blood,Something Happened
Which of these novels is not part of the popular Rabbit series written by John Updike?, Rabbit in Love,Rabbit Redux,Rabbit in Love,"Rabbit, Run",Rabbit Is Rich
"Which author was not a reperesentative figure of the Harlem Renaissance, an African American cultural movement of the 1920s and early 1930s?", Carl Sandburg,Carl Sandburg,ZoraNeale Hurston,Countee Cullen,Langston Hughes
"Who wrote the semi-autobiographical novel Junkie, which gives an account of the lifestyle of heroin addicts in the early 1950s?", William S. Burroughs,Jack Kerouac,Philip Roth,Saul Bellow,William S. Burroughs
"In this book, a man loses his memory during the war, falls in love and marries, then hits his head and remembers his former life, forgetting his wife completely.", Random Harvest,Random Harvest,The Razors Edge,Round the Bend,For Whom the Bell Tolls
This novel tells the story of a man that meets his double and changes identities with him., The Scapegoat,Body Double,Dead Ringers,The Scapegoat,The Silent Partner
"A man who searches for inner peace, finally finding it by the side of a river is the protagonist of this 1922 German novel.", Siddhartha,A River Runs Through It,On the Beach,In Search of the Miraculous,Siddhartha
"In this book, a man says that he will stop the motor of the world. He does so by removing the creative and visionary leaders from society one by one, tempting them to come live in an utopian society in the wilderness.", Atlas Shrugged,Giant,Utopia,Heart of Darkness,Atlas Shrugged
The main character of this novel can make people disappear from existence with an effort of will., Stranger in a Strange Land,Steppenwolf,Stranger in a Strange Land,The Mote in Gods Eye,When the Bough Breaks
"In this novel, the son of a wealthy man is obsessed with creating more wealth, in a subconscious desire to rebel against his father. In the end, he discovers that he has become his father. During his life, he invests in airplanes and movies, among other things. He has many affairs with beautiful women along the way.", The Carpetbaggers,The Carpetbaggers,L.A. Confidential,Valley of the Dolls,The Tycoon
"Electrodes are implanted into the brain of this book’s protagonist in an effort to cure his seizures. But the electrodes fire too often, making him go on a murderous rampage.", The Terminal Man,The Electric Michelangelo,Altered States,The Electric Kool-Aid Acid Test,The Terminal Man
A mild-mannered coward is enlisted to help a group of hardened criminals pull off a museum theft in this 1962 English novel., The Light of Day,The Light of Day,The House on the Strand,The Empty Copper Sea,The Boomerang Heist
"In this novel, an adult man is obsessed with a teenage girl.", Lolita,Obsession,Rebecca,Lolita,Studio Sex
This book tells the story of a pilot and a scientist on an air expedition to Greenland who have separate dreams of being two long-dead lovers., An Old Captivity,Eaters of the Dead,An Old Captivity,The Interpretation of Dreams,Lost Horizon
Name the movie that ends with the following line: Louis. I think this is the beginning of a beautiful friendship., Casablanca,Casablanca,The African Queen,The Maltese Falcon,Sahara
Which movie ends with these lines:  Yes! Yes! I believe it. I believe it because I want  to believe it. Gentlemen I give you a toast. Heres my hope that Robert Conway will find his Shangri-La. Heres my hope that we all find our Shangri-La.?, Lost Horizon,Jane Eyre,Wuthering Heights,Lost Horizon,Green Mansions
"So we beat on, boats against the current, borne back into the past. was  the last line in a book by this  author.", F. Scott Fitzgerald,Herman Melville,F. Scott Fitzgerald,Werner Herzog,Thomas  Hardy
Mother of Mercy! Is this the end of Rico? is the  last line of this great movie., Little Ceasar,Little Ceasar,The Great Santini,Carlitos Way,Midnight Cowboy
"Which Shakespearean play ends with this line: So thanks to all at once and  to each one, Whom we invite to see us crowned at Scone.", Macbeth,"Henry IV, Part I",Hamlet,Macbeth,Othello
Which great movie ends with this line: Victory is Ours!?, Duck Soup,Dr. Strangelove,Duck Soup,The Battleship Potempkin,The Great Dictator
"Which great movie ends with this line: The, uh, stuff that dreams are made of. Huh?", The Maltese Falcon,Casablanca,The Maltese Falcon,Sahara,Citizen Kane
"Which great movie ends with these lines: O-Lan, you are the Earth.?", The Good Earth,The Day the Earth Stood Still,Green Mansions,The Good Earth,Lost Horizon
Which movie ends with these lines: Hello everybody. This is Mrs. Norman Maine.?, A Star is Born,Citizen Kane,A Star is Born,Radio Star,A Day at the Races
"This movie is about a drifter, who works for a cruel boss at a textile mill, and comes across a mutated rat with no eyes or legs.", Graveyard Shift,Cats Eye,Sometimes They Come Back,Pet Sematary,Graveyard Shift
"This actress played the little girl, Amanda, in the horror movie Cats Eye.", Drew Barrymore,Drew Barrymore,Alyssa Milano,Molly Ringwald,Patricia Benson
"This Stephen King movie is about Jack Torrance, a writer who takes a job as a caretaker for the Overlook Hotel.", The Shining,Misery,Rose Red,Pet Sematary,The Shining
What animal was the main character in the horror movie Cujo?, Dog,Snake,Alligator,Cat,Dog
What actress plays Annie Wilkes in the movie Misery?, Kathy Bates,none of these,Terri Garr,Cheryl Ladd,Kathy Bates
Which novel by Charles Dickens is generally regarded as the first Victorian novel?, The Pickwick Papers,Dombey and Son,The Pickwick Papers,David Copperfield,Barnaby Rudge
This highly symbolic story by Polish-born novelist Joseph Conrad served as a base for the movie Apocalypse Now., Heart of Darkness,Lord Jim,The Shadow Line,An Outcast of the Islands,Heart of Darkness
"Which novel by Thomas Hardy had the subtitle A Pure Woman, which shocked Victorian readers?", Tess of the dUrbervilles,Tess of the dUrbervilles,The Hand of Ethelberta,The Return of the Native,Emma
"Which of the Bronte sisters wrote Shirley, a novel set in Yorkshire during the industrial depression?", Charlotte,Emily,Charlotte,Elizabeth,Anne
"Which list contains the names of the Bennet sisters, depicted by Jane Austin in Pride and Prejudice?"," Elisabeth, Jane, Lydia, Kitty, Mary","Cathrine, Jane, Lydia, Kitty, Mary","Elizabeth, Ann, Lydia, Kitty, Mary","Charlotte, Elizabeth, Emily, Mary, Kitty","Elisabeth, Jane, Lydia, Kitty, Mary"
Which of these literary works was written in the form of a long letter while the author was in prison?, De Profundis,De Profundis,A Room with a View,The Canterville Ghost,The Importance of Being Earnest
