Questions,Correct,A,B,C,D
This American city used to be called  El Pueblo de Nuestra Senora la Reina de (blank) de Porciuncula., Los Angeles,Las Vegas,New York,Los Angeles,Kansas
"This East European capital city is famous for its wide, tree-lined boulevards and glorious Belle Epoque buildings. Some call it Little Paris because of these buildings."," Bucharest, Romania","Belgrade, Serbia","Sofia, Bulgaria","Athens, Greece","Bucharest, Romania"
The famous Forbidden City located in this Chinese city., Beijing,Fujian,Beijing,Guangdong,Yunnan
This Indian city was the capital of Mogul sovereigns from 1526 to 1658.  Its most notable building is the Taj Mahal., Agra,Agra,Varanasi,Mumbay,Jaipur
"Indian city again. This one, founded in 1727 AD  is known as The Pink City and is often visited by honeymooners.", Jaipur,Delhi,Jaipur,Bengal,Agra
"In close proximity to this Italian city are the famous ruins of Pompeii, which once was a thriving town for wealthy Romans. The city of Pompeii was destroyed in the cataclysmic eruption of Mount Vesuvius in 79 AD.", Naples,Bologna,Venice,Naples,Rome
"This city is famous for the fact, that a living goddess dwells there.  She is a young girl by the name of Kumari,  believed to have appeared in the 18th century.", Katmandu,Tansen,Kurari,Pokhara,Katmandu
"The name of this 5th largest city in North America originates from a Mohawk word, meaning where there are trees standing in the water.", Toronto,Toronto,Quebec,Montreal,Ottawa
The name of this city means the capital in the native language.  It is the capital of South Korea., Seoul,Seoul,Taegu,Taejeon,Pusan
"This state, officially nicknamed The Golden State, is situated in the southern half of the west coast of the USA.", California,Florida,Utah,California,Miami
This mid-Atlantic state is called The First State due to the fact that it was the first to ratify the US Constitution., Delaware,Columbia,Georgia,Maine,Delaware
"Widely known for huge gambling and the legalization of gambling industry, this states official nickname is The Silver State.", Nevada,Kansas,Nevada,Florida,Alaska
"Due to its natural beauty and relative wilderness, this Southern state is called The Natural State.", Arkansas,Arkansas,Alabama,Alaska,Arizona
This state of the New England region of the United States has the nicknames Pine Tree State and Vacationland., Maine,Michigan,Maryland,Massachusetts,Maine
Which Southern state of the United States has a nickname The Magnolia State and a name that is the same as that of a big river?, Mississippi,South Dakota,Mississippi,South Carolina,Colorado
"This state, located in the mid-Atlantic region of the USA, has a capital called Trenton and is usually nicknamed The Garden State.", New Jersey,Wyoming,New Jersey,Rhode Island,Maine
"Nicknamed after the international park located in it, this state is often called The Peace Garden State.", North Dakota,North Dakota,Oregon,South Dakota,Tennessee
"What is the real name of the Evergreen State, situated in the Pacific Northwest of the United States.", Washington,Pennsylvania,New Jersey,Massachusetts,Washington
This small Mountain Sate is located in the region of Appalachia in the Eastern parts of the USA., West Virginia,New Jersey,Pennsylvania,East Virginia,West Virginia
"This country, a victor in both World War I and World War II is the largest West European nation.", France,Spain,United Kingdom,France,Germany
"After multiple agreements between 1772 and 1795, Russia, Prussia, and Austria divided this central European country among themselves.  It finally regained its independence in 1918.", Poland,Slovakia,Belarus,Germany,Poland
"This Central America country, slightly smaller than South Carolina, withdrew from Colombia in 1903 with the help of US support.", Panama,Chile,Panama,Ecuador,Venezuela
"In 1895, military defeat forced China to cede this country to Japan. China re-gained control after World War II.", Taiwan,Thailand,Hong Kong,Singapore,Taiwan
"This kingdom was a founding member of NATO and the EU.  It remained neutral during World War I, but was invaded and occupied by Germany during World War II.", Netherlands,Denmark,Switzerland,Netherlands,Belgium
"This island country tried to gain its independence from Spain in 1821, but was conquered and ruled by the Haitians for 22 years.  It finally became independent in 1844.", Dominican Republic,Peru,Chile,Dominican Republic,Costa Rica
"This independent country, located in Southeastern Asia was first colonized by Portugal in the 16th century.  Between 1976 and 1999 it was a provice of Indonesia.", East Timor,Brunei,Myanmar (formerly Burma),East Timor,Philippines
"This Southeast European country allied with the Axis powers and participated in the 1941 German invasion of the USSR.  In 1947, overrun by the Soviets, it bacame a Communist peoples republic.", Romania,Hungary,Yugoslavia,Slovenia,Romania
"This powerful world empire of the 16th and 17th centuries borders Andorra, France, Gibraltar, Portugal and  Morocco.", Spain,France,Tunisia,Algeria,Spain
"Frances conquest of this country began in 1858 and was completed by 1884.  Independence was declared after World War II, but the French continued to rule until 1954.", Vietnam,Tunisia,Morocco,Vietnam,Algeria
"Who is the little brother of Ralphie, the main character of A Christmas Story?", Randy,Rascal,Rudy,Rocky,Randy
"In the movie A Christmas Story, which of Ralphies friends gets his tongue stuck to a pole?", Flick,Scutt,Schwartz,Grover,Flick
What does Ralphies dad win in A Christmas Story?, Womans Leg Lamp,Womans Leg Trophy,Womans Leg Lamp,Womans Leg Can Opener,Womans Leg Statue
"In A Christmas Story which famous piece of music always played in the background, when the bully and his minion entered a scene?", Peter and the Wolf,Ode to Joy,William Tell Overture,Pachelbels Canon,Peter and the Wolf
What present does Ralphie want more than anything in the film A Christmas Story?, Red Ryder BB Gun,Slingshot,Bow and Arrow,Red Ryder BB Gun,Brandywine Cannon
Where do the Parkers end up having Christmas dinner in the film A Christmas Story?, Chinese Restaurant,Chinese Restaurant,Goldblatts Department Store,The Bumpass,Griffith
What favorite television show did the film A Christmas Story inspire?, The Wonder Years,That 70s Show,Full House,Happy Days,The Wonder Years
"Christmas is the Christian holiday that celebrates the birth of Christ.  Christ was born in this city, according to the Bible.", Bethlehem,Nazareth,Jerusalem,Bethlehem,Rome
"In the United Kingdom, what holiday is December 26th?", Boxing Day,Perihelion,Boxing Day,Candlemas,St Patricks Day
"The origins of the widespread tradition of decorating a Christmas tree can be traced back to the 16th century, in this country.", Germany,The United States,France,Russia,Germany
"For Catholics, Protestants and most Orthodox Christians, the 25th of December is celebrated as Christmas. However, the Jerusalem, Russian, Coptic, Serbian and Georgian Orthodox churches celebrate the birth of Jesus on this date.", January 7,December 31,February 15,January 7,November 25
The burning of the Yule Log is one of many Christmas traditions that come from the Yule festival. Do you know what this tradition symbolizes?, The returning light,The mortality of humans,The returning light,The Holy Spirit,The life-cycle
"Jingle Bells, undoubtedly one of the most famous Christmas songs in the world, was written in 1857 by this person.", James Pierpont,Joyce Ballantyne,Iza Trapani,Haddon Sundblom,James Pierpont
Three of these names are of reindeers of Santa Claus. Which is the odd one?, Clement,Comet,Rudolph,Clement,Donder
"Even though Jack Nicholson and Eddie Murphy were considered for the role of the Grinch in the 2000 movie, How the Grinch Stole Christmas, this man was the one who played the part.", Jim Carrey,Al Pachino,Jim Carrey,Danny DeVito,Eddie Griffin
"Known as the Triumphant City, this place is one of the largest urban settlements which features both Christian and Islamic monuments.", Cairo,New York,Moscow,Lima,Cairo
"The biggest mosque in India, called Jama Masjid, is situated in this city, which is considered the heart of the country.", Delhi,Jaipur,Delhi,Bombay,Calcutta
"What is the capital of the biggest Muslim-majority country, which is officially not a city but a province?", Jakarta,Jakarta,Ankara,Kairo,Istanbul
"This city originated from a Muslim settlement near the Pasig River in a country, which was a colony of Spain for almost three centuries.", Manila,Lima,Afghanistan,Seoul,Manila
"This city is located in the province Sindh in Pakistan, on the cost of the Arabian Sea.", Karachi,Beijing,Hanoi,Karachi,Sydney
"This big city, originally named Naniwa, is famous for a huge aquarium called Kaiyukan.", Osaka,Osaka,Seoul,Kobe,Delhi
Which big capital city is famous for being the site of the magnificent Saint Basils Cathedral?, Moscow,Dhaka,London,Moscow,Paris
"This Latin Amrican city, known also as the City of the Holy Trinity, is located on the southern shore of the Río de la Plata.", Buenos Aires,Buenos Aires,Lima,Mexico City,Sacramento
This city is situated at the foot of the Alborz mountain range and one of its most famous landmarks is the Azadi Tower., Tehran,Shanghai,Lagos,Calcutta,Tehran
"Which city, known as the City of Light, was originally called Lutetia in Latin?", Paris,Paris,London,Rome,Vienna
Who was the first person to sign the the United States Declaration of Independence?, John Hancock,John Adams,Benjamin Franklin,Thomas Jefferson,John Hancock
In 1776 America declared independence from what country?, Great Britain,Spain,Great Britain,Mexico,France
Where did the first people on North America cross to get to America?, Beringa,The Atlantic Ocean,The Pacific Ocean,Theajs,Beringa
What country gave the Statue of Liberty to America?, France,Italy,France,Great Britain,Spain
What was the first state to ratify the US Constitution and therefore the first state of the United States of America?, Delaware,Delaware,New Jersey,Pennsylvania,New York
Who was the first American on the moon?, Neil Armstrong,Buzz Aldrin,John Young,Michael Collins,Neil Armstrong
What year was the classic Christmas movie “It’s A Wonderful Life released?, 1946,1941,1939,1946,1955
"In the classic Christmas movie “It’s A Wonderful Life,” what is the name of the town that George Bailey lives in?", Bedford Falls,Junction City,Bedford Stuyvestant,Bedford Falls,Middle Village
"In the movie “It’s A Wonderful Life,” what is the name of the guardian angel that looks after George in his time of need?", Clarence Oddbody,Sam Wainright,Carl Switzer,Clarence Oddbody,Bartleby
"In the classic movie “It’s A Wonderful Life,” George and Mary were at the gym dancing in a contest. What kind of contest was it?", Charleston,Charleston,Waltz,Tango,Hop
What was the name of George Baileys fathers business in the movie “It’s A Wonderful Life”?, Bailey Building  Loan,Bailey Bonds,Loans Are Here,Bailey Building  Loan,Mitchell Gs Rent A Buck
"In “It’s A Wonderful Life, George wanted to escape the horrors of Pottersville. He went to a bridge and was about to jump in the water when he realized that he wanted to live, and asked Clarence for a second chance, saying he wanted to go home to his family. After Clarence granted him his wish, he ran into the neighborhood police officer and asked “do you know me? What was the name of this police officer?", Bert,Johnny,Bert,Szuna,Ernie
"In the classic movie Its A Wonderful Life, George Bailey is deaf in one ear. How did he become deaf?", He jumped into a pond saving his brother.,He jumped into a pond saving his brother.,He was born deaf in one ear,Car accident,Boating accident
"At the end of “It’s A Wonderful Life, Harry Bailey made a toast to the richest man in town. Who was he referring to when he made this toast?", His brother George,Mr. Beckwith,His brother George,Uncle Billy,Mr. Potter
"The Lao Peoples Democratic Republic, a landlocked country in southeast Asia, neighbouring China, Vietnam, Cambodia, and Thailand, was previously known by the name of Lan Xang, which means what translated in English?", Land of a million elephants,Land of a million elephants,Holy land,Land of great valleys,Land of abundance
"Brunei is a small country (about 5,700 km² in area,) situated on the island of Borneo, in Southeast Asia. Brunei borders only one country, which one?", East Malaysia,Myanmar,Sri Lanka,East Malaysia,Indonesia
"The economy of the southern African republic of Botswana was formerly dependent on export of live cattle and meat, but since late 1960s, the mining industry has taken over.  Which of these natural resources is Botswana a significant exporter of?", Diamonds,Diamonds,Limestone,Coal,Iron
"The State of Qatar, an emirate in the Middle East with substantial oil and natural gas deposits, is located on a small peninsula (The Qatari peninsula), in which of these bodies of water?", Persian Gulf,The Gulf of Aden,Caspian Sea,Persian Gulf,Arabian Sea
"Burma, the former name of this Southern Asian republic, was changed by the military government which took over political authority in 1988. Nevertheless, Burma is still often used to refer to this country.", Myanmar,Laos,Brunei,Myanmar,East Timor
"Lying near the equator, the Republic of Suriname is a country with a tropical climate, swampy coastal plains, broad savannas, and densely forested areas, located on what continent?", South America,Europe,Asia,South America,Africa
"Geographically, Azerbaijan is a country situated at the crossroads of Europe and Southwest Asia, between what two major water basins?", Caspian Sea and Black Sea,The Persian Gulf and Caspian Sea,Red Sea and the Indian Ocean,Mediterranean Sea and Black Sea,Caspian Sea and Black Sea
"This island country, whose national motto is Te Mauri, Te Raoi ao Te Tabomoa (Health, Peace, and Prosperity), has its territory situated in both hemispheres.", Kiribati,Kiribati,Zambia,Kuwait,Tuvalu
"The Independent State of Samoa is a country comprising a group of islands in the South Pacific Ocean, known as the Navigators Islands until the beginning of the 20th century, due to its inhabitants excellent seafaring skills. What is the main religion of the majority of the Samoans?", Christianity,Islam,Hinduism,Christianity,Buddhism
This southern African constitutional monarchy is entirely surrounded by the Republic of South Africa., Lesotho,Sierra Leone,Togo,Lesotho,Uganda
"389 sq. km (150 sq. miles) is the entire territory of this country, situated in the Caribbean. Agriculture is the most important sector of its economy, more specifically, bananas.", Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St. Kitts and Nevis,Maldives,Barbados
"This 316 sq. km (122 sq. miles) country is an island south of Italy.  It has no mountains or rivers. Its university is one of the oldest in the world, founded in 1592.", Malta,Palau,Malta,Maldives,Tuvalu
"This country is comprised of 1190 coral islands southwest of the southern tip of India. They constitute 300 sq. kilometers (115 sq. miles). The official language is Dhivehi, but English is also spoken.", Maldives,Haiti,Maldives,Seychelles,Polynesia
"This country, situated in the eastern Caribbean, stretches over 261 sq. km. (104 sq. miles). The two islands were first settled by the British in 1623 and gained their autonomy in 1967. Independence came in 1983.", Saint Kitts and Nevis,San Marino,Seychelles,Nauru,Saint Kitts and Nevis
"Situated in central Europe, this country takes up 160 sq. km. (62 sq. miles). It is a famous winter resort, also known for its low tax rates.", Liechtenstein,Liechtenstein,Vatican City,San Marino,Monaco
"This country is an enclave in central Italy. Its territory is 61.2 sq. km. (24 sq. miles). It claims to be the worlds oldest republic still in existence, founded in 301 A.D.", San Marino,Vatican City,Palau,Seychelles,San Marino
"This Pacific country lies on 26 sq. km. (9 sq. miles). It stands between Hawaii and Australia, its name meaning Eight Standing Together in the local language.", Tuvalu,San Marino,Vatican City,Tuvalu,Seychelles
"The former name of this 21 sq. km. (8.5 sq. miles) country was Pleasant Island. This is the smallest republic in the World, situated in the Central Pacific west of Kiribati.  A hundred years of phosphate mining has devastated four-fifths of the land area.", Nauru,Seychelles,Palau,Nauru,Tuvalu
This 1.95 sq. km. (0.7 sq. miles) country is a famous constitutional monarchy.  It relies largely on foreign currency for an economic base. There are no farms and the main industry is tourism., Monaco,Barbados,Monaco,Andorra,Antigua
This is the worlds smallest country with a territory of only 0.44 sq. km. (0.2 sq. miles) and population of 921 people. It is considered the capital of all Catholics and is ruled by the Pope., Vatican,San Marino,Tuvalu,Monaco,Vatican
Leave the driving to us! was a phrase advertising which company?, Greyhound,Pan Am Airlines,Amtrak,Greyhound,Hertz
