Questions,Correct,A,B,C,D
How many different chemicals can be found in marijuana?, More than 400,150,Less than 5,More than 400,200
"By amending its Opium Act in 1976, the government of which country decided to treat possession of up to 30 grams of marijuana as an activity not for prosecution, detection or arrest?", Holland,Columbia,Holland,Canada,USA
"What US state enacted Proposition 215, the Compassionate Use Act, which allowed sick and dying patients to legally use marijuana for medicinal purposes?", California,Alabama,Hawaii,California,Ohio
"The sphygmomanometer is a device invented by Samuel Siegfried Karl Ritter von Basch, used to measure what?", Blood pressure,Blood pressure,Myopia,Intensity of headaches,Heart murmurs
"This disorder, from a Greek word meaning failure to put in order, is characterised by lack of muscular coordination, and often occurs when parts of the nervous system which control movement are damaged.", Ataxia,Narcolepsy,Dyslexia,Hyperkinesis,Ataxia
This disorder is the abnormal accumulation of cerebrospinal fluid in the ventricles of the brain., Hydrocephalus,Spina bifida,Multiple sclerosis,Epilepsy,Hydrocephalus
"Pre-eclampsia, thought to be caused by inflammatory mediators, is a medical condition associated with which of these?", Pregnancy,Pregnancy,Eye infections,Brain tumor,Bronchitis
The presence of gallstones in the gallbladder is defined by what medical term?, Cholelithiasis,Dysentery,Hepatitis,Cholelithiasis,Cirrhosis
"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?", Veins,Aorta,Arteries,Capillaries,Veins
The medical prefix bucco refers to which part of the head?, Cheek,Forehead,Eye,Cheek,Nose
"The medical prefix oophoro, which derives from Greek, refers to which part of the body?", Ovary,Muscle,Uterus,Abdomen,Ovary
"Scientists differentiate what three basic types of memory, based on the duration of memory retention?"," Sensory memory, short-term memory, and long-term memory","Episodic memory, procedural memory, and semantic memory","Temporary memory, average memory, and permanent memory","Momentary memory, short-term memory, and permanent memory","Sensory memory, short-term memory, and long-term memory"
To which of these essential human abilities is memory closely related?, All of these,All of these,Learning,Understanding,Speaking
"Procedural Memory, a category of the long-term memory, refers to which of these basic human abilities?", The ability to acquire and develop skills,The ability to gain and store general knowledge and information,The ability to consciously retrieve stored facts and information,The artistic and creative abilities,The ability to acquire and develop skills
"Typically, how many random items can human short-term memory store?", 6-8,3-4,9-11,6-8,15-17
Déjà Vu is one of the curios brain phenomenon. Which of these most accurately describes the term?, A sensation of something seen or experienced before,A sensation of something seen or experienced before,A spontaneous involuntary creation of a false memory,A sudden flash of a long forgotten memory,The feeling that something familiar was never seen before
"Nearly everybody has experienced the tip-of-the-tongue situation when one is eagerly trying to think of a relatively familiar fact, name or word and is just about to recall it, but it constantly eludes him.  What is the explanation of this strange experience?", Another item is blocking the recollection,Aging brain cells,Mineral deficiency,Unpleasant experience associated with the memory,Another item is blocking the recollection
Which of these most accurately explains the controversial issue of  false memories?, Memories formed under the influence of misleading suggestions and clues,Memories formed under the influence of misleading suggestions and clues,None of these,Memories lacking coherent and logical rationale,Memories causing false sensations
"One of the most basic characteristics of our memory is the ability to forget, which is considered to be this type of function.", Adaptive function,Developing function,Adaptive function,Cognitive function,Protective function
"Amnesia, the loss of significant amount of important information, is a memory impairment which happens as a result of which of these?", All of these,Specific malfunctions in the brain,Physical injury,Psychological trauma,All of these
"In the study of memory, what does the term mnemonist refer to?", Individual with exceptional memory,Individual with exceptional memory,Individual with severe memory disorders,Individual who tends to create false memories,Individual who has recovered from amnesia
What is the main cause for most pandemics in history?, The domestication of animals,The domestication of animals,Human negligence,Genetic experiments,The bad hygiene of the people
During which war did the first known pandemic take place?  It dates back to 430 BC., The Peloponnesian War,The Peloponnesian War,The Punic Wars,The Persian Wars,The Trojan War
Which Roman emperor died of Antonine plague? This plague was actually named after him., Marcus Aurelius,Marcus Aurelius,Vespasian,Claudius,Augustus
This disease had 7 pandemics and is still causing epidemics., Cholera,Plague,Cholera,Typhus,Influenza
This terrible disease killed as much as 5% of the worlds population and affected almost 20% in just six months., Spanish Flu,Spanish Flu,Measles,Bubonic plague,Cholera
"In the USA, obesity is the second leading cause of preventable death after this one.", Smoking,Stress,Drugs,Pollution,Smoking
How many people are overweight around the world?, More than 1 billion,More than 3 million,More than 1 million,More than 5 million,More than 1 billion
"When starting a diet you have to consume at least this number of calories per day, otherwise you will lose muscle.", 1200,2000,1000,1500,1200
Which of the following has the most fat?, American Blue Cheese,Cottage Cheese,Feta,American Blue Cheese,Parmesan
Body Mass Index (BMI) is the relation between body mass and height.  If your BMI is in this range then you are considered overweight., 25 to 29.9,25 to 29.9,20 to 24.9,15 - 19.9,10 - 14.9
This is the most recommended activity that helps prevent or fight obesity., Getting exercise,Quitting alcohol,Getting exercise,Eating salads only,Drinking a lot of water
At what time in a womans life is she most likely to gain the most weight?, During pregnancy,After the age of 60,During pregnancy,Before her menstruation,During menopause
"Jason has 3 quarters, 8 nickels, 6 dimes and 3 pennies. How much money does he have?", $1.78,$0.35,$1.78,$2.58,$1.93
"What is the next number in the following sequence: 42, 48, 54, __?", 60,64,50,58,60
"6 is a multiple of 2 and 3, 9 is a multiple of 3 only, 10 is a multiple of 5 and what other number?", 2,10,2,15,5
"How would you write 236,598 out in words?"," Two hundred, thirty-six thousand, five hundred ninety-eight","Two million, thirty-six thousand, five hundred ninety-eight","Two hundred, thirty-six thousand, five hundred ninety-eight","Three hundred, thirty-six thousand, six hundred ninety-eight","Two hundred, three thousand, five hundred ninety-seven"
"An adult salivates this much per day, on average.", 1 liter (1/4 gallons),2 liters (1/2 gallons),0.1 liters (0.026gallons),1 liter (1/4 gallons),1.2 liters (0.32 gallons)
How long are the intestines of an average adult? (large and small), approx 8-9 meters (26-29.5 feet),approx 1-2 meters (3-6.5 feet),approx 19-20 meters (62-65 feet),approx 8-9 meters (26-29.5 feet),approx 15-16 meters (49-52.5 feet)
The growth hormone is released from this gland., Hypophysis,Pancreas,Hypophysis,Adrenal Gland,Pineal Gland
How many teeth does an average human have?, 32,28,29,34,32
"What can microexpressions, a type of tiny fleeting facial expressions, help you understand about the person you are talking with?", All of these,Their real attitude towards the topic,Their emotional state,Whether they are telling the truth or not,All of these
Which one of these statements about facial microexpressions is not true?, Microexpressions can be easily read by any person.,Microexpressions are involuntary.,Microexpressions can be controlled with certain types of chemicals.,Microexpressions contain much more information than common expressions.,Microexpressions can be easily read by any person.
"Kismet, a complicated technological achievement, is a very important step in the understanding of human facial expressions and their role in socialising. What is actually Kismet?", A sociable humanoid robot,A technique for enhancing the ability of the face to conduct emotions,"A set of tiny devices implanted under the skin, which detect microexpressions",A sociable humanoid robot,"An advanced computer system, designed to analyze microexpressions"
What British naturalist published the first major scientific study on facial communication in 1872?, Charles Darwin,Leonardo Da Vinci,Alfred Brehm,James Edward Smith,Charles Darwin
"In medicine, which of these brain disorders does the term prosopagnosia refer to?", The Inability to recognize faces,The inability to express emotions,Misinterpretation of basic human expressions,Total indifference to others expressions,The Inability to recognize faces
In which of these countries is showing negative facial expressions considered impolite and is therefore avoided?  Negative expressions are instead usually masked with smile or laughter., Japan,Peru,Kenya,Indonesia,Japan
What emotional state does the gesture of narrowed eyes convey?," Threat, distrust","Threat, distrust","Satisfaction, joy","Sadness, frustration","Anger, excitement"
"This organ contains many bacteria, which begin to digest surrounding organs immediately after death.", Intestines,Liver,Stomach,Intestines,Rectum
Which of the following happens three days after the moment of death?, The body starts to swell,The body starts to shrink,The body starts to emit smell,The body starts to swell,The nails are so loose that they can be pulled off
"Because of the substance present in these structures of the human body, they can be preserved for centuries avoiding decomposition.", Teeth,Teeth,Nails,Eyelashes,Eyeballs
"Which part of the body is decomposed last, but before the bones?", Hair,Cartilages,Hair,Nails,Gall Bladder
The term rigor mortis means this., Stiffness of death,Stiffness of death,Swollen corpse,Blue corpse,Blue death
The side of the Moon that we see is this., The same every night,Different every night,Different every two weeks,Different every month,The same every night
The distance between the Moon and the Earth is approximately this much.," 238,897 miles (384,467km)","238,897 miles (384,467km)","62,000 miles (100,000km)","155,342 miles (250,000 km)","260,975 miles (420,000 km)"
The Moon is changing its position it relation to the Earth. In what way?, Moving away,Getting closer,Moving along the Earths Y axis,Moving away,Moving along the Earths X axis
Which factor ensures that many of the craters on the Moons surface remain well preserved in comparison to those on Earth?, The lack of atmosphere,The strong solar rays,The rotating movement,The lack of atmosphere,The influence of Earths gravity
When was the Moon formed?, About 4.5 billion years ago,About 5.7 billion years ago,About 4.5 billion years ago,"About 300,000 years ago",About 1 billion years ago
Moons shape is not quite round. What does it resemble?, Egg,Egg,Kiwi,Pear,Lemon
A compass cannot be used on the Moon.  What factor is responsible for this?, Lack of a magnetic field,Lack of a magnetic field,Influence of Earths gravity,Asteroid impacts,Lack of gravity on the Moon
The Moon is taken into consideration when calculating the day of this religious celebration., Easter,Thanksgiving,Memorial Day,Christmas,Easter
The Moons diameter is approximately this long.," 2,154 miles (3,476 km)","2,796 miles (4,500 km)","2,154 miles (3,476 km)","5,567 miles (8,960 km)","7,145 miles (11,500 km)"
"A large exposition at the Royal Observatory, Greenwich is devoted to horology, a science that studies what?", time,time,navigation,lenses,comets
"These animals are the subject of study of coleopterology, which is a subfield of entomology.", beetles,jaguars,tigers,snakes,beetles
A King Cobra and a frog would be subjects of study of what science?, herpetology,autecology,astacology,reptology,herpetology
"This species, considered to have colonized almost every landmass on Earth, is studied by myrmecology.", ants,bees,ants,flies,hornets
This material on the surface of a lithosphere is the subject of study of pedology., soil,turf,rock,rain,soil
"This country, known for the worlds longest continuously used written language system, is the subject of study of sinology.", China,China,Singapore,Japan,Korea
What national symbols are subject of study of vexillology?, flags,flags,seals,national emblems,coat of arms
"What is the subject of study of thanatology, personified in Greek mythology by Thanatos?", death,death,plague,birth,grave
"This astral body, known as Earths only natural satellite, is the subject of study selenology.", Moon,Sun,Venus,Jupiter,Moon
This contractile tissue of the body is the subject of study of myology., muscles,blood cells,bones,hairs,muscles
"What term is used to designate a hurricanes calm, low-pressure center around which winds of high velocity spin?", Eye,Outer rim,Eye wall,Rain bands,Eye
What term do scientists use to denote the gradual warming of the planet due to absorption of infrared radiation by the atmosphere?, Greenhouse effect,Greenhouse effect,Ozone depletion,Atmospheric termoincrease,Global dimming
These biological poisons damage bio systems on contact. The injuries they cause resemble burns., Corrosives,Oxidizers,Halides,Corrosives,Neurotoxins
Arsenic poisoning mainly disrupts this system., Digestive system,Cardiovascular system,Digestive system,Endocrine system,Nervous system
Poisoning by this substance is often referred to as painters colic., Lead,Lead,Thallium,Barium,Chromium
"In medical parlance, what is an A-line?", Arterial line,Anatomic line,Analog line,Afferent line,Arterial line
"After reading the following, what will a doctor conclude? Pt presents 3 d S/P TURP, with c/o HA x 2 d.", The patient has a headache.,The patient has a headache.,The patient recently had abdominal surgery.,The patient has no current complaints.,The patient is female.
"What do abbreviations Rx, Tx, Hx and Sx mean?"," Prescription, Treatment, History and Symptom","Pharmacy, Treatment Room, Hospital and Sanitorium","Renal, Thyroid, Uterine and Splenic","Prescription, Treatment, History and Symptom","Rectal, Thyroglossal, Hepatic and Splenic"
"In medical jargon, what are PMH, PSH, SH and FH?"," Past medical history, Past surgical history, Social history and Family history","Past medical history, Past surgical history, Social history and Family history","Post-medical healing, Post-surgical healing, Surgical healing and Functional healing","Posterior middle hyoid, Posterior superior hyoid, Superficial hyoid and Foramen hyoidium","Patient mental hospital, Patient surgical hospital, Social hospital, and Female hospital"
"If the doctor writes, CNs 2-12 intact, which of the following would be true?", The patient is able to close and open the eyes.,The patient is a man.,The cervical nerves are all functioning normally.,The patient is able to close and open the eyes.,All of the lymph nodes in the cervical chain are normal.
"In medical parlance, what is an AKA?", The removal of a limb,An alcoholic,An antibiotic,The removal of a limb,A patient
"If the doctor orders an EKG, what part of the body is going to be examined?", Heart,Heart,Brain,Peripheral Nerves,Abdomen
"In medical jargon, FH: CAD (M), DM (F) implies what?", The patients mother had heart disease and the patients father had diabetes.,"The patients mother died of an aneurysm, and the patients father died of a myocardial infarction.","The patients mother had a stroke, and the patients father had diabetes mellitus.",The patients mother had heart disease and the patients father had diabetes.,The patients mother was an engineer and the patients father was a computer programmer.
"In medical terms, what is a CVA?", A stroke,An aneurysm,A type of accountant,A heart attack,A stroke
"At a party, a doctor asked a nurse: Are you an RN or an LPN?  The nurse replied: Im an RN. I got my BSN at Georgetown. Are you an MD or a DO?  The doctor replied: Im a DO. Which of the following statements can be concluded from this conversation?", The doctor was trained in osteopathic manipulation.,The doctor is going to get lucky tonight.,The doctor is not really a doctor at all.,The doctor was trained in osteopathic manipulation.,The doctor is a chiropractor.
"If you were taking a course in entomology, what would you be studying?", Insects,Rocks,Snakes,Mold,Insects
"This science studies signs, both individually and grouped in sign systems.", Semiology,Anthology,Semiology,Linguistics,Theology
"People who suffer from this condition tend to be self-destructive. They may use drugs, or engage in promiscuous sexual activities.", Borderline Personality Disorder,Obsessive Compulsive Disorder,Panic Disorder,Borderline Personality Disorder,Generalized Anxiety Disorder
"People with this disorder engage in idiosyncratic behaviors, such as wearing an odd-looking hat every day, or wearing their pants backwards.", Schizotypal Personality Disorder,Antisocial Personality Disorder,Narcissistic Personality Disorder,Schizotypal Personality Disorder,Histrionic Personality Disorder
"This disorder, also known as manic depression, involves high risk of death through suicide.", Bipolar Disorder,Dependent Personality Disorder,Antisocial Personality Disorder,Bipolar Disorder,Schizophrenia
People suffreing from this mental illness manifest a psychiatric condition as a physical complaint., Somatization Disorder,Agoraphobia,Kleptomania,Somatization Disorder,Munchausen Syndrome
A person with this disorder has fluctuating levels of orientation., Delirium,Dementia,Psychosis,Delusional State,Delirium
"An old adage states, Neurotics build castles in the sand. Psychotics live in them.  Which one of the following disorders is not considered a neurosis?", Schizoid Personality Disorder,Schizoid Personality Disorder,Obsessive-Compulsive Disorder,Panic Disorder,Agoraphobia
"According to statistics, which of the following people is most likely to commit suicide?", A middle-aged divorced man.,A recovering alcoholic.,A middle-aged divorced man.,A middle-aged divorced woman living alone.,A teenage boy who smokes marijuana.
People with this disorder have difficulty engaging in everyday human interaction., Autism,Autism,Huntingtons Disease,Cerebral Palsy,Addisons Disease
"Located in the upper anterior portion of the chest cavity, the thymus is an organ belonging to which system of the human body?", Lymphatic System,Endocrine system,Integumentary system,Lymphatic System,Nervous system
Which are the endocrine systems so-called instant messengers used to affect distant cells within specific organs?, Hormones,Nephrons,Neurons,Acids,Hormones
"In humans, which of these organs belongs to the integumentary system?", Skin,Skin,Tonsils,Liver,Pharynx
Mucus is a slippery secretion of the lining of various membranes typical for which system of the human body?, All of these,All of these,Reproductive system,Digestive system,Respiratory system
Which of the following is not a function of the circulatory system?, Excretion of unwanted substances,Excretion of unwanted substances,Stabilizing body temperature,Maintaing pH,Transport of vital substances
"In humans, the nervous system is divided into a central nervous system and a peripheral nervous system. The peripheral nervous system has two more divisions. The first one is the autonomic nervous system. What is the second one?", Somatic nervous system,Sympathetic nervous system,Parasympathetic nervous system,Enteric nervous system,Somatic nervous system
"The most complete Australopithecus skeleton, dubbed Lucy,  was found in 1974.  She was 1.10m (3 7) tall and weighed about 30kg (66lbs).  Anthropologists named the skeleton after this Lucy.", Lucy from The Beatles song Lucy in the Sky with Diamonds,Lucille Ball from the TV show I Love Lucy,Lucy of Lucy Clothing Manufacturers,Lucy from The Beatles song Lucy in the Sky with Diamonds,Actress Lucy Liu
"There is evidence that Sinanthropus pekinensis used tools and was able to light a fire. Unfortunately, the teeth of the Sinanthropus are still considered medicine and are sold in some pharmacies in its home country.", China,China,Zimbabwe,France,Japan
Which animal can be connected to a computer USB port?, Mouse,Dog,Mouse,Rat,Cat
Which of these is a popular database name?, Oracle,Mosque,Oracle,Shrine,Church
Which bathroom item is also a communication protocol?, SOAP,BRUSH,GEL,SOAP,COMB
Which wall is used for computer protection in the Internet or other networks?, Firewall,Firewall,Wooden wall,Brickwall,Protective wall
"Which celestial body is also a name of a big American vendor of computers, computer components and software?", Sun,Sun,Venus,Moon,Pluto
Which commercial building can also store data?, Warehouse,Warehouse,Super market,Store,Shop
The name of which animal group is also a collective name for software errors?, Bugs,Insects,Spiders,Ants,Bugs
Which of these is a computer for bulk data processing?, Mainframe,A-frame,Body-on-frame,Window-frame,Mainframe
Which hat is a distribution of the Linux operating system?, Red Hat,Black Hat,White Hat,Red Hat,Blue Hat
The name of which Native American group is also a name of an open source organization?, Apache,Iroquois,Navajo,Cherokees,Apache
The name of which island is also a computer programming language name?, Java,Cuba,Jamaica,Java,Malta
How many bones (on average) does the human body contain?, 206,207,206,208,205
"This organ, which is the largest gland in the human body, plays a major role in metabolism and has a variety of functions, including glycogen storage, plasma protein synthesis, and drug detoxification.", Liver,Gall Bladder,Pancreas,Liver,Kidney
Which statement correctly describes the superior vena cava?," It is a large, yet short vein that carries de-oxygenated blood from the upper half of the body to the hearts right atrium.",II is the large vein that carries de-oxygenated blood from the lower half of the body into the heart.,"It is the largest artery in the human body, originating from the left ventricle of the heart and bringing oxygenated blood to all parts of the body",It is a vein that carries oxygen-rich blood from the lungs to the left atrium of the heart and is the only vein in the post-fetal human body that carries oxygenated blood.,"It is a large, yet short vein that carries de-oxygenated blood from the upper half of the body to the hearts right atrium."
Diarthrosis joints permit a variety of movement and can be divided into six classes. The femur and hip connection would be considered which joint class?," Ball-and-socket joint (enarthrosis, spheroidal joint)","Ball-and-socket joint (enarthrosis, spheroidal joint)",Hinge joint (ginglymus),"Pivot joint (trochoid joint, rotary joint)","Condyloid joint (condyloid articulation, ellipsoidal joint)"
What is the only number with no reciprocal?, 0,1,-1,0,Pi
Octo is a prefix meaning eight.  An Octopus has eight legs. An octagon has exactly 8 sides.  An Octogenarian is at least 8 decades old.  What is the eighth month?, August,November,August,October,September
How fast is a mile a minute?, 60 miles an hour,The speed of the fastest human runner,60 kilometers and hour,60 yards an hour,60 miles an hour
"The Shaanxi earthquake is regarded as the deadliest recorded earthquake, killing approximately 830,000 people. It occurred on February 14, 1556 in this country.", China,Thailand,Japan,Russia,China
"Earthquakes that occur at the boundaries of tectonic plates are called interplate. The less frequent type of earthquakes, called this, occur in the interior of the lithospheric plates.", Intraplate,Innerplate,Non-interplate,Ultraplate,Intraplate
The San Francisco earthquake is one of the most ill-famed earthquakes in history.  It happened in this year., 1906,1908,1916,1910,1906
"Seismic waves are classified in four types - P-waves (primary), S-waves (secondary), Love waves (surface waves) and this type.", Rayleigh waves,F-waves,L-waves,Rayleigh waves,Richter waves
"This earthquake occurred on August 17, 1999, and had a magnitude of 7.4. The reported number of casualties was approximately 17,000. Where did this disaster take place?", Turkey,China,Spain,Turkey,The United States
A mother will give birth to this kind of twins if a single fertilized egg splits after conception., Monozygotic twins,Monozygotic twins,Dizygotic twins,Conjoined twins,Twins of two
The first recorded successful operation to separate a pair of conjoined twins took place in this year., 1689,1889,1976,1689,1989
This celebrity had a twin brother who died at birth., Elvis Presley,Madonna,Michael Jackson,Elton John,Elvis Presley
The family of Fyodor Vassilyev from Russia had a record number of children. His wife gave birth to this number of twin couples., 16,28,16,9,23
"It is said that twins develop their own language, called this.", Idioglossia,Idioglossia,Sindarin,Quenya,Klingon
"If a doctor prescibes a medicine and the prescription reads, Instill 2 - 3 gtts in OD bid.  What does OD mean?", Right eye,Left ear,Right ear,Right eye,Left eye
What color is Arterial Blood?, Bright Red,Purple,Bright Red,Reddish Purple,Dark Red
What lobe in the brain is responsible for retaining verbal memory?, Left Temporal Lobe,Left Parietal Lobe,Left Temporal Lobe,Right Temporal Lobe,Right Parietal Lobe
How many vertebrae make up the thoracic region of the spinal column?, 12,5,7,10,12
The ileum is located in this part of the body., Small Intestine,Small Intestine,Spinal cord,Brain,Large intestine
This country has more Internet Service Providers than any other non-English speaking country., Czech republic,Russia,Czech republic,Romania,Brazil
"Development of a global computer network was first proposed in this year, by J.C.R. Licklider.", 1962,1972,1982,1962,1952
This was the first popular WWW browser. Microsofts Internet Explorer is also based on it., NCSA Mosaic,Opera,lynx,NCSA Mosaic,Netscape Navigator
Cables are essential for the transfer of data. The first cable to transfer instantaneous communications across the ocean was laid in this year., 1858,1950,1924,1908,1858
It was the Internets progenitor and the first large geographically separated network., ARPANET,ARPANET,NSFNET,UUCP,CSNET
The first e-mail message was sent in this year by Ray Tomlinson., 1971,1979,1964,1983,1971
"This person wrote HTTP, the language in which browsers and web servers communicate.", Tim Berners-Lee,Steve Jobs,Bill Gates,Tim Berners-Lee,Douglas Engelbart
This is how long it took the Internet to attract 50 million users., 4 years,4 years,20 years,10 years,5 years
"This program pretends to be useful, while executing malicious code.", Trojan horse,Logic bomb,Worm,Trojan horse,Virus
"In 1995, this famous American computer outlaw was caught while stealing electronic mail and software.  In 1996 he released the book Takedown: The Pursuit and Capture of Americas Most Wanted Computer Outlaw -- By The Man", Kevin Mitnick,Robert Morris,Vladimir Levin,Tsutomu Shimomura,Kevin Mitnick
"When magma cools and becomes solid below Earths surface, the resultant rocks are called Plutonic, but when when magma reaches the surface and crystallizes there, formed rocks are called this.", Volcanic,Volcanic,Mercuric,Surfaced,Veneric
The Lunar seas are actually plains of gabbro and this rock. The same rock is also a main component of the surface of Mars., Basalt,Basalt,Obsidian,Andesite,Granulite
"This moon is the most volcanic object in the solar system. Its volcanoes erupt sulfur, sulfur dioxide and silicate rock,  constantly resurfacing it.", Io,Titania,Io,Ganymede,Europa
"What do we call this sequence of numbers:  1, 1, 2, 3, 5, 8, 13, 21, 34, 55 ...?", Fibonacci,Lucas,Gauss,Euler,Fibonacci
What was the name of the man who invented logarithms?, John Napier,Rene Descartes,John Napier,Blaise Pascal,Robert Recorde
Sir Isaac Newton developed his calculus and physics at what college?, None,Oxford,None,Trinity,Cambridge
Who was the teacher of Plato?, Socrates,Thales,Socrates,Aristotle,Archimedes
Who wrote the first textbook on Geometry?, Euclid,Thales,Euclid,Archimedes,Van Nostrand
"In order to boost their math department , the University of Virginia, a great school, imported the great British mathematician J.J. Sylvester to become a part of the school.  He  agreed.  Almost everyone loved him, his lectures, his motivational talks, etc. Everyone, except for the only student who got a C from him. Besides some lewd talk and anti-semitic rants, the student took a stump and attacked Sylvester. What happened next ?"," Sylvester beat the heck out of the student. Sylvester was a good 40 older than the student, but took no guff.",The students father demanded a duel with Sylvester because he had had the student arrested. Sylvester left for France the next night.,"The student  was arrested for assault, sent to prison for three years. Sylvester returned to England physically broken.","Sylvester beat the heck out of the student. Sylvester was a good 40 older than the student, but took no guff.","After a short beating, Sylvesters students broke up the fight. Sylvester spent a month in the hospital and returned to his duties."
What sign flew over the school of Aristotle?, Let no one unfamiliar with geometry enter,Know Thyself,Es Will De garnish helfen,Let no one unfamiliar with geometry enter,All for Knowledge
