Questions,Correct,A,B,C,D
Which term refers to the group formed by frogs and amphibians?, Herps,Drosophillia,Herps,Mollusks,Nematodes
Which statement about elephants is untrue?, Elephants do not have great memories,Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories
How do scientists calculate the age of a fish?, They count the growth rings on the ear bone.,They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.
"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?", The Hercules beetle,The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach
Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?, hermit crabs,minke whale,millipedes,elephants,hermit crabs
What type of animal is a lamprey?, fish,worm,fish,insect,amphibian
What is the name of the first book by Darwin that directly dealt with evolution?, On the Origins of the Species,Essay on the Principles of Population,Totem and Taboo,On the Origins of the Species,The Descent of Man and the Selection in Relation to Sex
Which of these animals has the largest paws?, An average lynx,An average mountain lion,An average nematode,An average lynx,An average lichen
"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?", Mexico,Venezuela,United States,Brazil,Mexico
What maximum height at the withers can Chihuahuas reach?, 15 inches (38 cm),24 inches (60 cm),15 inches (38 cm),12 inches (30 cm),9 inches (22 cm)
What is the average lifespan of Chihuahuas?, 8- 18 years,8 - 12 years,8- 18 years,8 - 26 years,8 - 15 years
The Chihuahua Gidget is famous for what reason?, It was a mascot for Taco Bell.,Paris Hilton has it as a pet.,It was a fill-in mascot for the Georgia Bulldogs.,It was a mascot for Taco Bell.,It was a mascot for Taco John.
What does the word “hippopotamus” mean?, River horse,Water pig,Fat horse,River horse,River pig
This is the result of the gravitational pull from the moon and sun., Tides,Migration of certain species of whales,Tides,Shoreline,Waves
These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near., Sea Anemones,Kelp,Jellyfish,Sponges,Sea Anemones
"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.", Oyster,Oyster,Shrimp,Scallop,Lobster
"This crab is not really a crab, but an arthropod. Its closest relative is the spider.", Horseshoe crab,Fiddler Crab,Horseshoe crab,Spider Crab,Rock Crab
"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.", Shipworms,Sea Mice,Ribbon Worms,Lugworms,Shipworms
"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.", Sand Dollar,Sand Dollar,Star Fish,Scallop,Mussel
The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?, Emu,Emu,Platypus,Dingo,Koala
Which of these mammals was brought to Australia by humans?, The dingo,The echidna,The dingo,The koala,The Tasmanian tiger
"Which of the following statements about echidnas, mammals native to Australia, is wrong?", Echidnas are marsupials.,Echidnas are covered with spines.,Echidnas have snouts.,Echidnas lay eggs.,Echidnas are marsupials.
The diet of the koala consists mainly of what plant species?, Eucalyptus,Eucalyptus,Bamboo,Willow,Cork Oak
Which one of these Australian reptiles is the largest living crocodile in the world?, The saltwater crocodile,The thorny devil,The weedy sea dragon,The blue-tongued skink,The saltwater crocodile
This Australian monotreme lays eggs and has a remarkable sense of electroception., Platypus,Platypus,Red kangaroo,Dingo,Emu
Which Australian animal is the largest living carnivorous marsupial on Earth?, The Tasmanian devil,The Tasmanian tiger,The Tasmanian devil,The platypus,The red kangaroo
"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?", Kangaroo,Koala,Kangaroo,Emu,Tasmanian devil
"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?", Males and females have different eye colour.,There is no difference between them.,Males and females have different eye colour.,Galah males are crested.,Galah females have shorter tails.
What is the average weight of the Tasmanian Pygmy Possum?, About 7g,About 250g,About 50g,About 100g,About 7g
Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?, Horned lizard,Anole,Gila monster,Horned lizard,Komodo dragon
The venomous lizard Gila monster was named after what?, The Gila River basin,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?", Indonesia,North America,Indonesia,South-western China,Madagascar
Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?, Autotomy,Apotemnophilia,Autonomy,Autotomy,Autism
Which of these statements about geckos is true?, All of these,Geckos have toe pads which help them climb smooth vertical surfaces.,All of these,Geckos can make chirping sounds.,Geckos feed on insects.
Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?, Earth lion,Green melon,Karma lion,Colourful,Earth lion
Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?, They lick their own eyes.,A tiny insect lives under their eyelids and cleans their eyes.,They lick their own eyes.,They dip their eyes in water.,They cover their eyes with their toes.
The lizards which do not have legs are commonly known by what name?, Glass lizards,Glass lizards,Monitor lizards,Skinks,Iguanas
Which of these lizard species is not endangered?, Eastern Bearded Dragon,Eastern Bearded Dragon,Blunt-nosed Leopard Lizard,Mona Ground Iguana,Komodo Dragon
No lizard species live on which continent?, Antarctica,South America,Antarctica,Europe,Asia
"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.", whale shark,whale shark,bull shark,great white shark,pygmy shark
This sharks white belly and grey back make it difficult for prey to spot., great white shark,hammerhead shark,tiger shark,great white shark,whale shark
Which of these sharks has a flat body like a stingray?, angel shark,basking shark,blue shark,blacktip reef shark,angel shark
"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.", goblin shark,cookie cutter shark,mako shark,goblin shark,angel shark
Which shark is the fastest swimmer?, mako shark,goblin shark,mako shark,nurse shark,sandtiger shark
Which of these is not a subspecies of giraffe?, East African Giraffe,Somali Giraffe,Rothschilds Giraffe,Kordofan Giraffe,East African Giraffe
How long is a giraffes gestation period?, 14- 15 months,18 - 20 months,10 months,14- 15 months,9 months
How many pounds of leaves can a giraffe consume daily?, 140 pounds,60 pounds,100 pounds,140 pounds,210 pounds
What group of dogs does the beagle belong to?, hound,retrievers,setters,hound,terriers
The beagle was developed mainly for tracking what animal?, rabbits,squirrels,rabbits,raccoons,coyotes
About how many years have beagles been around?," 2,000","2,000","5,000","4,000","3,000"
Which of the following cartoon dogs was a beagle?, Snoopy,Courage,Scooby Doo,Snoopy,Clifford
What type of coat do beagles have?, medium,long,short,medium,depends on the dog
The puggle is a mix between a beagle and what dog?, pug,papillion,puli,poodle,pug
In what country was the goldfish first domesticated?, China,Egypt,China,Japan,India
What color goldfish were most prized by the Chinese royalty several centuries ago?, Yellow,Silver,Yellow,Orange,Red
What color are wild goldfish?, Green,Silver,Orange,Yellow,Green
These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters., Harris Hawk,Golden Eagle,Turkey Vulture,Spotted Owl,Harris Hawk
This animal is the largest of the deer family and can be found in the northern parts of North America., Moose,Gazelle,Moose,White Tailed Deer,Elk
Which of these animals cannot be found in North America?, Dingo,Flamingo,Walrus,Dingo,Beaver
"This bear, also known as a Silvertip bear, is native to North America.", Grizzly Bear,Panda Bear,Polar Bear,Red Panda Bear,Grizzly Bear
The coyote lives in North America and also goes by this name., Prairie Wolf,Desert Dog,Prairie Wolf,Prairie Dog,Small Wolf
This North American animal is at the top of the food chain in the arctic region., Polar Bear,Walrus,Polar Bear,Arctic Fox,Penguin
This mammal is known for its black fur with a white stripe and for its apparent odor., Skunk,Sloth,Ferret,Skunk,Weasel
What type of animal is the cottonmouth?, Snake,Mouse,Snake,Bat,Lizard
This creature belongs to the rodent family and is covered in sharp spines or quills., Porcupine,Nutria,Armadillo,Kiwi,Porcupine
How many species of skunk exist?, 11,6,8,13,11
How many young skunks can be born in one litter?, 1-7,1-10,1-5,1-7,1-4
What do skunks eat in the wild?, All of these,All of these,Insects,Meat,Fruit
How much of an effective range do skunks odor glands have?, 15 feet,15 feet,10 feet,8 feet,20 feet
How many subspecies of Red Fox are found in India?, 3,2,None. Red Fox are not native to India.,1,3
Which of these coat colors is not found in wild Red Fox populations?, Black,Golden,Spotted,Red,Black
What is the top speed that the Red Fox can reach?, 45 mph,25 mph,35 mph,45 mph,55 mph
Which of these are eaten by the Red Fox?, All of these,Insects,worms,All of these,eggs
How long is the Red Foxs lifespan in the wild?, 3 years,3 years,8 years,6 years,10 years
Approximately how long is a Red Foxs gestation period?, 55 days,89 days,55 days,40 days,34 days
What is the word used for someone that is afraid of chickens?, Alektorphobic,Xenophobic,Chickopobic,Alektorphobic,Avianphobic
Which of the following is not a breed of chicken?, Chinese Crested,Australorp,Cubalaya,Houdan,Chinese Crested
Which of the following color of egg is incorrect for a chicken egg?, black,black,white,pink,blue
All domestic chickens can be traced back to which bird?, The Red Jungle Fowl,The Wild Turkey,The Macaw,The Red Jungle Fowl,The Amazon Rain Forest Chicken
Which of the following characters is a chicken?, Foghorn Leghorn,Dori,Foghorn Leghorn,Daffy,Kermit
What is the average lifespan of a lion in the wild?, 10-14 years,6-9 years,20-24 years,10-14 years,15-20 years
What is the average maximal speed a lion can reach?, 35 mph / 56 km/h,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
How many species of penguins live in warm or even tropical environments?, 4,0,3,2,4
The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?, 55 - 80 pounds,65 - 110 pounds,40 - 55 pounds,55 - 80 pounds,20 - 60 pounds
What is the estimated average lifespan of a crocodile?, 70+ years,80+ years,50+ years,90+ years,70+ years
On which of these continents can you find the Salt Water Crocodile?, Australia,Africa,South America,Australia,North America
Beavers are the second largest rodents in the world after which animal?, Capybara,Muskrat,Mountain Marmot,Capybara,Sea Otter
The North American Beaver is Canadas National symbol that adorns which Canadian coin?, Nickle,Penny,Nickle,Quarter,Dime
Butterflies do not have lungs. They breathe trough this organ., The abdomen,The proboscis,The abdomen,The eyes,The legs
The expression social butterfly is often used to describe a woman. It means that she does this., Flits from one person to another,Uses too much cosmetics,Behaves quite self-conceited,Flits from one person to another,Wears clothes with bright colors
Why does your cat interrupt you and want petting when youre on the phone?, your cat thinks you are talking to him/ her,your cat thinks you are talking to him/ her,to annoy you,to be a part of your telephone call,your cats is jealous that youre talking to someone else
Why do cats seem to be attracted to the one person who doesnt like cats?, Kitty sees that person as unintimidating,Kitty wants to annoy them,Kitty thinks that person has food,Kitty wants to win them over,Kitty sees that person as unintimidating
Why do cats suddenly race through the house?, They have an overflow of pent-up energy.,They feel a change in the weather.,They have an overflow of pent-up energy.,They want to get your attention.,They feel the presence of a ghost.
Why does a cat rub against your leg?, To mark you by depositing his/ her scent,Because she/ he really likes you.,Because it feels good.,To mark you by depositing his/ her scent,To show he/ she trusts you
Why does a cat bury his/ her waste?, To protect their trail from predators,To show their dominance,To protect their trail from predators,Because they are so territorial.,Because they are very clean animals.
Why do cats like to sleep in the sun?, To make up for the drop in body temperature when they sleep,To make up for the drop in body temperature when they sleep,To keep from shedding so much,It reminds them of being kittens,Because they can hear better when they are warm
Why do cats go crazy over catnip?, Because it smells like a cat in heat,Because it smells like a cat in heat,Because it smells like prey,Because it smells like tasty food,Because it is an aphrodisiac
How many known species of earthworm exist worldwide?," 5,500","3,000","2,500","5,500","1,000"
Why do earthworms come to the surface after rainstorms?, No one knows for sure but there are four theories trying to explain this behaviour.,The temperature on the surface is cooler.,They cant take the acid rain.,They can drown if their holes fill up.,No one knows for sure but there are four theories trying to explain this behaviour.
To which animal class do octopuses belong?, Cephalopod,Mollusk,Coleoid,Nautiloid,Cephalopod
Which of the following animals is the least related to the octopus?, Eel,Scallop,Snail,Eel,Clam
How many arms do octopuses have?, 8,8,5,0,2
Approximately how tall is a grizzly bear when standing on its hind legs?, 8 feet (2.4 m),9 feet (2.7 m),7 feet (2.1 m),6 feet (1.8 m),8 feet (2.4 m)
Which of these things is something you should never feed your dog?, Chocolate,Coconuts,Chocolate,Milk,Raw meat
The does “cheetah” mean translated from Sanskrit?, Spotted One,Fast,Spotted One,Lightning,Stealth cat
In 2007 the amount of cheetahs left in the wild dropped to what number?," 12,000","12,000","20,000","30,000","5,000"
Which one of these is not a species of zebra?, Savanna Zebra,Savanna Zebra,Cape Mountain Zebra,Grevys Zebra,Plains Zebra
Which of these are not a function of a zebras stripes?, A warning sign to other zebras,A warning sign to other zebras,Identification within the herd,Heat dissipation,Confusion of predators
How long can a zebra live in captivity?, 40 years,30 years,20 years,40 years,15 years
This type of ant causes a lot of allergic reactions in the USA., Fire ant,Jack Jumper  ant,Bulldog ant,Western brown ant,Fire ant
This type of ant is considered the most venomous of all insects., Jack jumper ant,Western brown ant,Bulldog ant,Jack jumper ant,Fire ant
About how long have ants been around on Earth?, 60 million years,8 million years,45 milllion years,60 million years,25 million years
The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?," 300,000,000","300,000,000","30,000,000","700,000,000","1,500,000"
What are the three basic parts of an ants body?," Head, mesosoma, metasoma","Antennae, abdomen, thoraces","Head, mesosoma, metasoma","Head, abdomen, metasoma","Head, thorax, somatomy"
All of these substances but one are a safe way to get rid of ants in the house. Which is the odd one?, Wine,Cider vinegar,Windex mixed with ivory soap,Wine,Whole cloves
What do we call the type of ants that plant seeds to grow food?, Harvester ants,Formicadae,Thresher ants,Farmer ants,Harvester ants
In 1966 was found the first ant fossil. From which geological period did it come from?, Cretaceous,Cretaceous,Pennsylvannian,Pre-Fermaceous,Jurasic
Which statement about ants is untrue?, Anteaters prefer ants to any other type of food.,Anteaters prefer ants to any other type of food.,An ant colony will eat its own larvae if there is no other food around.,Bullet ants are considered to have the most painful sting.,Ants are sometimes put into Thai salads.
Warner Brothers highest grossing film of 1954 was about enormous ants that threatened a small town in the USA. What was the title of this movie?, Them!,Ants!,Them!,Invasion,Invaders
How many species of flamingo are native to the Americas?, 4,3,2,1,4
Why do flamingos often stand on one leg?, Noone knows for sure.,To keep their feet from becoming waterlogged.,To keep feet from getting tired.,To stir up as little silt from bottom as possible.,Noone knows for sure.
When was the last reported killing of a Thylacine in Australia?, 1930,1930,1880,1900,1910
What was the name of the zoo in which the last known Thylacine was placed in 1936?, Hobart Zoo,Hobart Zoo,Queensland Zoo,Queen Elizabeth Zoological Gardens,Australia Zoo
Why were Thylacines called Tigers?, because of the stripes on their back,because of the vicious way in which they killed their prey,because they looked like cats,because of their mean disposition,because of the stripes on their back
What was the fine for shooting a Thylacine?," $5,000","$10,000","$1,000","$3,000","$5,000"
In what year were Thylacines classified as extinct?, 1986,1986,1979,1974,1965
"In 1984 what famous mogul offered a $100,000 reward for proof of the continued existence of Thylacines?", Ted Turner,Donald Trump,Rupert Murdock,Ted Turner,Bill Gates
What is a pangolin?, A scaly ant-eating mammal,A scaly ant-eating mammal,A poisonous snake,A type of fish,A type of waterfowl
What does the Malaysian word pangolin mean?, Roll into a ball,Armor,Roll into a ball,Walking Pinecone,Scaly Anteater
Which of these statements concerning the way in which pangolins defend themselves is false?, They run away very quickly.,They run away very quickly.,They spray a noxious odor like a skunk.,They curl up in a ball.,They attack by slashing their long claws or whipping their tails.
"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.", Destruction of bears natural habitat,Destruction of bears natural habitat,Pollution,Genetical mutation of bears,Hunting
Despite sharks’ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man., 4,4,10,2,11
"Although jellyfish may seem to you calm and harmless, an encounter with some species may leave you in excruciating pain and even kill you in minutes. Which of the following species of jellyfish is venomous enough to kill a man?", Box jellyfish,Sea nettle,Mastigias,Box jellyfish,Medusa Jellyfish
We’ve seen these animals as friendly and approachable but the truth is that they’re unpredictable. What is the average number of fatalities a year elephants cause?, 300-500,150-200,20-40,300-500,1000-1500
"Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?", All of these,Standing between the hippopotamus and its calf,All of these,Surprising the hippopotamus,Blocking the hippopotamus’ way
Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?, 600-800,1000-1500,50-100,100-200,600-800
"If you happen to be near a big cat (e.g. lion, tiger, lynx) that seems to be about to attack you, which of the following shouldn’t you do in any case?", Turn back and run,Scream and shout,Try to look larger than you really are,Turn back and run,Stare at its eyes
"Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?", Night,Morning,All day,Noon,Night
Which of the following statements about snakes is not true?, Snakes will attack almost always they sense the presence of a human.,Snakes can strike upto half their length.,A fully grown king cobra can rear up so it looks a human in the eyes.,Not all venomous snakes are capable of killing a man.,Snakes will attack almost always they sense the presence of a human.
"Surprisingly, the number one killer among animals with about 2-3 million human fatalities a year is a tiny insect. Which is it?", Mosquito,Bee,Mosquito,Tsetse fly,Wasp
How many species of rhinoceros survive in the wild?, 5,2,5,4,3
Which of these is NOT a species of rhinoceros?, African Rhino,African Rhino,Indian Rhino,Javan Rhino,Sumatran Rhino
What is the #1 reason for the rhinos decline worldwide?, Poaching,Disease,Farming,Predators,Poaching
How many species of Moa are known to have existed?, 11-15,3-5,5-7,10-13,11-15
What animal was the number one predator of the Moa?, An extinct species of eagle,They had no predator they were too large,An extinct species of eagle,An extinct species of lion,An extinct species of wolf
In what year were the first Moa remains discovered by Europeans?, 1839,1765,1857,1839,1724
Which of these European countries is not home to any wild native reindeer?, Switzerland,Finland,Switzerland,Russia,Scotland
Why are pigeon nests or eggs rarely seen?, Pigeons are cliff dwellers and build their nests in high places.,Pigeons are cliff dwellers and build their nests in high places.,Pigeons do their best to conceal nests.,Pigeons are picky and only build nests high up in certain types of trees.,Pigeons dont build nests.
What is the common name for the pigeon that we see in the city streets and in our backyards?, Rock Dove,Mourning Dove,Rock Dove,Common Dove,Fancy Dove
Dinosaurs lived during which geologic era?, Mesozoic,Cretazoic,Protozoic,Holozoic,Mesozoic
The word dinosaur is a combination of two Greek words. One word  means lizard. What does the other word mean?, Terrifying,Terrifying,Herbivorous,Godlike,Beautiful
Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew., Pterodactyl,Bronchialsaurus,Accipitridae Raptor,dactylic raptor,Pterodactyl
"The name brontosaurus is derived from the Greek words sauros, which means lizard, combined with another word. What does the word bronte mean?", Thunder or roar,Large,Long neck,Poetic,Thunder or roar
"According to history/science/geology, dinosaurs became extinct approximately how many years ago?", 65 million,10 million,25 million,80 million,65 million
"This reptile, endemic to new Zealand, is the only surviving rhynchocephalian.", Tuatara,Perisssodactyl,None of these,Kephalosaurus,Tuatara
"Which one of these movies tells the story of Littlefoot, an Apatosaurus in search of the Great Valley where dinosaurs can live in peace?", The Land Before Time,Walking With Dinosaurs,Jurassic Park,King Kong,The Land Before Time
Which of these books about prehistoric animals and dinosaurs was written by Arthur Conan Doyle?, The Lost World,Dinosaur Planet,Jurassic Park,Dinotopia,The Lost World
"In the 1980s, who voiced the character of Dino, the pet dinosaur in the animated series The Flintstones?", Mel Blanc,Frank Welker,Mel Blanc,Jean Vander Pyl,Alan Reed
"In the book Jurassic Park, the fictional island Isla Nublar, where recreated dinosaur species live, is situated in which part of the world?", Near Costa Rica,Near Costa Rica,Near Japan,Near Chile,Near Spain
"The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?", 6,12,3,6,2
The design of the Japanese fictional monster Godzilla was based on the characteristics of which dinosaur?, All of these,Stegosaurus,All of these,Tyrannosaurus,Iguanodon
"In the cartoon Dinosaucers, Bronto Thunder is what kind of dinosaur?", An evolved Apatosaurus,An evolved Apatosaurus,An evolved Stegosaurus,An evolved Archaeopteryx,An evolved Triceratops
"What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?", A hidden island,A planet,A hidden island,A mountain,A large volcano
What kind of celestial body is the 9949 Brontosaurus?, Asteroid,Asteroid,Planet,Star,Black hole
"What is the meaning of the term Triceratops, referring to a dinosaur genus discovered in 1888 in North America?", Three horns on the face,Three heads,Beast with three tails,Three-tongued beast,Three horns on the face
Which one of these dinosaurs was bigger than a dog?, Triceratops,Saltopus,Parvicursor,Microraptor,Triceratops
"In the scientific classification of animals, what does the term Dinosauria signify?", A superorder,A family,A superorder,A genus,A kingdom
"Fossils of a Velociraptor attacking a Protoceratops, proving that dinosaurs attacked and ate each other, were discovered in which part of the world in 1971?", The Gobi Desert,Death Valley,The Gobi Desert,The Balkans,"Bernissart, Belgium"
Which one of these dinosaurs was carnivorous?, Eoraptor,Eoraptor,Diplodocus,Maiasaura,Triceratops
Which one of these dinosaurs was herbivorous?, Protoceratops,Velociraptor,Protoceratops,Tyrannosaurus,Allosaurus
No dinosaur fossils have been found on which one of these continents?, None of these,Antarctica,Europe,Africa,None of these
How many fingers did the Tyrannosaurus rex have on its forelimbs?, 2,4,3,5,2
The first evidence of herding behaviour among dinosaurs was discovered in 1878 in which part of the world?, Belgium,USA,Argentina,Belgium,China
"Which one of these statements about the Seismosaurus, the Earth-shaking lizard, is wrong?", Its hind legs were shorter than its front legs.,It could reach 33 meters in length.,It was recognized as a species in 1991.,Its hind legs were shorter than its front legs.,It was herbivorous.
How long is the average lifespan of an elephant?, 70 years,70 years,15 years,110 years,35 years
How many species of elephant exist today?, 3,1,6,5,3
How many individual muscles are in an elephants trunk?," 40,000","2,000","10,000","40,000",500
"Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?", 40%,40%,80%,60%,20%
"It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.", 24,24,0,1,7
What is the only marsupial in the world that has a backwards pouch?, wombat,kangaroo,echidna,koala,wombat
"The female of this species is sometimes called a Blue Flyer, because of its bluish coloration.", red kangaroo,white heron,emu,red kangaroo,kookaburra
Which one of these is NOT a type of wombat?, Arid Central,Common,Southern Hairy Nosed,Arid Central,Northern Hairy Nosed
"Where does the kookaburra, a common Australian bird, get its name from?", The aboriginal name for it,The food it eats,The aboriginal name for it,Its appearance,The sound it makes
Which of these animals is NOT native to Australia?, Dingo,Frilled-neck lizard,Kangaroo,Dingo,Bilby
