Questions,Correct,A,B,C,D
This class must choose 2 weapon fighting or archery as their weapon style at 2nd level., Ranger,Bard,Cleric,Ranger,Fighter
Where is the first warp whistle located in the game Super Mario 3?, world 1-3,world 1-3,world 1 fortress,world 2-5,world 1-4
"In Mario Kart: Double Dash, what is the last thing you unlock by getting gold in the all cup tour in mirror mode?", Parade car,Parade car,Bullet car,Super Mario car,Ganondorf car
Which of the following characters can bounce off walls in the game Super Smash Brothers Melee?, Young Link,Luigi,Ness,Yoshi,Young Link
"In the game Luigis Mansion, which of these in not one of Marios lost items?", Marios belt,Marios shoe,Marios hat,Marios belt,Marios star
Who is the boss at the end of world 5 in the game Super Mario 2?, Clawgrip,Birdo,Tryclide,Bowser,Clawgrip
"In the game Super Mario 1, which level in world 7 is a water level?", 7-2,7-1,7-2,7-4,7-3
"In Super Mario World, you start the game on which island?", Yoshis Island,Toads Island,Yoshis Island,Peachs Island,Bowsers Island
Which of these is not a playable character in the video game Mario Party 4?, Toad,Peach,Donkey Kong,Mario,Toad
"In the game Super Mario Sunshine, where is Bowser when you fight him at the end?", in a hot tub,in his castle,in a volcano,in a hot tub,in the windmill with Petey Piranha
What does Mario use for his power shot in the game Mario Power Tennis?, a hammer,a fiery racket,a hammer,a star,a fire fist
What is the God Pokemon called in Pokemon Pearl and Diamond?, Arceus,Giratina,Dialga,Cresselia,Arceus
The Pokemon creature Snorunt can evolve in which of the following?, Glalie  Froslass,Glalie  Snolie,Glalie  Froslass,Glalie  Galrunt,Glalie  Probopass
In what Pokemon version can Palkia be obtained?, Pearl,Pearl,Blue,Diamond,Red
What was the first ever ghost Pokemon to appear in a Pokemon episiode?, Gengar,Misdreavus,Gengar,Ghastly,Haunter
What Pokemon abducted Professor Spencer Haled in the movie Pokemon 3?, Unknown,Aipom,Gengar,Unknown,Entei
How many heroes are alive at the end of Startcraft: Brood War?," 6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Zeratul","5 - Fenix, Arcturus Mengsk, Edmund Duke, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Jim Raynor"
Edmund Duke leads which group of elite fighters?, Alpha Squadron,Alpha Squadron,Beta Squadron,Delta Squadron,Omega Squadron
What type of unit is Zeratul?, Dark Templar,Dark Archon,High Templar,Dark Templar,Zealot
What are characteristics of the Archon unit?, 10 hit points and 350 plasma shield,10 hit points and 250 plasma shield,20 hit points and 250 plasma shield,10 hit points and 350 plasma shield,20 hit points and 300 plasma shield
What unit says that in the game?, Dark Templar,Zealot,Scout,Dark Templar,Zealot
What is Alexei Stukovs rank?, Vice Admiral,General,Admiral,Vice Admiral,Corporal
During which mission do Edmund Duke and Fenix die?, True colors,True colors,Omega station,Day of lightning,Hammer falls
Who leads the UED (United Earth Directorate forces)?, Gerard DuGalle,Samir Duran,Gerard DuGalle,Jim Raynor,Alexei Stukov
Who is Kerrigan talking to?, Fenix,Zeratul,Edmund Duke,Fenix,Artanis
"What is the name of the Italian plumber, thats also the mascot of Nintendo?", Mario,Luigi,Donkey Kong,Sonic,Mario
What does KOTOR stand for?, Knights of the Old Republic,Kings Of The Old Realm,Know One Tells Our Ruses,Kin Of Time Or Rain,Knights of the Old Republic
What is the name of Donkey Kongs tiny sidekick?, Diddy Kong,Tiny Kong,Donkey Kong Jr.,Diddy Kong,Mini Donkey Kong
Which GTA game features Tommy Vercetti?, Vice City,Grand Theft Auto III,San Andreas,"GTA 9,000",Vice City
Which game is Luis Sera featured in?, Resident Evil 4,Burnout Revenge,Dead Rising,Resident Evil 4,Midnight Mayhem
Which of these games is not based on a comic book?, Kingdom Hearts,The Darkness,Ghost Rider,Kingdom Hearts,X-Men The Game
Which of these songs is not in Guitar Hero 2?, We Will Rock You,Carry on My Wayward Son,Strutter,War Pigs,We Will Rock You
"In 2007, this game was named by IGN the 3rd best GameCube game of all time.", Super Smash Bros Melee,Pikmin,Super Smash Bros Melee,Resident Evil 4,Nicktoons Unite
"In the Legend of Zelda: Twilight Princess, what is the name of the first sword you get?", Wooden sword,Ordon sword,Four sword,Wooden sword,Master sword
"In The Legend of Zelda: Majoras Mask, how many days do you have until the moon crashes down on Temina?", three,one,nine,three,six
"In The Legend of Zelda: Twilight Princess, what was the name of the villain that had been fired from a joker at Hyrule Castle?", None of these,None of these,Gannondorf,Navi,Vati
"In the Zelda series of games, what is the name of the tribe Gannondorf comes from?", Gerudo,Zora,Gerudo,Goron,Hylian
"Link, one of the main characters in the Zelda series of games, is a member of what race?", Hylians,Hylians,Kokiri,Zora,Goron
What is Links fathers name according to the Zelda series of games?, It has never been revealed.,It has never been revealed.,Gerald,Sam,Lance
In which Zelda game does Link turn into a bunny when he goes into the dark world without a pearl?, Link to the Past,Twilight Princess,Link to the Past,Ocarina of Time,Links Awakening
Which computer game is this soundtrack from?, Double Dragon,Double Dragon,Final Fight,Punisher,Street Fighter
What island do you start on in the online role-playing game RuneScape?, Tutorial Island,Beginners Island,Noobonia Island,Startagonia Island,Tutorial Island
What icon is used to start a low detail RuneScape game?, A warrior,A skeleton,An imp,A warrior,A barbarian
What is the name of the sword used to defeat the demon in the demon slayer quest of the online role-playing game RuneScape?, Silverlight,Brightheart,Demonbane,The Shining Light,Silverlight
"In the online role-playing game RuneScape, what kind of fruit is grown in Karajama?", Bananas,Apples,Bananas,Oranges,Pineapples
What is the name of the fantasy realm in which the RuneScape game is set?, Gielinor,None of these,Modor,Gomor,Gielinor
What does Traiborn call you in the online role-playing game RuneScape?, Thingummywut,Bungdungydingdong,Hugmugabugger,Thingummywut,Trindindlekindy
The action in the survival horror game Resident Evil 4 takes place in what country?, Spain,Germany,Spain,France,USA
Which of the guns listed is available before you beat the Resident Evil 4 game?, Killer7,Chicago typewriter,Killer7,Handcannon,Infinite Launcher
What is the merchants real name in the video game Resident Evil 4?, It is not mentioned,Jeremy,Krauser,It is not mentioned,Robert
"This creature from the game Resident Evil 4 was created by splicing genes from reptiles, insects and a human into one organism.", U3,None of the above,Verdugo,Garrador,U3
Whose final speech ends in We shall win through no matter the cost!, Arcturus Mengsk,Alexei Stukov,Edmund Duke,Jim Raynor,Arcturus Mengsk
Who kills the Matriarch?, Zeratul,Zeratul,Sarah Kerrigan,Aldaris,Samir Duran
The words Doom to all who threaten the homeworld belong to which unit?, Zealot,Zealot,Dark Templar,Archon,Dark Archon
What were the words of Sarah Kerrigan to Jim Raynor when they first met?, You pig!,You pig!,"Hello, Jimmy","Hello, sheriff","Hello, marshal"
How many hit points does the Arclite Siege Tank have?, 150,140,160,150,120
Listen to the dialogue and determine what name is missing at the end, Alexei,Raynor,Alexei,Gerard,Kerrigan
What is the official version for the death of Alexei Stukov?, He dies during the final assault on planet Char,He commits suicide after his fleet is destroyed,"He is killed by Samir Duran, because he was a traitor",His spaceship is blown up by Prottos forces,He dies during the final assault on planet Char
"Which unit says You called down the Thunder, now reap the Whirlwind.", Ghost,Ghost,Medic,Marine,Firebat
This sound clip is from what classic Nintendo game?, Super Mario Bros,Star Fox,Donkey Kong,Super Mario Bros,The Legend of Zelda
This sound clip is from what NES game featuring a creature that could eat anything?, Kirbys Adventure,Metroid,Legend of Zelda,Super Mario Bros.,Kirbys Adventure
This is the theme to what Xbox video game?, Halo,Final Fantasy,Eldar Scrolls IV: Oblivion,Rainbow 6,Halo
This is the overworld theme to this NES game that introduced the save function because the game took so long to complete., Legend of Zelda,Metroid,Donkey Kong,Legend of Zelda,Super Mario Bros.
This is the victory theme to what popular video game series?, Final Fantasy,Mortal Combat,Legend of Zelda,Final Fantasy,Super Mario
From which fighting game is this sound clip?, Super Smash Bros. Melee,Street Fighter II,Super Smash Bros. Melee,Teken 4,Soul Caliber II
This sound clip is from what Game Boy game that spawned an anime TV show and a collectible card game?, Pokemon,Final Fantasy,Pokemon,Magic the Gathering,Yu-Gi-Oh
This sound clip is from what PC RTS game?, Age of Empires II,Age of Empires II,StarCraft,Command and Conquer,Warcraft III
This sound clip is a theme in which of the following Legend of Zelda games?, The Legend of Zelda: Ocarina of Time,The Legend of Zelda: A Link to the Past,The Legend of Zelda,The Legend of Zelda: The Wind Waker,The Legend of Zelda: Ocarina of Time
This sound clip is from what video game series?, Star Fox,Star Wars: Rouge Squadron,Final Fantasy,Star Fox,Halo
Which of these levels is on both Star Wars: Battlefront 1 and 2?, Kamino,Death Star,Kamino,Bespin,Mustafar
Choose the correct order for player points bonuses in Star Wars: Battlefront from least to greatest.," Endurance, Guardian, War Hero","Endurance, Guardian, War Hero","Guardian, Endurance, War Hero","War Hero, Guardian, Endurance","Marksman, Demolition, Technician"
Who controls the AT-ATs on Hoth in Star Wars: Battlefront?, Empire,Empire,Rebels,Republic,CIS
Warchief Thrall is the leader of which clan?, Doomhammer,Warsong,Death Spear,Black Rock,Doomhammer
What type of creature is the DeathWing?, Black Dragon,Black Dragon,Red Dragon,Bone Dragon,Green Dragon
What unit or hero does the phrase Speak up fool belong to?, Prince Arthas as Dead Knight,Ghoul,Druid of the Claw,Prince Arthas as Dead Knight,Prince Arthas
Who kills Mannoroth?, Grom Hellscream,Thrall,Prince Arthas,Grom Hellscream,Illidan Stormrage
What unit or hero does this phrase belong to?, Dwarf Rifleman,muradin bronzebeard,Human Footman,Dwarf Rifleman,Throll Hunter
Which building makes the Druid of the Claw unit?, Ancient of  Lore,Ancient of  Lore,Ancient of  Wind,Ancient of Wisdom,Ancient of War
Who rides Nightsabre Panthers?, Huntresses,Wind Druids,Head Hunters,Huntresses,Archers
"What unit or hero does the phrase I can see clearly, now the rain has gone belong to?", Grom Hellscream,Thrall,Shadow Hunter,Grom Hellscream,Thief
What is the very first car you drive in the Need for Speed: Most Wanted game?, BMW M3 GTR,Golf GTI,BMW M3 GTR,Corvette C6,Lamborghini Gallardo
How many maximum infractions can you get in a single pursuit in the game Need for Speed: Most Wanted?, 8,10,9,8,7
"In the racing game Need for Speed: Most Wanted, where is is Blacklist number one located?", Rockport,Johan City,Rockport,Goodwales,Amberhill
Who created the theme song of the Super Mario Brothers game?, Koji Kondo,Nobuo Uematsu,Koji Kondo,Yasunori Mitsuda,Shigeru Miyamoto
"The sound chip of the Commodore 64 home computer, released in 1982, was very advanced for its time.  It had three channels with several different waveforms, which could reach 8 different octaves each (approximately 16 - 4000 Hz).  Name the chip.", Sound Interface Device,Sound Interface Disk,Sound Interface Component,Sound Interface Device,Sound Interface Chip
My rogue in the game Dungeons and Dragons wants to use a wand of Greater Invisibility. In order to do this he must make a Use Magic Device check at what Difficulty Class?, 20,25,30,20,15
Which of the listed bonuses in the game Dungeons and Dragons stacks?, Dodge,Dodge,Enchantment,Armor,Divine
Which of these feats does not prevent attacks of opportunity in one form or another in the role-playing game Dungeons and Dragons?, Flyby Attack,Spring Attack,Flyby Attack,Improved Unarmed Strike,Improved Trip
Which Knowledge Skill would allow you to determine the type of Giant you are facing in Dungeons and Dragons?, Nature,Dungeoneering,Religion,Arcane,Nature
"In the game Dungeons and Dragons, a character with 5 ranks in Bluff gains a +2 synergy bonus to all these skills but one. Which is the odd one?", Gather Information,Diplomacy,Intimidate,Sleight of Hand,Gather Information
Which of these is not a correct entrance requirement to join the Assassin Prestige Class in Dungeons and Dragons?, Disguise 8 ranks,Disguise 8 ranks,Move Silently 8 ranks,Hide 8 ranks,Alignment: Any evil
"In the game Dungeons and Dragons, Aamonks Ki Strike ability evolves in what order?"," Magic, Lawful, Adamantine","Magic, Adamantine, Lawful","Lawful, Magic, Adamantine","Magic, Lawful, Adamantine","Adamantine, Magic, Lawful"
"In Dungeons and Dragons, the Tumble Difficulty Class needed to kip up, according the Complete Adventurer book, is what?", 35,30,35,40,25
Which class in Dungeons and Dragons does not get evasion?, Barbarian,Monk,Rogue,Ranger,Barbarian
"Of the choices for a Rangers favored enemy in Dungeons and Dragons, which number is immune to sneak attacks?", 5,6,4,3,5
How many golden skulltulas could you get as child Link out of the whole game The Legend of Zelda: Ocarina of Time?, 35,35,10,20,30
How many heart pieces can you get as adult Link in the game The Legend of Zelda: Ocarina of Time?, 24,5,24,20,10
"In the video game The Legend of Zelda: Ocarina of Time, what are the two places where you can get the hylian shield?", Kakariko Graveyard and Hyrule town market.,lake Hylia and Hyrule castle.,Haunted Wasteland and Zoras domain.,Goron city and Kokiri forest.,Kakariko Graveyard and Hyrule town market.
"In The Legend of Zelda: Ocarina of Time, how many items do you get that are improved later in the game?", four,one,six,three,four
"In The Legend of Zelda: Ocarina of Time, how many items do you trade to get the Biggorons sword?", 9,11,7,10,9
Which of the following is NOT a character class in World of Warcraft?, Blood-Elf,Warlock,Paladin,Blood-Elf,Druid
Which of the following races cannot play a Hunter in World of Warcraft?, Gnome,Draenei,Gnome,Dwarf,Tauren
What is the Iron Maiden song performed in Guitar Hero 3?, The Number of the Beast,The Metal,Enter Sandman,One,The Number of the Beast
"Who sings Slow Ride, one of the songs included in Guitar Hero 3?", Foghat,Foghat,Metallica,ZZ Top,Sonic Youth
What song by Tenacious D appeared in the video game Guitar Hero 3?, The Metal,Lou,Bulls On Parade,Anarchy in the U.K.,The Metal
What is the way to evolve the pokemon Tangela to tangrowth in the Diamond and Pearl Pokemon series?, Level it up after learning ancient power.,Level it up after learning ancient power.,Trade it while holding a growth incense.,Use a leaf stone on it.,Level it up.
How do you evolve Rhydon into Rhyperior in the Diamond and Pearl Pokemon series?, Trade Rhydon up while holding a protector.,Level Rhydon up.,Trade Rhydon up while holding a hard stone.,Trade Rhydon up while holding a protector.,Trade Rhydon.
In what way can you evolve the pokemon Gilgar into Gliscor in the Diamond and Pearl Pokemon series for Nintendo DS?, None of these,Trade it.,Trade it holding a razor fang.,None of these,Level up.
How do you evolve an Electabuzz into an Electrivire in the Diamond and Pearl Pokemon series?, Trade it while holding a electrizer.,None of these,Trade it while holding a electrizer.,Give it a electrizer.,Train it while holding a electrizer.
"In Pokemon Diamond and Pearl, in what way do you evolve a Porygon2 into a Porygon-Z?", Give it a dubious disc and trade it.,Give it an upgrade and trade it.,Give it a tech disc and trade it.,Level it up.,Give it a dubious disc and trade it.
What is the way to evolve a Yanma into a Yanmega in the Diamond and Pearl Pokemon series for Nintendo DS?, At level 33 let Yanma learn anchient power.,At level 33 let Yanma learn rollout.,At level 33 let Yanma learn silver wind.,None of these,At level 33 let Yanma learn anchient power.
Which of these is the correct way to evolve a Kirlia into a Gallade in Pokemon Diamond and Pearl?, None of these,Use a dawn stone on Kirlia.,Trade Kirlia.,Use a dawn stone on a female Kirlia.,None of these
In what way can you evolve the pokemon Snorunt into a Frosslass in the Diamond and Pearl Pokemon series for Nintendo DS?, Use a dawn stone on a female Snorunt.,Use a dawn stone on a male Snorunt.,Use a shiny stone on a male Snorunt.,Use a dawn stone on a female Snorunt.,Use a shiny stone on a females Snorunt.
How do you evolve a Dusclops into a Duskinoir in Pokemon Diamond and Pearl?, Trade a Dusclops that is holding a reapers cloth.,Trade a Dusclops.,Train Dusclops at night.,Trade a Dusclops that is holding a reapers cloth.,None of these
At what location does the PS2 role-playing game Final Fantasy X start?, Zanarkand,Zanarkand,Mt. Gagazet,Besaid,Kilika
Which other team member do you meet first in the PS2 game Final Fantasy X?, Auron,Rikku,Kimhari,Auron,Yuna
"In Final Fantasy X, where does Yuna perform her first Sending?", Kilika,Kilika,Besaid,Djosé,Home
"In Final Fantasy X, where do you get each of the following aeons respectively: Ifrit, Shiva, Yojimbo, Valefor, Magus Sisters, Ixion?"," Kilika, Macalania, Calm Lands, Besaid, Requiem, Djose","Djose, Requiem, Besaid, Macalania, Calm Lands, Kilika","Kilika, Macalania, Calm Lands, Besaid, Requiem, Djose","Macalania, Kilika, Calm Lands, Gagazet, Requiem, Djose.","Kilika, Djose, Calm Lands, Requiem, Besiad, Macalania"
Where is Maester Seymour the final time you have to fight him in the PS2 role-playing game Final Fantasy X?, In the Sea of Sorrows inside Sin,On top of Mt. Gagazet,On the Highroad in Bevelle,Outside Besaid,In the Sea of Sorrows inside Sin
"According to Final Fantasy X, what does this sentence in the Al Bhed language translate to: Xna ehi ayo degurk e wouj?", Why are you taking a quiz?,How can you ignore a call?,Did you see Tidus swim?,Why not see snakes a rule!,Why are you taking a quiz?
"In Yunas speech at the end of Final Fantasy X, what phrase is an almost direct reference to Tidus?", The dreams that have faded,The friends who have gone,Stand by your friends,The dreams that have faded,Life is a game of blitzball
What does Sarias Song do in Legend of Zelda Ocarina of Time?, Enables you to talk to Saria,Enables you to fly,Teleports you to the Hyrule Castle,Teleports you anywhere,Enables you to talk to Saria
What game console is the strategy video game Thrillville available on?, Xbox/PSP/PS2,DS/Gamecube/PS3,Xbox/PSP/PS2,PSP/PS3/PS2,PS3/PS2/DS
"In the simulation and strategy Thrillville, what is the best way to increase your attraction meter?", Play the flirt mini-game,Play the flirt mini-game,Talk with the person,A challenge the person to a mini-game off,Ride rides together
Who are the people that save the gang from Tabuu in Super Smash Bros. Brawl?," Ness, King Dedede, Luigi, Kirby","Ness, King Dedede, Luigi, Kirby","Mario, Luigi, Pit, Bowser",Nobody saves them.,"R.O.B., Lucario, Snake"
How many rooms are there in the Great Maze in Super Smash Bros. Brawl?, 40,There is no great maze.,126,999999,40
What character from Super Smash Bros. Brawl was not in Super Smash Bros. Melee?, Ike,Pikachu,Falco,Link,Ike
"Including the Melee Pokemon Stadium, how many stadiums in Super Smash Bros. Brawl are related to Pokemon?", 3,2,6,1,3
What is the function of the the Astral Amulet in the computer game Chrono Cross?, Serves as a key to open  dimension ports to other worlds,Serves as a key to open  dimension ports to other worlds,To see the future,Makes you invisible,Upgrades your weapons
"In the computer game Chrono Cross, the water dragon gives you what ability?", Ice Breath,Ice Breath,Fire attack,Blizzard storm,Water attack
Who made the following statement in the game Chrono Cross: I love you so much... That is why I sometimes desire to smash you to bits!!!?, Fate,Fate,Kid,Lynx,Sarge
Which of these songs from the Chrono Cross soundtrack is on the sound clip?, Radical Dreamers,Garden of the Gods,Radical Dreamers,Frozen Flame,Dream of  the Shore Near Another World
"Which Chrono Cross character delivered the following words: In your eyes, I perceive both the look of a beauty  and the look of a beast.?", Fortune Teller,Harle,Kid,Fortune Teller,Serge
Listen to the sound clip and name the song from the Chrono Cross soundtrack., Dreamwatch of time,Dreamwatch of time,Radical Dreamers,Time Scar,Dragon Knight
What type of Pokemon is Tyranitar?, Rock dark,Rock dark,Ground dark,Ground,Ground rock
Name the RuneScape character who is the duke of Lumberidge., Horacio,Horacio,Haracio,Roald,Royald
"In the game RuneScape, wearing Zamorack armour requires this level.", 40,50,40,35,99
"At the start of the RPG game Final Fantasy VIII, which characters are shown in the opening movie?"," Squall, Seifer, Rinoa, Edea","Squall, Seifer, Rinoa, Edea","Squall, Rinoa","Squall, Seifer, Quistis","Zell, Selphie, Squall"
What is inside the lamp given to you by Headmaster Cid before your first official SEED mission in the role-playing game Final Fantasy VIII?, Diablos,Ethers,Ifrit,Potions,Diablos
"In Final Fantasy VIII, what is Seifers romantic dream?", To be Edeas knight,To be Edeas knight,To marry Selphie,To date Rinoa,To go on holiday with Ade
"Which two characters played Rock, Paper, Scissors in the role-playing game Final Fantasy VIII?", The Brothers,Seifer and Squall,Adel and Edea,The Brothers,Squall and Zell
"In the last fight of the role-playing game Final Fantasy VIII, who does Ultimecia summon?", Griever,None of these,Rinoa,Ultima Weapon,Griever
Which of these is not included in the game Animal Crossing?, A barbers shop.,A tailors shop,A dump,A museum,A barbers shop.
"In Runescape, what creature lives in the basement of Draynor Manor?", a vampire,a vampire,a witch,a werewolf,a zombie
What is the highest level your character can go up to in the Runescape game for non-members?, 126,99,126,113,It never ends
What item do you obtain from the 2006 Runescape Christmas Special?, a reindeer hat,a pair of Santas magical boots,a reindeer hat,a Santa hat,a polar bear suit
"Which of these anime characters can use the technique, known as Rasengan?", Naruto,Kakashi,Lee,Tenten,Naruto
What did anime character Sasuke say when he received the cursed seal?, Im an avenger.,Ill destroy your whole clan.,Im an avenger.,With this power Ill brake every bone in your body.,You are dead.
Who taught Sasuke the Chidori technique in the Naruto series?, Kakashi,Naruto,Itachi,Kakashi,Orochimaru
What technique in the Naruto series was created by Kakashi?, Chidori,Primary lotus,Rasengan,Leaf whirlwind,Chidori
What does Naruto dream of being in the self-titled anime series?, hokage,hokage,real estate salesman,singer,a pizza man
What Naruto character was initially infatuated with Sasuke?, Sakura,Ino,None of these,Sakura,Hinata
You get the P90 weapon at what level in Call of Duty 4?, 40,37,43,34,40
How many different weapons are there in Call of Duty 4?, 29,30,29,17,22
"In the adventure video game Banjo-Kazooie, how many turtles are in Tiptups choir?", 6,7,6,5,8
"In Gobis Valley from the Banjo-Kazooie adventure video game, how many notes are there in front of the door that you ride the magic carpet to?", 5,3,5,9,7
"In Mad Monster Mansion from the Banjo-Kazooie video game, what is the time shown on the clock above the church?", None of these,13 oclock,None of these,The hands are moving,Midnight
