Questions,Correct,A,B,C,D
"After his father was killed, this man sought revenge. He joined Quantrills fighting force. It was reported that he often frothed at his mouth in his almost psychopathic rage in battles. Some sources say he had a silk string with knots for every shot Yankee.", William Bloody Bill Anderson,Jim Murphy,Billy the Kid,William Bloody Bill Anderson,Sundance Kid
"This man was known as the Mexican Robin Hood. He set up a band of 5 members, all with the same first name. His band is credited with stealing more than $100,000 in gold and over 100 horses.", Joaquin Murietta,Belle Star,Nathaniel Reed Texas Jack,George Newcomb Bitter Creek,Joaquin Murietta
"This criminal was active during the Gold Rush. He was famous for leaving poems in the place of the gold that he had stolen. He never robbed valuables from the passengers of the stagecoaches, he preferred treasure boxes.", Black Bart,Henry Clay White,Cyrus Skinner,Bob Younger,Black Bart
"This man was nicknamed the King of the Cowboys after he took part in the gun fight at the OK Corral in Tombstone, Arizona. When in 1879 he went West in Arizona, he achieved still more infamy, as the main antagonist of Wyatt Earp.", Johnny Ringo,Johnny Ringo,Tom Starr Uncle Tom,Jim Murphy,Lee H. Musgrove
"In August of 2005, a Category 4  hurricane devastated the Gulf coast of the U.S.,  leaving much of the city of New Orleans flooded and without power.  Name the hurricane responsible for this widespread swath of destruction.", Katrina,Rita,Louise,Katrina,Isabella
"On May 22, 1987, a multiple vortex tornado devastated this small Texas town.", Saragosa,Saragosa,Texarcico,Northumberland,Zeetop
"The towns of Dana, Enfield, Greenwich, and Prescott, Massachusetts were all disincorporated on April 28, 1938, because of the following.", The land was needed for a large reservoir.,"It was agreed upon by a consensus of the 4 towns populace, to disincorporate due to flagging economic conditions.","All 4 towns were destroyed in a massive fire, and the area was rebuilt as a distant suburb of Boston.",The land was needed for a large reservoir.,A major railroad  company secured rights to the land and built a rail line through the heart of all 4 towns.
"Jonestown, Guyana, home to the Peoples Temple religious cult,  was virtually wiped off the map in November of 1978, when the cult leader induced 900 of his followers to drink cyanide laced Kool - Aid.  What was this cult leaders name?", Rev. Jim Jones,Rev Dr. Parker Smalling,Rev. Alloyuishius Gant,Rev. Jim Jones,Rev. Donald Dunforth
"Muscogee, Florida was once a thriving village located 20 miles NW of Pensacola, Florida.  It was founded in 1857, yet by 1928 it was all but abandoned.  What was the cause of this towns demise?"," It was a lumber mill town, and in 1928, the mills were sold.","It was a haven for circus performers until 1925, when the circus left for Sarasota, and the performers followed.","It was a lumber mill town, and in 1928, the mills were sold.","It was a town largely dependent on the fishing industry, which experienced an economic downturn in the early 1920s.",It was flooded to make way for a canal which is part of the Inter - Coastal Waterway.
"New Burlington, Ohio was once a community located in NW Clinton County, Ohio.  It was flooded when the U.S. Government  flooded Caesar Creek in order to construct a reservoir.  When did this take place?", 1970s,1960s,Late 1880s,1970s,1930s
"Achilles, Kansas was a thriving town whose heyday ran from the 1870s to approximately 1915.   By the year 1930, it was all but defunct.  What was responsible for this towns demise?", It was bypassed by the railroad.,It became one of the casualties of The Great Depression.,"It was largely devastated by a tornado in late 1915, and never recovered economically.",It was bypassed by the railroad.,"It was requisitioned by the U.S. Army Corp. of Engineers, and slated to be flooded  in 1930."
"In 1988, this talk show host once brought out 67 pound of animal fat to show how much weight they lost.", Oprah Winfrey,Oprah Winfrey,Johnny Carson,David Letterman,Rikki Lake
This musician sang about an Uptown Girl in 1983., Billy Joel,Bryan Adams,Paul Simon,Elton John,Billy Joel
This group is known for their 1984 song Were Not Gonna Take It., Twisted Sister,Quiet Riot,Ratt,Rough Cutt,Twisted Sister
What term did hippies use to refer to the institutions and structures they rejected?, The Establishment,The Power,The System,The Reign,The Establishment
"The term Summer of Love, associated with the hippie counterculture movement, refers to the summer of what year?", 1967,1965,1971,1970,1967
"Which of these artists did not participate in the Woodstock festival, an event regarded as the high point of the hippie movement?", Bob Dylan,Jimi Hendrix,Bob Dylan,Joe Cocker,Janis Joplin
"In this 1979 movie, Claude Bukowski, a boy from Oklahoma, visits New York City and befriends a group of hippies before being sent to an Army training camp.", Hair,The Misfits,Hair,The Strawberry Statement,Yellow Submarine
"Which American novelist, held Acid Tests in the 1960s, together with his circle of friends, known as the Merry Pranksters?", Ken Kesey,Norman Mailer,Kurt Vonnegut,Joseph Heller,Ken Kesey
The Free Speech Movement was a student protest that began in 1964 on the campus of which university?," University of California, Berkeley","University of California, Berkeley","California State University, Los Angeles","Anderson University, Indiana",Florida International University
Which British band released the hit single Hippy Hippy Shake in 1963?, The Swinging Blue Jeans,The Swinging Blue Jeans,The Kinks,The Rolling Stones,The Hollies
Which of these 1960s famous hippie gatherings did not take place in San Francisco?, Nambassa,The Human Be-In,The Summer of Love,Nambassa,The Love Pageant Rally
"Which 1970 book includes advice on such topics as growing marijuana, starting a pirate radio station and stealing food?", Steal This Book,To Sail Beyond the Sunset,Stranger in a Strange Land,The Cat Who Walks Through Walls,Steal This Book
"In 1969, John Lennon and Yoko Ono held two, week-long Bed-Ins for Peace. In which city was their first Bed-In?", Amsterdam,Amsterdam,Los Angeles,Montreal,New York City
"The Vietnam War is viewed not just as a conflict between South Vietnam and North Vietnam, but as a conflict of ideology between the communist block and western values. Which of these countries did not belong to the coalition of forces that supported the western-oriented, South Vietnam?", The United Kingdom,The United Kingdom,Australia,New Zealand,South Korea
"This Academy Award-winning film, directed by Oliver Stone, is based on the autobiographical book of Ron Kovic, a Vietnam War veteran, who became an anti-war activist.", Born on the 4th of July,Born on the 4th of July,Platoon,Apocalypse Now,Hair
"This is the code name of the bombing operation in North Vietnam, carried out by the US armed forces, which lasted between 1965 and 1968.", Operation Rolling Thunder,Operation Farmgate,Operation Rolling Thunder,Operation Urgent Fury,Operation Arc Light
This US President introduced his policy of ‘vietnamization’- enabling the South Vietnamese to take more responsibility for fighting the war on their own., Richard Nixon,Lyndon Johnson,Richard Nixon,Harry Truman,John Kennedy
"This communist offensive, launched on January 30, 1968, which comprised attacks on major cities and military bases throughout South Vietnam, was named after an important Vietnamese public holiday.", Tet Offensive,Tet Offensive,Ram offensive,Ngay Offensive,Ong offensive
"Shooting at anti-war demonstrators at this university on May 4, 1970, triggered a nationwide student strike across America.", Kent State University,University of Maryland,Western Washington University,Kent State University,University of Montana
"Name the route running from South Vietnam through Laos and Cambodia into North Vietnam, used by North Vietnamese for sending soldiers to the south and for supplying the NLF (National Liberation Front ).", Ho Chi Minh Trail,Bao Dai Trail,Diem Trail,Chi Thien Trail,Ho Chi Minh Trail
This American diplomat and statesman served as a National Security Advisor and later as a Secretary of State. He was awarded the 1973 Nobel Peace Prize for his role in negotiating a ceasefire and US withdrawal from the war in Vietnam., Henry Kissinger,Dean Rusk,Henry Kissinger,Robert McNamara,William Westmoreland
"This American was sentenced to life in prison, because in 1968 he led the My Lai massacre of Vietnamese civilians, including women, children and elderly men.", William Calley,Clark Clifford,John Kerry,William Calley,Ernest Medina
"In this film, set during the Vietnam war, the following words are delivered by Lieutenant Colonel Bill Kilgore:  You smell that? Do you smell that? Napalm, son. Nothing else in the world smells like that. I love the smell of napalm in the morning.", Apocalypse Now,The Deer Hunter,Apocalypse Now,Platoon,Casualties of War
"During the American Civil War, in April 1862, Union Flag Officer David Farragut, who was in command of the West Gulf Blockading Squadron, took control of which vital port of the South?", New Orleans,Tampa,New Orleans,Mobile,Charleston
"After the death of this Confederate general on on May 10, 1863, General Lee remarked, I have lost my right arm.", Jackson,Pickett,Jackson,Boregaurd,Armstrong
What African American Regiment helped to assault Fort Wagner in South Carolina during the American Civil War?, 54th Massachusetts,31st Connecticut,22nd Pennsylvania,52nd New York,54th Massachusetts
"Which general commanded the Confederate forces at the Battle of Gettysburg, that started on July 1, 1863?", Robert E. Lee,George Meade,George Pickett,Robert E. Lee,James Longstreet
"Ulysses S. Grant and Robert E. Lee served together in which military conflict, regarded as a prelude to the American Civil War?", Mexican War,Indian War,Mexican War,Harpers Ferry,Bleeding Kansas
"What play was President Lincoln watching at Fords Theatre, when he was assassinated by a Southern sympathizer from Maryland?", Our American Cousin,Othello,Our American Cousin,Our Fair Lady,Macbeth
"The Battle of Worcester, the Battle of Hopton Heath, and the Battle of Winceby are just three of the battles during this civil war.", English Civil War,Irish Civil War,English Wars of the Roses,American Civil War,English Civil War
"The Battle of Grunwald, the Battle of Chojnice, and the Battle of Swiecin are three battles fought during this war.", Thirteen Years War,Breton War of Succession,Onin War,War of Scottish Independence,Thirteen Years War
"The Battle of Ludford Bridge, the First Battle of St Albans, and the Battle of Blore Heath are three battles fought during this war.", Wars of the Roses,Norman Conquest,Hundred Years War,Swabian War,Wars of the Roses
"The Battle of Sandepu, the Battle of Mukden, and the Battle of Dairen are just three of the battles fought during this war.", Russo-Japanese War,Russo-Japanese War,Long March in China,Second Sino-Japanese War,First Sino-Japanese War
"The Battle of Passchendaele, the Battle of Cer, and the Battle of the Frontiers were fought during this war.", WWI,WWI,Turco-Italian War,Polish-Soviet War,Czechoslovak-Polish War
"The Battle of El Alamein, the Battle of Narvik, and the Battle of Crete were fought during this war.", WWII,WWI,WWII,Great Poland Uprising,Polish-Lithuanian War
"The Battle of the Nile, the Battle of Radzyn, and the Battle of Aspern-Essling.", Napoleonic Wars,The Great Game,Napoleonic Wars,Wars of Scottish Independence,Ten Great Campaigns
"The Battle of Custoza, the Battle of Palestro, and the Battle of Calatafimi.", Italian Independence wars,Italian Independence wars,Turco-Italian War,Italian Wars,Second Italo-Abyssinian War
"The Battle of Uji, the Battle of Dan-no-ura, and the Battle of Muroyama were all fought during this war.", Genpei War,First Sino-Japanese War,Genpei War,Wars of Sengoku Period in Japan,Russo-Japanese War
"The Battle of Ap Bac, the Battle of Dak To, and the Battle of Hamburger Hill.", Vietnam War,Korean War,Ogaden War,Vietnam War,Indonesia-Malaysia confrontation
"The allies of WW2 initially consisted of three countries, which were later joined by others. Which of these countries never joined the Allies?", Japan,Japan,Italy,China,France
"Which was the formal reason for the end of World War II, on September 2, 1945?", The formal surrender of Japan,The surrender of Germany,The number of civilians that had died,The usage of an increased number of atomic weapons,The formal surrender of Japan
What two countries were invaded by Germany on 9 April 1940?, Norway and Denmark,Norway and Great Britain,Norway and France,France and Denmark,Norway and Denmark
"In which month of 1940 did the Soviet Union occupy Latvia, Lithuania, and Estonia?", June,May,June,August,September
"On 28 October 1940, launching the invasion from bases in Albania, Italy invaded this country.", Greece,Greece,Bulgaria,Checzoslovakia,France
"Nazi Germanys attempt at invading the Soviet Union, known as Operation Barbarossa, started on what date?"," 22 June, 1941","22 July, 1941","22 June, 1941","22 June, 1940","22 August, 1941"
"This strategic meeting between the heads of the governments of the United Kingdom and the United States took place from December 22, 1941 to January 14, 1942.", The Arcadia Conference,The Arcadia Conference,The Yalta Conference,The Allied Conference,The Strategic Conference
"What happened on July 14,1789?", A mob of French peasants stormed the Bastille and started the French Revolution,Japan opened ports to international shipping,Argentina gained independence from Spanish rule,The American Revolution ended,A mob of French peasants stormed the Bastille and started the French Revolution
"Which of these events occurred on November  22, 1963?", John F. Kennedy was assassinated in Dallas,The United States bombed North Vietnam for the first time,Robert F. Kennedy was assassinated in Los Angeles,John F. Kennedy was assassinated in Dallas,The Beatles performed first concert in the US
"The date November 11, 1918 is famous with what event?", World War I ended,The first case of Asian flu was reported in the USA,Marie Curie discovered Radium,World War I ended,Adolf  Hitler was born
"What historical event took place on October 14, 1066 AD?", England was conquered by the Normans in the Battle of Hastings,The Vikings landed in America,The Muslims retook Jerusalem,The Chinese first used fireworks in battle,England was conquered by the Normans in the Battle of Hastings
"What happened on July 4, 1826?", Both Thomas Jefferson and John Adams died,Andrew Jackson resigned as President,"Russia declared war on Turkey, starting the Crimean War",The Mexican army crossed into Texas,Both Thomas Jefferson and John Adams died
"What historical event occurred on March 15, 44 BC?", Julius Caesar was assassinated by members of the Roman senate,Julius Caesar was assassinated by members of the Roman senate,The first calendar was started by the Mayans in Central America,Korea gained independence from Japan,Mark Antony married Cleopatra
"Which of these events took place on June 18, 1815?", Napoleon was beaten at Waterloo,The noble gas Neon was discovered,Russia claimed the territory of Alaska,Napoleon was beaten at Waterloo,Andrew Jackson and his troops defeated the British at New Orleans
"Which of the following events happened on March,1692?", The Salem witch trials began in New England,"An earthquake in Mexico killed over 10,000",The Salem witch trials began in New England,General Braddock was killed by the French,The Indians sold Manhattan Island to the Dutch
"The date July 2, 1937 is remembered with what event?", Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean,"Japan bombed Shanghai, off the coast of China, killing over 2,000",Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean,The Spanish Civil War ended,Charles Lindbergh crossed the Atlantic
"Which of these events occurred on December 29, 1170 AD?"," Thomas Becket, Archbishop of Canterbury, was slain in his church","Thomas Becket, Archbishop of Canterbury, was slain in his church",Mongols crossed the Danube river into Hungary,Danish ships landed at Greenland and claimed it as a province,"Black Plague began in Genoa, Italy"
With what nations military did the US conduct desert exercises in 1981?, Egypt,Iraq,Saudi Arabia,Egypt,Iran
The US mining of what nations harbors created a congressional frenzy in April of 1984 and was  a case heard by the International Court of Justice?, Nicaragua,Japan,Qatar,Panama,Nicaragua
President Reagan was shot in 1981 as he left this hotel., The Washington Hilton,"Ritz-Carlton, Washington DC",The Washington Hilton,The St. Regis Washington DC,"Park Hyatt, Washington"
"By 1983, less than 10% of all movie theaters in America had only one of these.", Screen,Stadium seating theater,Ticket register,Concession stand,Screen
"What major comic book character underwent a costume change in 1984, wearing a suit that was black and white instead of blue and red?", Spiderman,Superman,Spiderman,Captain America,Batman
Robert E. Lee commanded the Confederate army at Gettysburg. Who led the Union forces?, George Meade,George Meade,Winfield Scott,Daniel Sickles,Ulysses Grant
Which of these landmarks could not be found on the Gettysburg battlefield?, Hells Half Acre,Little Round Top,Devils Den,Hells Half Acre,Seminary Ridge
This twenty-year-old was the only civilian killed during the Battle of Gettysburg., Jennie Wade,Benjamin Bryan,Michael Cordori,Wesley Culp,Jennie Wade
"This 70-year-old citizen of Gettysburg grabbed his rifle during the first day of the battle and joined the Unions Iron Brigade. Not surprisingly, he was the only civilian to take part in the battle itself.", John Burns,Donald Pfanz,Richard Sommers,John Proctor,John Burns
"General Lees three corps commanders at Gettysburg were Longstreet,  A.P. Hill and who else?", Richard Ewell,Richard Ewell,Richard Garnett,Issac Trimble,Johnston Pettigrew
This Union general was killed by a sniper on the first day of the Battle of Gettysburg., John Reynolds,Abner Doubleday,Joshua Chamberlain,John Reynolds,John Sedgwick
This cavalry officer commanded the Union cavalry at Gettysburg., John Buford,George Custer,John Buford,Judson Kilpatrick,Wesley Merritt
"At the beginning of WW II, The British and the French were so surprised by the swiftness of the German attack on its neighbor that for some time no response ensued. This period lasted till May, 1940 and is known by what name?", Phony War,Phony War,Blitzkrieg,Anschluss,Boer War
"The Tripartite Pact was signed on September 27, 1940 by Germany, Italy and Japan. Later, three more countries joined - Hungary, Romania and Bulgaria. When did Bulgaria join the pact?"," March 1, 1941","November 20, 1940","March 3, 1941","November 23, 1940","March 1, 1941"
This May 1942 battle was the first one to be fought only by aircraft carriers., Battle of the Coral Sea,Battle of the Coral Sea,Battle of Midway,Battle of the Aleutian Islands,Battle of the Leyte Gulf
"Even though mainland Britain was not actually invaded in World War II, it had prepared a resistance movement, known under what name?", Auxiliary Units,Home Guard,Dukes,Auxiliary Units,Partisans
"Who accepted the surrender of the German military forces in Northwest Germany, Holland and Denmark on May 4, 1945?", General Montgomery,General Zhukov,General Jacques Leclerc,General Montgomery,General George Marshall
"During World War I Germany built and used one of the biggest guns in military history, Big Bertha. It fired 2,100 lb (820 kg) shells at a range of 15 km (9.3 miles) and was used in the assault of Verdun. Big Bertha was named after this member of the designers family.", His wife,His mother,His wife,His grandmother,His mother-in-law
"Even though Bertha was a formidable gun, this one was even bigger. Paris Gun was used to bombard Paris during World War I. What was its main purpose?", To attack the morale of enemy soldiers,To demolish large buildings,To kill as many civilians as possible,To bombard important bunkers,To attack the morale of enemy soldiers
"During World War I and II, this German family created some of the biggest guns in the world. In the years of WW I they sold cannons to the the Entente as well as the Central Powers. Their work became the center for German rearmament after 1933 (when Hitler came to power).", Krupp,Krupp,Nathan,Kramer,Gustav
"This is the biggest gun ever to be completed. It was 43 m (141 feet) long, weighed 1350 tons and fired 7 ton shells at range of 40 km (25 miles). It was capable of piercing a meter (3.3 feet) of steel or 7 meters (23 feet) of concrete. One of the two ever built guns of this type was called Schwerer Gustav. What was the name of the other one?", Dora,Sturmtiger,Leopold,Robert,Dora
The 1990s introduced us all to grunge music. Which popular grunge band are known for their 1994 song Black Hole Sun?, Soundgarden,Alice in Chains,Nirvana,Soundgarden,Pearl Jam
"On what cartoon from the 90s did we meet the characters Tommy, Angelica, and Chuckie?", Rugrats,Animaniacs,Hey Arnold!,Rugrats,Rockos Modern Life
"On August 12 of this year, the Major League Baseball players went on strike which resulted in the cancellation of the World Series.", 1994,1991,1993,1994,1996
"In what year did the popular sitcom, Friends, first air?", 1994,1994,1992,1993,1995
