Questions,Correct,A,B,C,D
James Cameron was so immersed in the movie Titanic that he actually spent more time with the real Titanic than the passengers.,B,False,True,,Q Leonardo DiCaprio was not the first choice for the role of Jack in the movie Titanic.
"Titanic, written and directed by James Cameron, was nominated for 11 Academy Awards.",A,False,True,,Q Who played the unsinkable Molly Brown in the movie Titanic?
What kind of car is Richard Geres character driving in the movie Pretty Woman?,A,Lotus Esprit,Porsche Carrera,Lamborghini Gallardo,Lamborghini Murcilago
"In the film Pretty Woman, this character, portrayed by Julia Roberts, is a prostitute who meets Edward Lewis, after he asks her for directions.",A,Vivian Ward,Vivian Vance,Vivian Brandt,Vivian Tyler
Who was the best friend and roommate of Julia Roberts character in the film Pretty Woman?,D,Kat,Lee,Lou,Kit
"In the film Pretty Woman, Edward Lewis takes the character portrayed by Julia Roberts to see which opera?",A,La Traviata,MacBeth,Madame Butterfly,Rigoletto
In the film Pretty Woman how much money does Edward Lewis pay Julia Roberts character to be his escort?,C,"$1,000","$8,000","$3,000","$5,000"
In a scene from the movie Pretty Woman Julia Roberts character is taking a bath and listening to her walkman. What song is she singing?,D,Material Girl by Madonna,Like a Virgin by Madonna,Bad Girls by Donna Summer,Kiss by Prince
Did actor Al Pacino turn down the lead role in the film Pretty Woman?,A,Yes,No,,Q What year did the movie Sixteen Candles come out in the movie theatres in the United States?
What is the name of Jake Ryans girlfriend in the movie Sixteen Candles?,B,Samantha Baker,Caroline Mulford,Caroline Inthecity,Eve Quizeditor
"In the movie Sixteen Candles, Molly Ringwald played the part of Samantha Baker. What actress was originally chosen to play that part?",C,Lori Loughlin,Demi Moore,Ally Sheedy,Emma Thompson
What is the name of the foreign exchange student in the classic 80s movie Sixteen Candles?,A,Long Duc Dong,One Hung Low,Egg Foo Yeung,Sum Guy Tony Wang
"In the movie Sixteen Candles, Anthony Michael Hall plays the part of Farmer Ted. In order to show his friends that he is cool, he fabricates a story about Samantha and himself. What does he produce to his friends, to show that he was with Samantha?",D,Her Bra,Her phone number,A picture with Sam and himself in a photo booth,Her underwear
Sams sister Ginny is having menstrual cramps right before her wedding in Sixteen Candles. What does she take to relieve the pain?,B,Vodka,muscle relaxants,Midol,a bunch of aspirin
Where did Samantha Baker and her family live in the film Sixteen Candles?,D,New York,Detroit,Philadelphia,Illinois
"In the movie Sixteen Candles, Farmer Ted ends up getting together with Jake Ryans girlfriend. They wake up in the back seat of Jakes fathers car. What kind of car is it?",B,Cadillac,Rolls Royce,Corvette,Jaguar
What actor played the part of Samanthas dad Jim Baker in Sixteen Candles?,C,Moses Gunn,Paul Schmooley,Paul Dooley,Ben Dover
What is the name of the character portrayed by actor John Cusack in the hilarious movie Sixteen Candles?,C,Harvey,Rick,Bryce,Cliff
What kind of car does Jake Ryan drive in the classic flick Sixteen Candles?,A,Porsche,Rolls Royce,69 Mustang,Trans Am
What year did the classic movie Jaws come out in the movie theatres?,A,1975,1973,1979,1971
"At the beginning of the movie Jaws, a girl goes out for a swim and is eaten by the great white shark. What is the girls name?",D,Penelope,Sarah,Eli,Chrissy
What was the name of the fishing vessel used in the attempts to catch the great white shark in the movie Jaws?,D,Shark Catcher,The Pacific Princess,The SS Minnow,The Orca
Who plays Chief of Police Martin Brody in the classic movie Jaws?,A,Roy Scheider,Robert Shaw,Justin McAllister,Richard Dreyfuss
"In the movie Jaws a mother puts a bounty on the great white shark, after her boy is killed. How much is the bounty?",B,"$20,000","$3,000","$10,000","$5,000"
Who played  Marine biologist Matt Hooper in the movie Jaws?,D,Matt Houston,Lee Horsley,Robert Shaw,Richard Dreyfuss
Where was the local shooting done for the movie Jaws?,B,"Brooklyn, New York","Marthas Vineyard, Massachusetts",New Jersey,"Junction City, Kansas"
Actor Lee Marvin was originally offered the role of shark bounty hunter Quint in the movie Jaws.,A,True,False,,Q The movie Jaws scared so many people that the beach attendance was down in the summer of 1975.
What were the names of chief Brodys two sons in the movie Jaws?,B,Neal and Bob,Michael and Sean,Anthony and Bobby,Greg and Peter
"In the novel Jaws, Chrissy Watkins is said to have been eaten by the great white shark in mid-June, but in the movie when her death certificate is being typed, the date of her death is different. What is it?",A,July 1st,May 31st,August 13th,September 4th
What year did the classic movie Home Alone first hit the theatres in the United States?,A,1990,1991,1992,1993
The McCallister family flies away for Christmas vacation and leaves their son Kevin home alone. What country is the McCallister family going to for the holidays?,A,France,Italy,India,Japan
Robert DeNiro and Danny DeVito were first considered for the roles of burglars Harry and Marv in the hilarious movie Home Alone.,A,True,False,,"Q In the movie Home Alone, what is the name of Kevins neighbor, the elderly man, who is allegedly a murderer called The South Bend Shovel Slayer?"
Where do the McCallister family reside in the great 90s movie Home Alone?,C,Detroit,Philadelphia,Chicago,New York
What is the nickname of burglars Marv and Harry in the movie Home Alone?,B,Barney  Clyde,The Wet Bandits,Rob  Stealin,The James Gang
What is the name of Kevin McCallisters wise cracking brother in the movie Home Alone?,D,Marty,Spike,Bizz,Buzz
There were three sequels to the first Home Alone movie prior to 2003.,B,False,True,,"Q In the movie Home Alone, Kevins brother had a pet tarantula. What was its name?"
"In the movie Home Alone, when Harry (one of the burglars) comes to the house impersonating a police officer, Kevin sees him and realizes that he has seen him before robbing one of his neighbors houses. What does Kevin notice about him that makes him figure out that he is one of the burglars ?",B,he walks with a limp,a gold tooth,he has one finger missing on his right hand,he is wearing a wig
This line was spoken by actress Clara Blandick in which 1939 motion picture: Now you go feed those hogs before they worry themselves into anemia.?,A,The Wizard of Oz,State Fair,Oklahoma,Gone With the Wind
"In this 1946 movie, set during Christmas time, Harry Bailey said the following about his brother, played by James Stewart: To my big brother George - the richest man in town!",C,White Christmas,Somewhere in Dreamland,Its a Wonderful Life,The Gift of the Magi
"What actor delivered this roguish line in a noted Civil War movie that premiered in 1939?  ...and you Miss, are no lady.",A,Clark Gable,Lionel Barrymore,Spencer Tracy,Humphrey Bogart
"This 1967 film starred Dustin Hoffman who asked the question: Mrs. Robinson, youre trying to seduce me. Arent you?.",A,The Graduate,John and Mary,All the Presidents Men,Kramer vs. Kramer
"Name the 1931 movie that contains the quote,  Listen to them, the children of the night. What music they make.",B,The Wolfman,Dracula,The Devils Castle,Curse of the Demon
"The following words were spoken by the character Carl Denham in which 1933 movie: Oh, no.  It wasnt the airplanes. It was Beauty killed the Beast?",B,The Beast,King Kong,Beauty and the Beast,The Bride of the Beast
"Which science fiction movie contains these words, spoken by Elliot: He needs to go home, hes calling his people, and I dont know where they are, and he needs to go home.?",C,The Ewok Adventure,Fire in the Sky,E.T. the Extra - Terrestrial,Flight of the Navigator
"These words were delivered by Scottish national hero William Wallace, who was featured in what 1995 movie: Aye, fight and you may die, run, and youll live ...   at least for awhile.?",A,Braveheart,The Bruce,The Black Prince,The Warrior
What is the name of the place in which the main characters of Pirates of the Caribbean live?,A,Port Royal,Royal Pointe,Black Pearl,England
"In Pirates of the Caribbean, Jack Sparrow intended to pick up a crew in Tortuga.",B,False,True,,"Q This ship, featured in Pirates of the Caribbean, is the next fastest in the Caribbean after the mystic Black Pear."
Did the movie Pirates of the Caribbean: The Curse of the Black Pearl come out in 2003?,A,Yes,No,,"Q Which character from Pirates of the Caribbean said the following words: What do you say to three schillings, and we forget the name??"
Grenada is the real name of the island on which Pirates of the Caribbean was filmed.,B,True,False,,Q This fictional character from Pirates of the Caribbean made the following statement: I make a point of avoiding familiarity with pirates.
The movie Pirates of the Caribbean: The Curse of the Black Pearl was directed by Gore Verbinski and produced by Jerry Bruckheimer.,B,False,True,,Q Early on in the movie Walk the Line Johnny Cash enlists in what branch of the military?
"Singer Johnny Cash was very close to his older brother Jack, who died in an accident involving what?",C,Shotgun,Tractor,Table Saw,Wagon
"What is the birth name of singer Johnny Cash, whose life is depicted in the movie Walk the Line?",B,Johnny Cash,J. R. Cash,John Randall Cash,John Cash Jr.
"While in the military, Johnny Cash is inspired by a film about a prison and its inmates and composes what famous song?",C,Behind These Folsom Walls,Ring of Fire,Folsom Prison Blues,Folsom Blues
"Actor Joaquin Phoenix, who portrays singer Johnny Cash, does all his own singing in the film.",B,False,True,,"Q Before marrying June Carter, singer Johny Cash was married to whom?"
"In the film Walk the Line, a record executive says to Johny Cash, Whats with the black? You look like you are going to a funeral. What does Johny reply?",C,Wishful thinking?,Only my own,Maybe I Am,He doesnt respond
"In the film Walk the Line, the part of Cashs long-time friend, Waylon Jennings was played by Jennings  son in real life. What is his name?",C,Harvey Jennings,Hank Jennings,Shooter Jennings,Stormer Jennings
"Is it true that singer June Carter worked side by side with Reese Witherspoon, who portrayed her in Walk the Line, helping the actress to perfect the role.",B,Yes,No,,Q Dr. Hannibal Lecter aids Clarice Starling in finding serial killer Buffalo Bill in which 1991 movie?
This doctor who can communicate with animals is portrayed by Eddie Murphy.,D,Dr. Evil,Dr. Strangelove,Dr. Zhivago,Dr. Dolitte
"In this 1978 film, Doctor Sam Loomis is the psychiatrist who takes care of Michael Myers at Smiths Grove-Warren County Sanitarium in Illinois.",B,The Amityville Horror,Halloween,Dawn of the Dead,The Omen
"In this comedy - horror film, Dr. Everett Von Scott is a scientist who rivals Dr. Frank-N-Furter.",C,The Texas Chain Saw Massacre,The Exorcist,The Rocky Horror Picture Show,Carrie
In this 1968 film Maurice Evans portrays Dr. Zaius who thinks all humans must be exterminated.,B,Casino Royale,Planet of the Apes,2001: A Space Odyssey,Goldfinger
Nigel Bruce portrayed Dr. Watson in what 1939 film?,B,The Adventures of Philip Marlowe,The Adventures of Sherlock Holmes,The Adventures of Dick Tracy,The Adventures of Sam Spade
"“The Exorcist”, rated as the scariest movie of all time, is burlesqued in which part of  “Scary Movie”?",B,Scary Movie 4,Scary Movie 2,Scary Movie 3,Scary Movie
"In “Scream”, what were the words that Billy spoke right before shooting Randy and revealing himself as one of the killers?",A,We all go a little mad sometimes.,"Boy, do I have a surprise for you!",I told you I have a surprise for you.,"Surprise, Sidney!"
"Freddy Krueger, the villain in “A Nightmare on Elm Street”, was named after which of these?",C,a carpenter who killed his entire family,the first names of a couple of  burglars,a bully,an old jazz singer
"Michael Myers, the psychopath from the Halloween series, wears a mask. The first mask he wore was actually a misshaped mask of  a famous character in a show. Who is the character and  what is the name of the show?",B,"Robin, “Batman”","Captain Kirk, “Star Trek”","John Steed, “The Avengers”","Lt. Kojak, “Kojak”"
"In the Hellraiser series, in order for Pinhead to be summoned, one should do what?",D,dial a 7-digit number and say “I call you! Come now!”,spell out his name five times in front of a mirror,break the spell that keeps him in Hell,open a puzzle box
"In the movie “Bride of Chucky”, the fourth of the Child’s Play series, Chucky’s girlfriend Tiffany brings Chucky back using what book about voodoo magic?",B,The Power of Voodoo Magic,Voodoo 4 Dummies,The Voodoo Guide 2000,Voodoo Forever
"Jason Voorhees, the main character in Friday the 13th series puts on a mask to hide his horrible face in which movie?",A,Friday the 13th Part 3,Friday the 13th Part 2,Friday the 13th Part VI: Jason Lives,Friday the 13th: A New Beginning
"Who directed the 1980 movie “The Shining”, based on a Stephen King novel and starring Jack Nicholson?",C,Francis Ford Coppola,Alfred Hitchcock,Stanley Kubrick,Steven Spielberg
Which of the following is not a horror movie?,A,Gods and Monsters,Urban Legends,Candyman,Hostel
How does prom queen Helen Shivers die in the 1997 blockbuster “I Know What You Did Last Summer”?,B,She is throat-slashed,She is hooked to death,She is poisoned with hydrocyanogen,She gets hit by a car
"Saturday Night Fever, a movie about the troubled Brooklyn youth, Toni Manero, helped to popularize disco music. In what year did the movie come out?",C,1979,1978,1977,1976
"What was the name of Tony Maneros brother, portrayed by actor Martin Shakar in the movie Saturday Night Fever?",A,Frank,Joey,Domenick,Johnny
"This English born director had worked for television for years before his breakthrough with Saturday Night Fever. His filmography includes movies such as, Dracula, Point of No Return and Brothers Keeper.",D,Stanley Kubrick,Gene Carr,Oliver Stone,John Badham
"Jewish American actress Fran Drescher, famous for her nasal New York accent, played in the movie Saturday Night Fever.",B,False,True,,"Q In the movie Saturday Night Fever, Toni Manero was the indisputable king at the disco, where he forgot about his dead-end job. What did Tony actually do for a living?"
"In the movie Saturday Night Fever, Tony Manero and his friends from Bay Ridge, Brooklyn, climbed along the parapets of which bridge?",A,Verrazano Narrows Bridge,Triboro Bridge,Manhattan Bridge,Brooklyn Bridge
"In Saturday Night Fever, this character, portrayed by Barry Miller, fell off the bridge and died.",D,Frank,Enzo,Gino,Bobby
"Tony Manero, the main character in the movie Saturday Night Fever, had posters of which actor?",B,Robert DeNiro,Al Pacino,Dustin Hoffman,Harvey Keitel
"In Saturday Night Fever, Tony Manero and his friends go dancing in order to escape from the harsh reality of life. What is the name of the disco club they visit every Saturday night?",A,2001 Odyssey,Elefas,Thriller,Boogie Wonderland
"In Saturday Night Fever, this actress portrayed the aloof Stephanie Mangano, who after much urging, agreed to be Tony Maneros partner in a dance competition.",D,Donna Pescow,Fran Drescher,Ellen Travolta,Karen Gorney
What is Andrews last name in the movie The Breakfast Club?,B,Clay,Clark,Dickinson,Sutherlin
"In the film The Breakfast Club, Allison gives Bender one of her diamond earrings.",B,True,False,,Q What year did the movie The Breakfast Club come out?
How many students had to spend their Saturday in detention in the movie The Breakfast Club?,A,5,7,8,10
Why did Brian get a Saturday detention in the film The Breakfast Club?,D,All of these,He had pot and marijuana,He killed someone,He was going to kill himself
"In the movie The Breakfast Club, Claire Standish is played by Ally Sheedy.",B,True,False,,"Q In the movie the Breakfast Club the following words were said by Andrew: Dear Mr. Vernon, we accept the fact that we had to sacrifice a whole Saturday in detention for whatever it was we did wrong. But we think youre crazy to make us write an essay telling you who we think we are."
The movie The Breakfast Club was rated PG-13.,A,False,True,,Q This war movie was the first movie to win the  Academy Award for Best Picture.
Which 1997  movie was nominated for 14 Academy Awards?,A,Titanic,Shakespeare in Love,Gandhi,The Last  Emperor
Which one of these movies did not win 10 Academy Awards?,A,Amadeus,Titanic,Ben-Hur,The Lord of the Rings: The return of the King
Which movie adaptation of a Broadway musical won eleven Academy Awards?,D,My Fair Lady,Oliver,Gigi,West Side Story
Which 1987 movie won the Best Picture Award?,B,My Fair Lady,The Last Emperor,On the Waterfront,Gigi
Which of these Westerns won 7 Academy Awards?,A,Dances with Wolves,How the West Was Won,Fort Apache,"The Good, The Bad , and the Ugly"
Which British movie won 8 Oscars?,B,Mrs. Miniver,Gandhi,A Room With A View,Oliver!
Which two movies have been nominated for 11 Academy Awards but won none?,D,Ragtime and The Elephant Man,Quo Vadis and The Nuns Story,Peyton Place and The Sand Pebbles,The Color Purple and The Turning Point
This 1972 musical won 8 Academy Awards but not the Best Picture Award.,D,Chicago,My Fair Lady,Gigi,Cabaret
"This movie won Oscars for Best Picture, Best Original Screenplay and Best Editing at the 78th Academy Awards.",C,Traffic,The Aviator,Crash,Saving Private Ryan
What was Gollums real name before he became obsessed with the idea of having the One Ring?,B,Smealum,Smeagol,Gameagol,Gamgee
Approximately how many Orcs participate in the battle of Helms Deep in the movie Lord of the Rings?,A,"10,000","500,000","50,000","100,000"
"In the The Fellowship of the Ring movie, what is the name of Sams crush?",B,Sally,Rosie,Suzie,Rubby
"In Lord of the Rings, which of these is a son of Denethor II, the twenty-sixth and last Ruling Steward of Gondor?",B,Aragorn,Faramir,Baramir,Theoden
Whose rulers wife dies giving birth to their son Theodred in Lord of the Rings?,A,Theodens,Elronds,Haldirs,Denethors
"In Lord of the Rings, what is Boromir’s younger brother’s name?",D,Haldir,Albert,Eomer,Faramir
How many rings were given to humans by Sauron in Lord of the Rings?,B,5,9,7,11
Which of these is a name of a location in the Lord of the Rings films that translates Pass of the Spider?,B,Númenor,Cirith Ungol,Minas Morgul,Minas Tirith
What was the race of humans that fought against the Fellowship and their Allies in Lord of the Rings?,C,Noldorin,Mûmakil,Easterlings,Istari
"In Lord of the Rings, what was the name of the bread given by the Elves to the Fellowship?",C,Sindarin,Athelas,Lembas,Quenya
"In Star Wars: A New Hope, who was R2-D2 and C-3POs original master?",B,Obi Wan Kenobi,Princess Leia,Luke Skywalker,Anakin Skywalker
In Star Wars Princess Leia is being held at what block on the Death Star?,B,1553,1138,1838,1332
Which character on Star Wars said No blasters! No blasters!?,B,Dr. Evazan,Bartender,Greedo,Stormtrooper
What wars did Star Wars character Obi Wan Kenobi fight in?,A,Clone Wars,Rebellion Uprising,Cold Wars,Imperial Wars
In Star Wars Episode IV: A New Hope Princess Leia tells Grand Moff Tarkin that the rebel base is where?,C,Alderaan,Tatooine,Dantoine,Endor
"Which Star wars character delivered the words, I cant. Its too big.?",B,Han Solo,Luke Skywalker,Leia,Yoda
Which character does Luke call for first when hanging below Cloud City in The Empire Strikes Back?,B,C3P0,Ben Kenobi,Yoda,Leia
What was Lukes call sign while in the surroundings of Hoth in The Empire Strikes Back?,A,Echo 3,Echo 5,Echo 1,Echo 7
Name the Star Wars character who said: Search your feelings. You know it to be true.,D,Obi Wan Kenobi,Yoda,Emperor Palpetine,Darth Vader
What was ejected from the first Star Destroyer in The Empire Strikes Back?,D,Nothing,Tie Fighter,Transport Pod,Imperial Probe Droid
How old does Star Wars character Yoda say he is?,C,400 years,100 years,900 years,500 years
"What is the name of the lead singer of The Max Rebo Band, featured in The Return of the Jedi?",B,Doda Bodonawieedo,Sy Snootles,Max Rebo,Joh Yowza
