Questions,Correct,A,B,C,D
Which Xeno is capable of teleporting in N.O.V.A?,A,Heavy Demon,Red Demon,Imp,Fiend
"In N.O.V.A, President Folson is unarmed.",A,False,True,,Q Boreas is the only desert planet in the N.O.V.A series.
What is the name of the damsel you have to save in the classic arcade game Donkey Kong?,C,Peach,Daisy,Pauline,Dixie Kong
"Which of these was a name that game character, Mario, was once called?",C,Koopa,Plumberio,Jumpman,Luigi
"Who or what turned Warios treasure into monsters in the game, Wario World?",C,Kemmy Koopa,Lemmy Koopa,The black jewel,Bowser
"In the Mario games, what animal is a paratroopa?",C,A bird,A lizard,A turtle,A tiger
"When first created, Mario game character, Birdo, was what?",B,A dog,A boy,A girl,A bird
"In the video games of Mario, is Luigi Marios cousin?",A,No,Yes,,"Q In the Mario video games, Bowser is the king of what?"
Who is the last boss in video game Paper Mario 2?,C,Gloom Tail,Bowser,Shadow Queen,Cackletta
Which movie is this Warcraft 3 quote from?,,andit: -What we have here is a failure to communicate.,Cool Hand Luke,For a Fistful of Dollars,Dirty Sanchez
Where does the popular video game character Mario live?,C,The Koopa Kingdom,The Kingdom of Sarasaland,The Mushroom Kingdom,Yoshi Island
What is Marios nationality according to Nintendo video games?,A,Italian,American,Mexican,British
Has the video game character Mario ever been in a TV show?,B,No,Yes,,Q What was the first video game in which Mario appeared?
Why does Mario wear a red cap in the Mario series of games?,A,The creators didnt have the technology to animate his hair.,He is bald.,He cant make his hair neat.,He likes his cap.
Has Nintendo character Mario ever been a bad guy?,B,No,Yes,,Q What does the Fire Flower do to Mario in the Mario video games?
What effect does the Super Mushroom have on Mario in the popular series of video games?,A,It makes him bigger.,None,It makes him impervious to danger.,It makes him smaller.
"In the Mario series of video games, Mario never uses any weapons.",A,False,True,,Q What is Marios occupation in the Mario series of games?
What is the name of the land where most of the Legend of Zelda games take place?,B,Hylia,Hyrule,Sacred Realm,Termania
Which monster made its first appearance in the game The Legend of Zelda: Majoras Mask?,A,Chu-Chu,Armos,Keese,Octorok
Which one of the Legend of Zelda games does not feature the same Link as the others?,C,Ocarina of Time,Links Awakening,Wind Waker,Majoras Mask
Which of the following is not an item that Link uses in the Legend of Zelda series of games?,B,A magical leaf used for flying,A spear used for immobilizing enemies,A jar that can suck stuff into it and shoot out gusts of wind,A candle for shooting fire at enemies
In the Legend of Zelda series of games Link has not worn a tunic in what colour?,A,yellow,blue,red,green
Which games were included in the 2003 Legend of Zelda Collectors edition that became available on the Nintendo GameCube?,C,"The Legenda of Zelda, The Adventure of Link, A Link to the Past, Ocarina of TIme","Orcale of Seasons, Orcale of Ages, Links Awakening, and Minish Cap","The Legend of Zelda, The Adventure of Link, Ocarina of Time, Majoras Mask","A Link to the Past, Majoras Mask, Ocarina of Time, Wind Waker"
"Which Final Fantasy 3 character is known for blitzes such as Bum Rush, Pummel, and Suplex?",D,Edgar,Setzer,Locke,Sabin
What character from the Final Fantasy series used a weapon called the Buster Sword?,C,Sephiroth,Squall Leonhart,Cloud Strife,Seifer Almasy
What was the name of the summoned creatures that aided the characters in the Final Fantasy 8 game?,D,Materia,Summonings,Espers,Guardian Forces
Which character was the main villain in the American Final Fantasy 3 game?,B,Sin,Kefka,Garland,Sephiroth
Which Final Fantasy game was released in North America on 7 September 1999?,C,Final Fantasy 10,Final Fantasy 9,Final Fantasy 8,Final Fantasy 7
Which one of these Final Fantasy characters didnt own an airship?,C,Setzer Gabbiani,Daryl,Rinoa Heartilly,Cid Highwind
What year was the first Final Fantasy game released in Japan?,D,1989,1988,1990,1987
"This character, who has appeared in nearly every Final Fantasy game, usually provides transportation to the main characters.",B,Edgar,Cid,Sabin,Squall
In this Final Fantasy spin-off every new recruit starts out as a Squire or a Chemist.,D,Final Fantasy Mystic Quest,Final Fantasy Tactics Advance,Kingdom Hearts,Final Fantasy Tactics
Final Fantasy X featured which mini-game?,B,Snowboarding,Blitzball,Triple Triad,Tetra Master
Which video game is the following quote from?,,ve got muscles in places youve never even heard of.,Escape from Monkey Island,Escape from Monkey Island,Simon the Sorcerer 3D
Which video game are the following quotes from?,,,": Come on, comrades! Up to the rooftop! Go!",: Get that flag up! Berlin is ours!,Call of Duty
What is the cheat for getting 50 000 simoleans in the computer game The Sims 2?,C,kaching,all of these,motherlode,simoleons_$$$
What are the expansion packs available for The Sims 2 game?,C,"Odd Jobs, Pets",All of these,"University, Night Life, Family Fun, Open for Business","Makin Magic, Holiday, Party"
"In the computer game The Sims 2, in order for a Sim to have a baby, you must select the woohoo option on a different Sim.",A,False,True,,"Q On the cover of the Sims 2 University expansion pack there is a picture of two Sims, one male and one female. What is the male Sim wearing?"
Bella Goth is absent from the family when The Sims 2 begins.,B,False,True,,"Q In Open for Business, the third expansion pack for The Sims 2, Sims may earn 25 business perks."
Was the computer game The Sims 2 made solely by EA games?,A,No,Yes,,Q The Sims 2 game is rated E (Everyone).
"What is the name of the robot in The Sims 2, that fetches take-away food?",B,HungryBot,MunchieBot,Bot,FoodBot
"In Nightlife, the second expansion pack for The Sims 2, Sims can have their own cars.",B,False,True,,Q Which is not an actual die?
This class has the ability to smite evil.,B,Rogue,Paladin,Ranger,Sorcerer
"This race doesnt sleep, they meditate instead.",B,Dwarf,Elf,Human,Changeling
Which of these is not a feat?,B,Quick Draw,Knowledge Arcana,Forge Ring,Toughness
You roll a d20 for attack rolls (to see if you hit your opponent).,A,True,False,,Q Which item costs the most according to the Players Handbook?
"How far can a medium sized, unencumbered creature walk in one round?",C,20 feet,50 feet,30 feet,10 feet
Which class casts arcane magic innately?,D,Ranger,Cleric,Wizard,Sorcerer
This 9th level wizard spell is sought after by many characters as a reward.  Many wizards also strive to learn this spell.,B,Power Word Kill,Wish,Imprisonment,Gate
This class must choose 2 weapon fighting or archery as their weapon style at 2nd level.,C,Bard,Cleric,Ranger,Fighter
Where is the first warp whistle located in the game Super Mario 3?,A,world 1-3,world 1 fortress,world 2-5,world 1-4
"In Mario Kart: Double Dash, what is the last thing you unlock by getting gold in the all cup tour in mirror mode?",A,Parade car,Bullet car,Super Mario car,Ganondorf car
Which of the following characters can bounce off walls in the game Super Smash Brothers Melee?,D,Luigi,Ness,Yoshi,Young Link
"In the game Luigis Mansion, which of these in not one of Marios lost items?",C,Marios shoe,Marios hat,Marios belt,Marios star
Who is the boss at the end of world 5 in the game Super Mario 2?,D,Birdo,Tryclide,Bowser,Clawgrip
"In the game Super Mario 1, which level in world 7 is a water level?",B,7-1,7-2,7-4,7-3
"In Super Mario World, you start the game on which island?",B,Toads Island,Yoshis Island,Peachs Island,Bowsers Island
Which of these is not a playable character in the video game Mario Party 4?,D,Peach,Donkey Kong,Mario,Toad
"In the game Super Mario Sunshine, where is Bowser when you fight him at the end?",C,in his castle,in a volcano,in a hot tub,in the windmill with Petey Piranha
What does Mario use for his power shot in the game Mario Power Tennis?,B,a fiery racket,a hammer,a star,a fire fist
What is the God Pokemon called in Pokemon Pearl and Diamond?,D,Giratina,Dialga,Cresselia,Arceus
The Pokemon creature Snorunt can evolve in which of the following?,B,Glalie  Snolie,Glalie  Froslass,Glalie  Galrunt,Glalie  Probopass
In what Pokemon version can Palkia be obtained?,A,Pearl,Blue,Diamond,Red
What was the first ever ghost Pokemon to appear in a Pokemon episiode?,B,Misdreavus,Gengar,Ghastly,Haunter
What Pokemon abducted Professor Spencer Haled in the movie Pokemon 3?,C,Aipom,Gengar,Unknown,Entei
How many heroes are alive at the end of Startcraft: Brood War?,A,"6 - Artanis, Arcturus Mengsk, Jim Raynor, Zeratul, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Zeratul","5 - Fenix, Arcturus Mengsk, Edmund Duke, Samir Duran, Sarah Kerrigan","7 - Aratnis, Arcturus Mengsk, Aldaris, Samir Duran, Sarah Kerrigan, Fenix, Jim Raynor"
Edmund Duke leads which group of elite fighters?,A,Alpha Squadron,Beta Squadron,Delta Squadron,Omega Squadron
What type of unit is Zeratul?,C,Dark Archon,High Templar,Dark Templar,Zealot
What are characteristics of the Archon unit?,C,10 hit points and 250 plasma shield,20 hit points and 250 plasma shield,10 hit points and 350 plasma shield,20 hit points and 300 plasma shield
What unit says that in the game?,C,Zealot,Scout,Dark Templar,Zealot
What is Alexei Stukovs rank?,C,General,Admiral,Vice Admiral,Corporal
During which mission do Edmund Duke and Fenix die?,A,True colors,Omega station,Day of lightning,Hammer falls
Who leads the UED (United Earth Directorate forces)?,B,Samir Duran,Gerard DuGalle,Jim Raynor,Alexei Stukov
Who is Kerrigan talking to?,C,Zeratul,Edmund Duke,Fenix,Artanis
"What is the name of the Italian plumber, thats also the mascot of Nintendo?",D,Luigi,Donkey Kong,Sonic,Mario
What does KOTOR stand for?,D,Kings Of The Old Realm,Know One Tells Our Ruses,Kin Of Time Or Rain,Knights of the Old Republic
In the video game Rock Band you can play multiple instruments in the band.,B,False,True,,Q Which Age of Empires game expansion pack allows you to play as Native Americans?
What is the name of Donkey Kongs tiny sidekick?,C,Tiny Kong,Donkey Kong Jr.,Diddy Kong,Mini Donkey Kong
Which GTA game features Tommy Vercetti?,D,Grand Theft Auto III,San Andreas,"GTA 9,000",Vice City
Which game is Luis Sera featured in?,C,Burnout Revenge,Dead Rising,Resident Evil 4,Midnight Mayhem
Which of these games is not based on a comic book?,C,The Darkness,Ghost Rider,Kingdom Hearts,X-Men The Game
Which of these songs is not in Guitar Hero 2?,D,Carry on My Wayward Son,Strutter,War Pigs,We Will Rock You
"In 2007, this game was named by IGN the 3rd best GameCube game of all time.",B,Pikmin,Super Smash Bros Melee,Resident Evil 4,Nicktoons Unite
"In the Legend of Zelda: Twilight Princess, what is the name of the first sword you get?",C,Ordon sword,Four sword,Wooden sword,Master sword
"In The Legend of Zelda: Majoras Mask, how many days do you have until the moon crashes down on Temina?",C,one,nine,three,six
"There is at least one game of the Zelda series of games, released from 1986 to 2006, in which Zelda and Link get married.",A,False,True,,Q What is the name of the owner of lon-lon ranch in the Zelda series of games?
"In The Legend of Zelda: Twilight Princess, what was the name of the villain that had been fired from a joker at Hyrule Castle?",A,None of these,Gannondorf,Navi,Vati
"In the Zelda series of games, what is the name of the tribe Gannondorf comes from?",B,Zora,Gerudo,Goron,Hylian
"Link, one of the main characters in the Zelda series of games, is a member of what race?",A,Hylians,Kokiri,Zora,Goron
What is Links fathers name according to the Zelda series of games?,A,It has never been revealed.,Gerald,Sam,Lance
In which Zelda game does Link turn into a bunny when he goes into the dark world without a pearl?,B,Twilight Princess,Link to the Past,Ocarina of Time,Links Awakening
Which computer game is this soundtrack from?,A,Double Dragon,Final Fight,Punisher,Street Fighter
What island do you start on in the online role-playing game RuneScape?,D,Beginners Island,Noobonia Island,Startagonia Island,Tutorial Island
What icon is used to start a low detail RuneScape game?,C,A skeleton,An imp,A warrior,A barbarian
What is the name of the sword used to defeat the demon in the demon slayer quest of the online role-playing game RuneScape?,D,Brightheart,Demonbane,The Shining Light,Silverlight
"In the online role-playing game RuneScape, what kind of fruit is grown in Karajama?",B,Apples,Bananas,Oranges,Pineapples
Priest robes raise your mage level in the mass online game RuneScape.,B,True,False,,Q What is the highest weapon type available to nonmembers in the online role-playing game RuneScape?
What is the name of the fantasy realm in which the RuneScape game is set?,D,None of these,Modor,Gomor,Gielinor
What does Traiborn call you in the online role-playing game RuneScape?,C,Bungdungydingdong,Hugmugabugger,Thingummywut,Trindindlekindy
The action in the survival horror game Resident Evil 4 takes place in what country?,B,Germany,Spain,France,USA
Which of the guns listed is available before you beat the Resident Evil 4 game?,B,Chicago typewriter,Killer7,Handcannon,Infinite Launcher
What is the merchants real name in the video game Resident Evil 4?,C,Jeremy,Krauser,It is not mentioned,Robert
"This creature from the game Resident Evil 4 was created by splicing genes from reptiles, insects and a human into one organism.",D,None of the above,Verdugo,Garrador,U3
"In the survival video game Resident Evil 4, the handcannon with its exclusive upgrade does 99.9 damage and has infinite ammo.",B,False,True,,"Q Not including the rocket launcher, what is the second most powerful weapon in Resident Evil 4, according to its damage per shot?"
Whose final speech ends in We shall win through no matter the cost!,D,Alexei Stukov,Edmund Duke,Jim Raynor,Arcturus Mengsk
Who kills the Matriarch?,A,Zeratul,Sarah Kerrigan,Aldaris,Samir Duran
The words Doom to all who threaten the homeworld belong to which unit?,A,Zealot,Dark Templar,Archon,Dark Archon
What were the words of Sarah Kerrigan to Jim Raynor when they first met?,A,You pig!,"Hello, Jimmy","Hello, sheriff","Hello, marshal"
How many hit points does the Arclite Siege Tank have?,C,140,160,150,120
Listen to the dialogue and determine what name is missing at the end,B,Raynor,Alexei,Gerard,Kerrigan
"What hero do these words belong to: I fear no death, I fear no enemy, our",,trength is eternal,Fenix,Artanis,Zeratul
What is the official version for the death of Alexei Stukov?,D,He commits suicide after his fleet is destroyed,"He is killed by Samir Duran, because he was a traitor",His spaceship is blown up by Prottos forces,He dies during the final assault on planet Char
"Which unit says You called down the Thunder, now reap the Whirlwind.",A,Ghost,Medic,Marine,Firebat
This sound clip is from what classic Nintendo game?,C,Star Fox,Donkey Kong,Super Mario Bros,The Legend of Zelda
This sound clip is from what NES game featuring a creature that could eat anything?,D,Metroid,Legend of Zelda,Super Mario Bros.,Kirbys Adventure
This is the theme to what Xbox video game?,D,Final Fantasy,Eldar Scrolls IV: Oblivion,Rainbow 6,Halo
This is the overworld theme to this NES game that introduced the save function because the game took so long to complete.,C,Metroid,Donkey Kong,Legend of Zelda,Super Mario Bros.
This is the victory theme to what popular video game series?,C,Mortal Combat,Legend of Zelda,Final Fantasy,Super Mario
From which fighting game is this sound clip?,B,Street Fighter II,Super Smash Bros. Melee,Teken 4,Soul Caliber II
This sound clip is from what Game Boy game that spawned an anime TV show and a collectible card game?,B,Final Fantasy,Pokemon,Magic the Gathering,Yu-Gi-Oh
This sound clip is from what PC RTS game?,A,Age of Empires II,StarCraft,Command and Conquer,Warcraft III
This sound clip is a theme in which of the following Legend of Zelda games?,D,The Legend of Zelda: A Link to the Past,The Legend of Zelda,The Legend of Zelda: The Wind Waker,The Legend of Zelda: Ocarina of Time
This sound clip is from what video game series?,C,Star Wars: Rouge Squadron,Final Fantasy,Star Fox,Halo
Which of these levels is on both Star Wars: Battlefront 1 and 2?,B,Death Star,Kamino,Bespin,Mustafar
You can control Jedi on both Star Wars: Battlefront 1 and 2.,B,True,False,,Q What is the default number of points to destroy a ship in a space battle on Star Wars: Battlefront  2?
Choose the correct order for player points bonuses in Star Wars: Battlefront from least to greatest.,A,"Endurance, Guardian, War Hero","Guardian, Endurance, War Hero","War Hero, Guardian, Endurance","Marksman, Demolition, Technician"
The two levels on Kashyyyk on Star Wars: Battlefront 1 are Islands and Docks.,A,True,False,,"Q On the Star Wars: Battlefront game, which of these is among the non-player characters of the game?"
Who controls the AT-ATs on Hoth in Star Wars: Battlefront?,A,Empire,Rebels,Republic,CIS
Warchief Thrall is the leader of which clan?,D,Warsong,Death Spear,Black Rock,Doomhammer
What type of creature is the DeathWing?,A,Black Dragon,Red Dragon,Bone Dragon,Green Dragon
What unit or hero does the phrase Speak up fool belong to?,C,Ghoul,Druid of the Claw,Prince Arthas as Dead Knight,Prince Arthas
Who kills Mannoroth?,C,Thrall,Prince Arthas,Grom Hellscream,Illidan Stormrage
What unit or hero does this phrase belong to?,C,muradin bronzebeard,Human Footman,Dwarf Rifleman,Throll Hunter
Which building makes the Druid of the Claw unit?,A,Ancient of  Lore,Ancient of  Wind,Ancient of Wisdom,Ancient of War
Who rides Nightsabre Panthers?,C,Wind Druids,Head Hunters,Huntresses,Archers
"What unit or hero does the phrase I can see clearly, now the rain has gone belong to?",C,Thrall,Shadow Hunter,Grom Hellscream,Thief
"In the Pokemon TV series, Ash saw a Gyarados in the first episode.",B,True,False,,Q On what other character is Ash Ketchum loosely based in the Pokemon video games?
Is the Pokemon character Raikou included in any of the first ten Pokemon movies?,A,No,Yes,,Q What is the first season of Johto called in Pokemon series?
Was the tenth Pokemon movie released simultaneously in Japan and the USA?,B,Yes,No,,Q Where can you find the gym leader Blaine in the video games Pokemon Gold and Silver and Pokemon Crystal?
What is the very first car you drive in the Need for Speed: Most Wanted game?,B,Golf GTI,BMW M3 GTR,Corvette C6,Lamborghini Gallardo
There are a total of 20 blacklist drivers in the game Need for Speed: Most Wanted.,A,False,True,,"Q In the racing game Need for Speed: Most Wanted, what are the street names of  Blacklist numbers 1, 4, 7, and 15?"
How many maximum infractions can you get in a single pursuit in the game Need for Speed: Most Wanted?,C,10,9,8,7
Do you have a rap sheet in the game Need for Speed: Most Wanted?,A,Yes,No,,Q Which of the following refers to the ability to win a Blacklist opponents car in the game Need for Speed: Most Wanted?
"In the racing game Need for Speed: Most Wanted, where is is Blacklist number one located?",B,Johan City,Rockport,Goodwales,Amberhill
Who created the theme song of the Super Mario Brothers game?,B,Nobuo Uematsu,Koji Kondo,Yasunori Mitsuda,Shigeru Miyamoto
"Shigeru Miyamoto constructed the arcade game Donkey Kongs music himself, using an Electronic Keyboard.",A,True,False,,"Q The core of this gaming console, released in 1977, was combined with a display and sound chip known as the TIA, for Television Interface Adaptor.  The console was capable of producing 2 channel mono sound."
"The sound chip of the Commodore 64 home computer, released in 1982, was very advanced for its time.  It had three channels with several different waveforms, which could reach 8 different octaves each (approximately 16 - 4000 Hz).  Name the chip.",C,Sound Interface Disk,Sound Interface Component,Sound Interface Device,Sound Interface Chip
My rogue in the game Dungeons and Dragons wants to use a wand of Greater Invisibility. In order to do this he must make a Use Magic Device check at what Difficulty Class?,C,25,30,20,15
Which of the listed bonuses in the game Dungeons and Dragons stacks?,A,Dodge,Enchantment,Armor,Divine
Which of these feats does not prevent attacks of opportunity in one form or another in the role-playing game Dungeons and Dragons?,B,Spring Attack,Flyby Attack,Improved Unarmed Strike,Improved Trip
Which Knowledge Skill would allow you to determine the type of Giant you are facing in Dungeons and Dragons?,D,Dungeoneering,Religion,Arcane,Nature
"In the game Dungeons and Dragons, a character with 5 ranks in Bluff gains a +2 synergy bonus to all these skills but one. Which is the odd one?",D,Diplomacy,Intimidate,Sleight of Hand,Gather Information
Which of these is not a correct entrance requirement to join the Assassin Prestige Class in Dungeons and Dragons?,A,Disguise 8 ranks,Move Silently 8 ranks,Hide 8 ranks,Alignment: Any evil
"In the game Dungeons and Dragons, Aamonks Ki Strike ability evolves in what order?",C,"Magic, Adamantine, Lawful","Lawful, Magic, Adamantine","Magic, Lawful, Adamantine","Adamantine, Magic, Lawful"
"In Dungeons and Dragons, the Tumble Difficulty Class needed to kip up, according the Complete Adventurer book, is what?",B,30,35,40,25
Which class in Dungeons and Dragons does not get evasion?,D,Monk,Rogue,Ranger,Barbarian
"Of the choices for a Rangers favored enemy in Dungeons and Dragons, which number is immune to sneak attacks?",D,6,4,3,5
How many golden skulltulas could you get as child Link out of the whole game The Legend of Zelda: Ocarina of Time?,A,35,10,20,30
How many heart pieces can you get as adult Link in the game The Legend of Zelda: Ocarina of Time?,B,5,24,20,10
"In the video game The Legend of Zelda: Ocarina of Time, what are the two places where you can get the hylian shield?",D,lake Hylia and Hyrule castle.,Haunted Wasteland and Zoras domain.,Goron city and Kokiri forest.,Kakariko Graveyard and Hyrule town market.
"In The Legend of Zelda: Ocarina of Time, how many items do you get that are improved later in the game?",D,one,six,three,four
"In The Legend of Zelda: Ocarina of Time, how many items do you trade to get the Biggorons sword?",D,11,7,10,9
"In the video game The Legend of Zelda: Ocarina of Time, Link wore tunics in three colors. They were green, red and yellow.",A,False,True,,"Q How many hidden fairy fountains are there in the game The Legend of Zelda: Ocarina of Time, not counting the great fairies?"
Which of the following is NOT a character class in World of Warcraft?,C,Warlock,Paladin,Blood-Elf,Druid
Which of the following races cannot play a Hunter in World of Warcraft?,B,Draenei,Gnome,Dwarf,Tauren
The Horde and the Alliance are the two playable factions in World of Warcraft.,A,True,False,,"Q In World of Warcraft, it is possible to fly from Theramore to Stormwind."
"In World of Warcraft, it is sometimes necessary to fight other groups of players inside an instance.",A,False,True,,Q Which of the following is not a realm type in World of Warcraft?
What is the Iron Maiden song performed in Guitar Hero 3?,D,The Metal,Enter Sandman,One,The Number of the Beast
"Who sings Slow Ride, one of the songs included in Guitar Hero 3?",A,Foghat,Metallica,ZZ Top,Sonic Youth
What song by Tenacious D appeared in the video game Guitar Hero 3?,D,Lou,Bulls On Parade,Anarchy in the U.K.,The Metal
Tom Morello is a member of the band Sonic Youth.,B,True,False,,Q What is the first place you get a gig at on Guitar Hero 3?
What is the way to evolve the pokemon Tangela to tangrowth in the Diamond and Pearl Pokemon series?,A,Level it up after learning ancient power.,Trade it while holding a growth incense.,Use a leaf stone on it.,Level it up.
How do you evolve Rhydon into Rhyperior in the Diamond and Pearl Pokemon series?,C,Level Rhydon up.,Trade Rhydon up while holding a hard stone.,Trade Rhydon up while holding a protector.,Trade Rhydon.
In what way can you evolve the pokemon Gilgar into Gliscor in the Diamond and Pearl Pokemon series for Nintendo DS?,C,Trade it.,Trade it holding a razor fang.,None of these,Level up.
How do you evolve an Electabuzz into an Electrivire in the Diamond and Pearl Pokemon series?,B,None of these,Trade it while holding a electrizer.,Give it a electrizer.,Train it while holding a electrizer.
"In Pokemon Diamond and Pearl, in what way do you evolve a Porygon2 into a Porygon-Z?",D,Give it an upgrade and trade it.,Give it a tech disc and trade it.,Level it up.,Give it a dubious disc and trade it.
What is the way to evolve a Yanma into a Yanmega in the Diamond and Pearl Pokemon series for Nintendo DS?,D,At level 33 let Yanma learn rollout.,At level 33 let Yanma learn silver wind.,None of these,At level 33 let Yanma learn anchient power.
Which of these is the correct way to evolve a Kirlia into a Gallade in Pokemon Diamond and Pearl?,D,Use a dawn stone on Kirlia.,Trade Kirlia.,Use a dawn stone on a female Kirlia.,None of these
In what way can you evolve the pokemon Snorunt into a Frosslass in the Diamond and Pearl Pokemon series for Nintendo DS?,C,Use a dawn stone on a male Snorunt.,Use a shiny stone on a male Snorunt.,Use a dawn stone on a female Snorunt.,Use a shiny stone on a females Snorunt.
How do you evolve a Dusclops into a Duskinoir in Pokemon Diamond and Pearl?,C,Trade a Dusclops.,Train Dusclops at night.,Trade a Dusclops that is holding a reapers cloth.,None of these
At what location does the PS2 role-playing game Final Fantasy X start?,A,Zanarkand,Mt. Gagazet,Besaid,Kilika
Which other team member do you meet first in the PS2 game Final Fantasy X?,C,Rikku,Kimhari,Auron,Yuna
"In Final Fantasy X, where does Yuna perform her first Sending?",A,Kilika,Besaid,Djosé,Home
"In Final Fantasy X, when you enter the Farplane in Guadosalam to talk to Yunas father, Auron stays behind because he is scared of confronting Jecht.",B,True,False,,Q Which of these is not a blitzball team from the PS2 game Final Fantasy X?
"In Final Fantasy X, where do you get each of the following aeons respectively: Ifrit, Shiva, Yojimbo, Valefor, Magus Sisters, Ixion?",B,"Djose, Requiem, Besaid, Macalania, Calm Lands, Kilika","Kilika, Macalania, Calm Lands, Besaid, Requiem, Djose","Macalania, Kilika, Calm Lands, Gagazet, Requiem, Djose.","Kilika, Djose, Calm Lands, Requiem, Besiad, Macalania"
Where is Maester Seymour the final time you have to fight him in the PS2 role-playing game Final Fantasy X?,D,On top of Mt. Gagazet,On the Highroad in Bevelle,Outside Besaid,In the Sea of Sorrows inside Sin
"According to Final Fantasy X, what does this sentence in the Al Bhed language translate to: Xna ehi ayo degurk e wouj?",D,How can you ignore a call?,Did you see Tidus swim?,Why not see snakes a rule!,Why are you taking a quiz?
"In Yunas speech at the end of Final Fantasy X, what phrase is an almost direct reference to Tidus?",C,The friends who have gone,Stand by your friends,The dreams that have faded,Life is a game of blitzball
What does Sarias Song do in Legend of Zelda Ocarina of Time?,D,Enables you to fly,Teleports you to the Hyrule Castle,Teleports you anywhere,Enables you to talk to Saria
In Legend of Zelda Majoras Mask you are transformed into a Zora by Ganondorf.,B,True,False,,"Q Is it true that in Legend of Zelda Twilight Princess, after you get the Master Sword you can transform into a wolf any time you like?"
"Is it true that in Legend of Zelda and the Wind Waker, after you beat the game you can make a new file and not get Links green clothing?",A,Yes,No,,"Q In Legend of Zelda Ocarina of Time, once you pull out the Master Sword you will become older."
"Is it true that in the whole Legend of Zelda series, the currency is rupees?",A,Yes,No,,Q Where can you find the Spiritual Gem of Water in Legend of Zelda and the Ocarina of Time?
What game console is the strategy video game Thrillville available on?,B,DS/Gamecube/PS3,Xbox/PSP/PS2,PSP/PS3/PS2,PS3/PS2/DS
"In the strategy video game Thrillville, there are 4 categories in the park menu.",A,False,True,,Q Can you take control of your staff members in the Thrillville video game strategy?
"In the simulation and strategy Thrillville, what is the best way to increase your attraction meter?",A,Play the flirt mini-game,Talk with the person,A challenge the person to a mini-game off,Ride rides together
The video game Thrillville is rated T by the Entertainment Software Rating Board (ESRB).,A,False,True,,Q In the Thrillville strategy video game you cant make money off of mini-games.
"In the Thrillville video game, can you make money off of playing mini-golf?",A,Yes,No,,Q You suck up trash by using a vacuum gun in the Thrillville video game.
Who are the people that save the gang from Tabuu in Super Smash Bros. Brawl?,A,"Ness, King Dedede, Luigi, Kirby","Mario, Luigi, Pit, Bowser",Nobody saves them.,"R.O.B., Lucario, Snake"
How many rooms are there in the Great Maze in Super Smash Bros. Brawl?,D,There is no great maze.,126,999999,40
