Questions,Correct,A,B,C,D
These small bodies are considered left overs from the formation of the Solar system some 4.6 billion years ago.,D,Comets,Stars,Planets,Asteroids
These are lumps of ice and dust.  When they get close enough to the Sun they gradually evaporate.  Jets of gas and dust create long tails that people can see from Earth.,B,Asteroids,Comets,UFOs,Stars
This planet is slightly smaller than Earth and its closest neighbor (excluding the Moon).,A,Venus,Uranus,Mars,Saturn
"This planet is has the largest  group of moons - 31, but it is best known for its ring system.",C,Neptune,Mars,Saturn,Venus
This planet of the Solar System was named after a Greek god of the sea and earthquakes. The name is actually the Roman translation of the gods name.,B,Mercury,Neptune,Pluto,Uranus
"As this is the closest planet to the Sun, its temperatures at the surface range between -300 and 800 F (hot enough for lead to melt).",B,Neptune,Mercury,Pluto,Venus
"The surface of this planet is unique, it is the only one which has water in large quantities.",C,Saturn,Pluto,Earth,Mars
Which Solar System celestial bodys revolution around the Sun takes 248 years?,B,Saturn,Pluto,Neptune,Uranus
This is the largest planet in our solar system. It is most famous for its Great Red Spot.,D,Mars,Neptune,Saturn,Jupiter
"Miranda, Ariel, Umbriel, Titania, Oberon, Caliban, and Sycorax are names of the icy moons of this planet.",A,Uranus,Jupiter,Saturn,Venus
"The popular chat room abbreviation asl or a/s/l stands for age, sex, and location.",A,True,False,,Q An icon or animation to represent a participant used in Internet chat and games is referred to as this.
"If you and I are chatting over the Internet and I write LOL, that means that I am doing this.",B,Crying,Laughing,Sleeping,Eating
The terms smiley and emoticon refer to one and the same thing.,A,True,False,,Q http://www.123facts.com/ is referred to as this.
One of the following pairs (chat abbreviation - its  meaning) is wrong.,C,BRB - Be Right Back,ATM - At The Moment,TTYL - To Tell You a Lie,TIA - Thanks In Advance
One of these things will not help you to get in touch with your neighbours PC.,C,Hub,Router,Cache server,Network card
If they call me a newbie then I am new to the Internet; and/or new to the subject in general.,B,False,True,,"Q In chat jargon, the emoticon  [8-] refers to this person."
"The medical term cardio, deriving from a Greek word, refers to which organ of the human body?",D,Brain,Liver,Lungs,Heart
The term arthro is of Greek origin. It refers to which part of the body?,D,Head,Skin,Bone,Joint
"Gastro is a common medical prefix, derived from the Greek word gastros which means what?",D,Gas,Brain,Cell,Stomach
"The word hepato, which derives from Greek, refers to the kidney.",A,False,True,,"Q Erythrocytes are a type of blood cells, consisting mainly of hemoglobin. What does the word erythro mean?"
"The term thrombo, which comes from Greek, refers to a blood clot.",B,False,True,,"Q The word adeno, deriving from Greek, refers to which to what body part?"
The two terms nephro and ren both refer to the kidneys.,A,True,False,,"Q Onco, coming from the Greek word onkos refers to what?"
"The food colorants, cochineal and carmine, are made from what?",B,Frogs,A kind of insect,FDC Red Dye #40,None of these
"Jell-O, the popular gelatin dessert, is made in part, from what?",A,Bones and hides,Red ants,None of these,Horses and cows hooves
"Twinkies, the sponge cake with creamy filling, created by Hostess, have an indefinite shelf life.",B,True,False,,"Q Which of these statements, related to the effects of eating turkey, is true?"
"The traditional Japanese dish, sushi, is always made with raw fish.",B,True,False,,Q What food results in negative calories when eaten?
"Chop Suey, a pasta dish consisting of short noodles, was originally made and served in which country?",B,Thailand,USA,China,Vietnam
"Gatorade, a non-carbonated sports drink, was invented by researchers at the University of Florida and named in honor of the Florida Gators, the schools football team.",B,False,True,,"Q In 2003, the FDA issued a warning about a possible connection between green onions and which disease?"
"In the USA, the color of the plastic tags, used to seal bread bags, indicates on what day the loaves were baked.",A,True,False,,Q Death of heart tissues due to loss of blood supply correctly describes the condition known as Myocardial Infarction.
"This progressive generative disease of the brain results in loss of cognitive ability and uncontrolled movements, called chorea, the Greek word for dance.",D,Alzheimers Disease,Myasthenia Gravis,Multiple Sclerosis,Huntingtons Disease
Which of these is best describes the cause of Parkinsons disease?,D,A brain injury,Changes in the myelin sheath of the neuron,Decreased blood flow to the brain,A decrease in a neurotransmitter
"If your physician tells you that you have Presbycusis due to the normal process of aging, he may suggest that you need which of these?",D,Dentures,Glasses,A wheelchair,Hearing aid
Which of these medical terms means difficulty in swallowing.,D,dyspepsia,dysuria,dyspnea,dysphagia
Does the condition known as Hypoglycemia imply that blood sugar levels in the body are too high?,B,Yes,No,,"Q If you have hyperthyroidism, your body is overproducing what hormone?"
"Which of these most accurately describes the medical term, necrosis?",B,Irregular heartbeat,Death of living tissue,Decrease in white blood cells,Liver damage
"Your physician has ordered an electroencephalogram (EEG), the graphic recording of the electrical activity of what organ?",D,Muscles,Liver,Heart,Brain
"In the US, what was the average street cost of a lid (3/4 ounce bag) of marijuana in the mid 1970s?",C,$20.00,$10.00,$15.00,$5.00
"Marijuana is known by many names, including all of these but one. Which is the odd name?",D,Mary Jane,Weed,Pot,Janu
What is marijuanas primary active ingredient?,A,THC,TCB,TAC,TBC
How many different chemicals can be found in marijuana?,C,150,Less than 5,More than 400,200
"According to anonymous researches, conducted in the USA in 2002, most teenagers aged 12-17 have at least tried Marijuana.",A,False,True,,Q Which side effect is not related to the use of marijuana?
Marijuana is produced from parts of the male cannabis plants.,B,True,False,,"Q With the passage of the Marijuana Tax Act, the United States effectively banned recreational and medicinal use of cannabis. What year was this act adopted?"
"By amending its Opium Act in 1976, the government of which country decided to treat possession of up to 30 grams of marijuana as an activity not for prosecution, detection or arrest?",B,Columbia,Holland,Canada,USA
"What US state enacted Proposition 215, the Compassionate Use Act, which allowed sick and dying patients to legally use marijuana for medicinal purposes?",C,Alabama,Hawaii,California,Ohio
"The sphygmomanometer is a device invented by Samuel Siegfried Karl Ritter von Basch, used to measure what?",A,Blood pressure,Myopia,Intensity of headaches,Heart murmurs
"This disorder, from a Greek word meaning failure to put in order, is characterised by lack of muscular coordination, and often occurs when parts of the nervous system which control movement are damaged.",D,Narcolepsy,Dyslexia,Hyperkinesis,Ataxia
This disorder is the abnormal accumulation of cerebrospinal fluid in the ventricles of the brain.,D,Spina bifida,Multiple sclerosis,Epilepsy,Hydrocephalus
"Tourette syndrome is a neurological disorder, characterized by tics -- involuntary, rapid, movements or vocalizations.",B,False,True,,"Q This is the colloquial equivalent of the medical term Herpes zoster, which is used to define a condition, caused by the varicella zoster virus."
"Pre-eclampsia, thought to be caused by inflammatory mediators, is a medical condition associated with which of these?",A,Pregnancy,Eye infections,Brain tumor,Bronchitis
"Down Syndrome, named after Dr. John Langdon Down, is actually a chromosomal defect.",A,True,False,,"Q What medical term is synonym of jaundice, a condition characterized by yellowing of the skin, sclera and mucous membranes?"
The presence of gallstones in the gallbladder is defined by what medical term?,C,Dysentery,Hepatitis,Cholelithiasis,Cirrhosis
Arthralgia is a severe heart disorder.,A,False,True,,"Q The term encephalon, defined as the brain of a vertebrate, derives from a Greek word which means what?"
Carcino is a word of Greek origin which refers to the small intestines.,B,True,False,,Q The term blepharo derives from a Greek word and refers to which part of the body?
"An inguinal hernia occurs in the groin, the area between the abdomen and thigh.",B,False,True,,Q Which of these medical terms refers to air passages in the lungs?
"The word phlebo is of Greek origin, which comes from the root phlein, meaning to gush or to overflow.  What part of the body does this word refer to?",D,Aorta,Arteries,Capillaries,Veins
The medical prefix bucco refers to which part of the head?,C,Forehead,Eye,Cheek,Nose
"The medical prefix oophoro, which derives from Greek, refers to which part of the body?",D,Muscle,Uterus,Abdomen,Ovary
"The prefix neuro, which in Greek means sinew or string, is related to the nervous system.",A,True,False,,"Q The prefix of Greek origin, oto is used in medical terminology to refer to what body part?"
"Scientists differentiate what three basic types of memory, based on the duration of memory retention?",D,"Episodic memory, procedural memory, and semantic memory","Temporary memory, average memory, and permanent memory","Momentary memory, short-term memory, and permanent memory","Sensory memory, short-term memory, and long-term memory"
To which of these essential human abilities is memory closely related?,A,All of these,Learning,Understanding,Speaking
"Procedural Memory, a category of the long-term memory, refers to which of these basic human abilities?",D,The ability to gain and store general knowledge and information,The ability to consciously retrieve stored facts and information,The artistic and creative abilities,The ability to acquire and develop skills
"Typically, how many random items can human short-term memory store?",C,3-4,9-11,6-8,15-17
Déjà Vu is one of the curios brain phenomenon. Which of these most accurately describes the term?,A,A sensation of something seen or experienced before,A spontaneous involuntary creation of a false memory,A sudden flash of a long forgotten memory,The feeling that something familiar was never seen before
"Nearly everybody has experienced the tip-of-the-tongue situation when one is eagerly trying to think of a relatively familiar fact, name or word and is just about to recall it, but it constantly eludes him.  What is the explanation of this strange experience?",D,Aging brain cells,Mineral deficiency,Unpleasant experience associated with the memory,Another item is blocking the recollection
Which of these most accurately explains the controversial issue of  false memories?,A,Memories formed under the influence of misleading suggestions and clues,None of these,Memories lacking coherent and logical rationale,Memories causing false sensations
"One of the most basic characteristics of our memory is the ability to forget, which is considered to be this type of function.",B,Developing function,Adaptive function,Cognitive function,Protective function
"Amnesia, the loss of significant amount of important information, is a memory impairment which happens as a result of which of these?",D,Specific malfunctions in the brain,Physical injury,Psychological trauma,All of these
"In the study of memory, what does the term mnemonist refer to?",A,Individual with exceptional memory,Individual with severe memory disorders,Individual who tends to create false memories,Individual who has recovered from amnesia
What is the main cause for most pandemics in history?,A,The domestication of animals,Human negligence,Genetic experiments,The bad hygiene of the people
During which war did the first known pandemic take place?  It dates back to 430 BC.,A,The Peloponnesian War,The Punic Wars,The Persian Wars,The Trojan War
Which Roman emperor died of Antonine plague? This plague was actually named after him.,A,Marcus Aurelius,Vespasian,Claudius,Augustus
Is there a cure for the plague?,A,Yes,No,,"Q At this stage of the plague, one of the the symptoms is the presence of black patches on the skin."
This disease had 7 pandemics and is still causing epidemics.,B,Plague,Cholera,Typhus,Influenza
This terrible disease killed as much as 5% of the worlds population and affected almost 20% in just six months.,A,Spanish Flu,Measles,Bubonic plague,Cholera
The smallpox isnt dangerous.,B,True,False,,Q Which of these countries did cholera affect most?
Cancer is considered a pandemic.,A,False,True,,Q This is one of the most common health problems that comes from being overweight.
"In the USA, obesity is the second leading cause of preventable death after this one.",D,Stress,Drugs,Pollution,Smoking
How many people are overweight around the world?,D,More than 3 million,More than 1 million,More than 5 million,More than 1 billion
"When starting a diet you have to consume at least this number of calories per day, otherwise you will lose muscle.",D,2000,1000,1500,1200
Which of the following has the most fat?,C,Cottage Cheese,Feta,American Blue Cheese,Parmesan
Body Mass Index (BMI) is the relation between body mass and height.  If your BMI is in this range then you are considered overweight.,A,25 to 29.9,20 to 24.9,15 - 19.9,10 - 14.9
This is the most recommended activity that helps prevent or fight obesity.,B,Quitting alcohol,Getting exercise,Eating salads only,Drinking a lot of water
At what time in a womans life is she most likely to gain the most weight?,B,After the age of 60,During pregnancy,Before her menstruation,During menopause
Women become overweight easier than men.,B,False,True,,Q What does being obese in some countries with food shortages symbolizes?
"Jason has 3 quarters, 8 nickels, 6 dimes and 3 pennies. How much money does he have?",B,$0.35,$1.78,$2.58,$1.93
"What is the next number in the following sequence: 42, 48, 54, __?",D,64,50,58,60
"In the following division problem, the quotient is 2:",,,2 / 6 = 2.,True,True
"6 is a multiple of 2 and 3, 9 is a multiple of 3 only, 10 is a multiple of 5 and what other number?",B,10,2,15,5
"How would you write 236,598 out in words?",B,"Two million, thirty-six thousand, five hundred ninety-eight","Two hundred, thirty-six thousand, five hundred ninety-eight","Three hundred, thirty-six thousand, six hundred ninety-eight","Two hundred, three thousand, five hundred ninety-seven"
The eyes of males are bigger than those of females.,B,False,True,,Q The eyes of a baby weigh about 1/400 of its entire body mass. How much do the eyes of an adult weigh?
"An adult salivates this much per day, on average.",C,2 liters (1/2 gallons),0.1 liters (0.026gallons),1 liter (1/4 gallons),1.2 liters (0.32 gallons)
How long are the intestines of an average adult? (large and small),C,approx 1-2 meters (3-6.5 feet),approx 19-20 meters (62-65 feet),approx 8-9 meters (26-29.5 feet),approx 15-16 meters (49-52.5 feet)
The growth hormone is released from this gland.,B,Pancreas,Hypophysis,Adrenal Gland,Pineal Gland
How many teeth does an average human have?,D,28,29,34,32
"What can microexpressions, a type of tiny fleeting facial expressions, help you understand about the person you are talking with?",D,Their real attitude towards the topic,Their emotional state,Whether they are telling the truth or not,All of these
Which one of these statements about facial microexpressions is not true?,D,Microexpressions are involuntary.,Microexpressions can be controlled with certain types of chemicals.,Microexpressions contain much more information than common expressions.,Microexpressions can be easily read by any person.
"Kismet, a complicated technological achievement, is a very important step in the understanding of human facial expressions and their role in socialising. What is actually Kismet?",C,A technique for enhancing the ability of the face to conduct emotions,"A set of tiny devices implanted under the skin, which detect microexpressions",A sociable humanoid robot,"An advanced computer system, designed to analyze microexpressions"
What British naturalist published the first major scientific study on facial communication in 1872?,D,Leonardo Da Vinci,Alfred Brehm,James Edward Smith,Charles Darwin
"In medicine, which of these brain disorders does the term prosopagnosia refer to?",D,The inability to express emotions,Misinterpretation of basic human expressions,Total indifference to others expressions,The Inability to recognize faces
In which of these countries is showing negative facial expressions considered impolite and is therefore avoided?  Negative expressions are instead usually masked with smile or laughter.,D,Peru,Kenya,Indonesia,Japan
What emotional state does the gesture of narrowed eyes convey?,A,"Threat, distrust","Satisfaction, joy","Sadness, frustration","Anger, excitement"
Experiments prove that men are usually better at decoding facial expressions than women.,B,True,False,,Q Laughter is one of the first expressions of emotions babies learn to convey.  At about what age do babies start to laugh?
"This organ contains many bacteria, which begin to digest surrounding organs immediately after death.",C,Liver,Stomach,Intestines,Rectum
"A large number of flies can appear around a dead body within the first 24 hours of death.  This is mainly because the flies lay eggs on the body, this multiplying their numbers.",A,True,False,,"Q In average conditions, approximately how many hours does it take for the dead bodys temperature to equalize with the surrounding environment?"
Which of the following happens three days after the moment of death?,C,The body starts to shrink,The body starts to emit smell,The body starts to swell,The nails are so loose that they can be pulled off
"Because of the substance present in these structures of the human body, they can be preserved for centuries avoiding decomposition.",A,Teeth,Nails,Eyelashes,Eyeballs
"Which part of the body is decomposed last, but before the bones?",B,Cartilages,Hair,Nails,Gall Bladder
The term rigor mortis means this.,A,Stiffness of death,Swollen corpse,Blue corpse,Blue death
The skin goes purple and waxy about one hour from time of death.,A,False,True,,Q A death erection is a post-mortem erection which occurs when a male individual dies vertically or face-down.  What causes this condition?
The face of the person becomes difficult to recognize 24 hours after death.,B,False,True,,"Q Due to this, there is almost no atmosphere on the Moon."
The side of the Moon that we see is this.,D,Different every night,Different every two weeks,Different every month,The same every night
The distance between the Moon and the Earth is approximately this much.,A,"238,897 miles (384,467km)","62,000 miles (100,000km)","155,342 miles (250,000 km)","260,975 miles (420,000 km)"
The Moon is changing its position it relation to the Earth. In what way?,C,Getting closer,Moving along the Earths Y axis,Moving away,Moving along the Earths X axis
Which factor ensures that many of the craters on the Moons surface remain well preserved in comparison to those on Earth?,C,The strong solar rays,The rotating movement,The lack of atmosphere,The influence of Earths gravity
When was the Moon formed?,B,About 5.7 billion years ago,About 4.5 billion years ago,"About 300,000 years ago",About 1 billion years ago
Moons shape is not quite round. What does it resemble?,A,Egg,Kiwi,Pear,Lemon
A compass cannot be used on the Moon.  What factor is responsible for this?,A,Lack of a magnetic field,Influence of Earths gravity,Asteroid impacts,Lack of gravity on the Moon
The Moon is taken into consideration when calculating the day of this religious celebration.,D,Thanksgiving,Memorial Day,Christmas,Easter
The Moons diameter is approximately this long.,B,"2,796 miles (4,500 km)","2,154 miles (3,476 km)","5,567 miles (8,960 km)","7,145 miles (11,500 km)"
"A large exposition at the Royal Observatory, Greenwich is devoted to horology, a science that studies what?",A,time,navigation,lenses,comets
"These animals are the subject of study of coleopterology, which is a subfield of entomology.",D,jaguars,tigers,snakes,beetles
A King Cobra and a frog would be subjects of study of what science?,D,autecology,astacology,reptology,herpetology
"This species, considered to have colonized almost every landmass on Earth, is studied by myrmecology.",B,bees,ants,flies,hornets
This material on the surface of a lithosphere is the subject of study of pedology.,D,turf,rock,rain,soil
"This country, known for the worlds longest continuously used written language system, is the subject of study of sinology.",A,China,Singapore,Japan,Korea
What national symbols are subject of study of vexillology?,A,flags,seals,national emblems,coat of arms
"What is the subject of study of thanatology, personified in Greek mythology by Thanatos?",A,death,plague,birth,grave
"This astral body, known as Earths only natural satellite, is the subject of study selenology.",D,Sun,Venus,Jupiter,Moon
This contractile tissue of the body is the subject of study of myology.,D,blood cells,bones,hairs,muscles
"What term is used to designate a hurricanes calm, low-pressure center around which winds of high velocity spin?",D,Outer rim,Eye wall,Rain bands,Eye
A swallow hole is an unnatural depression in earths surface formed by the collapse of a large building.,B,True,False,,Q What term refers to electric power produced by running or falling water?
What term do scientists use to denote the gradual warming of the planet due to absorption of infrared radiation by the atmosphere?,A,Greenhouse effect,Ozone depletion,Atmospheric termoincrease,Global dimming
The geological area called The Ring of Fire is located along the borders of the Pacific Ocean.,B,False,True,,Q Will two tectonic plates sliding away from each other result in an earthquake?
"Sinkholes, natural depressions in the surface topography, may vary largely in size.",A,True,False,,Q There are many different theories of how the Milky Way galaxy was born.
These biological poisons damage bio systems on contact. The injuries they cause resemble burns.,C,Oxidizers,Halides,Corrosives,Neurotoxins
Arsenic poisoning mainly disrupts this system.,B,Cardiovascular system,Digestive system,Endocrine system,Nervous system
Poisoning by this substance is often referred to as painters colic.,A,Lead,Thallium,Barium,Chromium
"Nicotine can be found in tomatoes, potatoes, green peppers, coca plants and tobacco.",A,True,False,,Q Troops who are likely to be attacked with chemical weapons often carry auto-injectors with this substance.
Strychnine poisoning produces some of the most terrifying and painful symptoms imaginable.,B,False,True,,"Q Three of these snakes produce venom, lethal to humans.  Which one does not?"
"In medical parlance, what is an A-line?",D,Anatomic line,Analog line,Afferent line,Arterial line
"After reading the following, what will a doctor conclude? Pt presents 3 d S/P TURP, with c/o HA x 2 d.",A,The patient has a headache.,The patient recently had abdominal surgery.,The patient has no current complaints.,The patient is female.
"What do abbreviations Rx, Tx, Hx and Sx mean?",C,"Pharmacy, Treatment Room, Hospital and Sanitorium","Renal, Thyroid, Uterine and Splenic","Prescription, Treatment, History and Symptom","Rectal, Thyroglossal, Hepatic and Splenic"
"In medical jargon, what are PMH, PSH, SH and FH?",A,"Past medical history, Past surgical history, Social history and Family history","Post-medical healing, Post-surgical healing, Surgical healing and Functional healing","Posterior middle hyoid, Posterior superior hyoid, Superficial hyoid and Foramen hyoidium","Patient mental hospital, Patient surgical hospital, Social hospital, and Female hospital"
"If the doctor writes, CNs 2-12 intact, which of the following would be true?",C,The patient is a man.,The cervical nerves are all functioning normally.,The patient is able to close and open the eyes.,All of the lymph nodes in the cervical chain are normal.
"In medical parlance, what is an AKA?",C,An alcoholic,An antibiotic,The removal of a limb,A patient
"If the doctor orders an EKG, what part of the body is going to be examined?",A,Heart,Brain,Peripheral Nerves,Abdomen
"In medical jargon, FH: CAD (M), DM (F) implies what?",C,"The patients mother died of an aneurysm, and the patients father died of a myocardial infarction.","The patients mother had a stroke, and the patients father had diabetes mellitus.",The patients mother had heart disease and the patients father had diabetes.,The patients mother was an engineer and the patients father was a computer programmer.
"In medical terms, what is a CVA?",D,An aneurysm,A type of accountant,A heart attack,A stroke
"At a party, a doctor asked a nurse: Are you an RN or an LPN?  The nurse replied: Im an RN. I got my BSN at Georgetown. Are you an MD or a DO?  The doctor replied: Im a DO. Which of the following statements can be concluded from this conversation?",C,The doctor is going to get lucky tonight.,The doctor is not really a doctor at all.,The doctor was trained in osteopathic manipulation.,The doctor is a chiropractor.
"If you were taking a course in entomology, what would you be studying?",D,Rocks,Snakes,Mold,Insects
"This science studies signs, both individually and grouped in sign systems.",B,Anthology,Semiology,Linguistics,Theology
Etymologists study the history of languages and how the forms and meanings of different words changed.,A,True,False,,Q What part of the human body does the science periodontics study?
"Ichthyology is the study of biting insects such a fleas, mosquitoes and wasps.",A,False,True,,Q What scientists study recent or fossilized skeletal remains in order to find traces of ancient diseases?
"People who suffer from this condition tend to be self-destructive. They may use drugs, or engage in promiscuous sexual activities.",C,Obsessive Compulsive Disorder,Panic Disorder,Borderline Personality Disorder,Generalized Anxiety Disorder
"People with this disorder engage in idiosyncratic behaviors, such as wearing an odd-looking hat every day, or wearing their pants backwards.",C,Antisocial Personality Disorder,Narcissistic Personality Disorder,Schizotypal Personality Disorder,Histrionic Personality Disorder
"This disorder, also known as manic depression, involves high risk of death through suicide.",C,Dependent Personality Disorder,Antisocial Personality Disorder,Bipolar Disorder,Schizophrenia
People suffreing from this mental illness manifest a psychiatric condition as a physical complaint.,C,Agoraphobia,Kleptomania,Somatization Disorder,Munchausen Syndrome
A person with this disorder has fluctuating levels of orientation.,D,Dementia,Psychosis,Delusional State,Delirium
"An old adage states, Neurotics build castles in the sand. Psychotics live in them.  Which one of the following disorders is not considered a neurosis?",A,Schizoid Personality Disorder,Obsessive-Compulsive Disorder,Panic Disorder,Agoraphobia
"According to statistics, which of the following people is most likely to commit suicide?",B,A recovering alcoholic.,A middle-aged divorced man.,A middle-aged divorced woman living alone.,A teenage boy who smokes marijuana.
Depression can cause brain damage.,B,False,True,,Q Three of the following four disorders are actually different names for the same disease. Which is the odd one?
People with this disorder have difficulty engaging in everyday human interaction.,A,Autism,Huntingtons Disease,Cerebral Palsy,Addisons Disease
"Located in the upper anterior portion of the chest cavity, the thymus is an organ belonging to which system of the human body?",C,Endocrine system,Integumentary system,Lymphatic System,Nervous system
Which are the endocrine systems so-called instant messengers used to affect distant cells within specific organs?,D,Nephrons,Neurons,Acids,Hormones
"In humans, which of these organs belongs to the integumentary system?",A,Skin,Tonsils,Liver,Pharynx
Mucus is a slippery secretion of the lining of various membranes typical for which system of the human body?,A,All of these,Reproductive system,Digestive system,Respiratory system
Which of the following is not a function of the circulatory system?,A,Excretion of unwanted substances,Stabilizing body temperature,Maintaing pH,Transport of vital substances
"Comparing a newborn babys skeletal system to an adults skeletal system, we will find out that the baby has about 60 bones more that the already completely developed person.",A,True,False,,Q Emphysema is a chronic disease affecting the organs of which system of the body?
"In humans, the nervous system is divided into a central nervous system and a peripheral nervous system. The peripheral nervous system has two more divisions. The first one is the autonomic nervous system. What is the second one?",D,Sympathetic nervous system,Parasympathetic nervous system,Enteric nervous system,Somatic nervous system
In the female body the breasts are organs of the reproductive system.,B,False,True,,"Q Australopithecus were early hominids that differed in many ways from modern-day humans -- they were short, and their brain-case was much smaller. In 1924, Raymond Dart found the first remains of an Australopithecus on this continent."
"The most complete Australopithecus skeleton, dubbed Lucy,  was found in 1974.  She was 1.10m (3 7) tall and weighed about 30kg (66lbs).  Anthropologists named the skeleton after this Lucy.",C,Lucille Ball from the TV show I Love Lucy,Lucy of Lucy Clothing Manufacturers,Lucy from The Beatles song Lucy in the Sky with Diamonds,Actress Lucy Liu
Ancient footsteps found in Tanzania prove that there were bipedal hominids as early as 3.8 million years ago.,B,False,True,,"Q Although the Australopithecus were much more intelligent and sophisticated than other animals at that time, they were still closer to monkeys than humans. Later, a new genus developed -- the Homo genus. The first Homo genus specie diverged from the Australopithecus and was called this."
"There is evidence that Sinanthropus pekinensis used tools and was able to light a fire. Unfortunately, the teeth of the Sinanthropus are still considered medicine and are sold in some pharmacies in its home country.",A,China,Zimbabwe,France,Japan
There are theories that Neanderthals actually buried their dead.,A,True,False,,"Q About 230,000 years ago one highly sophisticated and relatively intelligent specie of the Homo genus appeared; homo Neanderthalus was very well adapted to cold - it was short and muscular (many modern day heavy-weight champions would envy an average Neanderthal) and had a large nose. In 1983 the hyoid bone of a Neanderthal was found and that raised many disputes. What did this tiny bone prove?"
Neanderthals are the ancestors of modern-day humans.,A,False,True,,Q Which part of a building is also a computer operating system name?
Which animal can be connected to a computer USB port?,B,Dog,Mouse,Rat,Cat
Which of these is a popular database name?,B,Mosque,Oracle,Shrine,Church
Which bathroom item is also a communication protocol?,C,BRUSH,GEL,SOAP,COMB
Which wall is used for computer protection in the Internet or other networks?,A,Firewall,Wooden wall,Brickwall,Protective wall
"Which celestial body is also a name of a big American vendor of computers, computer components and software?",A,Sun,Venus,Moon,Pluto
Which commercial building can also store data?,A,Warehouse,Super market,Store,Shop
The name of which animal group is also a collective name for software errors?,D,Insects,Spiders,Ants,Bugs
Which of these is a computer for bulk data processing?,D,A-frame,Body-on-frame,Window-frame,Mainframe
Which hat is a distribution of the Linux operating system?,C,Black Hat,White Hat,Red Hat,Blue Hat
The name of which Native American group is also a name of an open source organization?,D,Iroquois,Navajo,Cherokees,Apache
The name of which island is also a computer programming language name?,C,Cuba,Jamaica,Java,Malta
How many bones (on average) does the human body contain?,B,207,206,208,205
A tendon is a tough band of fibrous connective tissue that connects a muscle to a bone.,B,False,True,,"Q This extremely vital nerve is responsible for such varied tasks as heart rate, gastrointestinal peristalsis and sweating. It also controls quite a few muscle movements in the mouth, including speech and keeping the larynx open for breathing."
"This organ, which is the largest gland in the human body, plays a major role in metabolism and has a variety of functions, including glycogen storage, plasma protein synthesis, and drug detoxification.",C,Gall Bladder,Pancreas,Liver,Kidney
Which statement correctly describes the superior vena cava?,D,II is the large vein that carries de-oxygenated blood from the lower half of the body into the heart.,"It is the largest artery in the human body, originating from the left ventricle of the heart and bringing oxygenated blood to all parts of the body",It is a vein that carries oxygen-rich blood from the lungs to the left atrium of the heart and is the only vein in the post-fetal human body that carries oxygenated blood.,"It is a large, yet short vein that carries de-oxygenated blood from the upper half of the body to the hearts right atrium."
Diarthrosis joints permit a variety of movement and can be divided into six classes. The femur and hip connection would be considered which joint class?,A,"Ball-and-socket joint (enarthrosis, spheroidal joint)",Hinge joint (ginglymus),"Pivot joint (trochoid joint, rotary joint)","Condyloid joint (condyloid articulation, ellipsoidal joint)"
There is no square root of two.,A,False,True,,Q There are twelve apples on a table. You take four. How many apples do you have now?
What is the only number with no reciprocal?,C,1,-1,0,Pi
Octo is a prefix meaning eight.  An Octopus has eight legs. An octagon has exactly 8 sides.  An Octogenarian is at least 8 decades old.  What is the eighth month?,B,November,August,October,September
