Questions,Correct,A,B,C,D
"Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.",A,False,True,,Q Zoophobia is the fear of animals.
The hummingbird is the worlds smallest bird.,B,False,True,,Q Which of these animals swims the fastest?
Which word refers to the sound peacocks make?,A,Scream,Squill,Squeak,Squall
Ancient Japanese thought this animal caused earthquakes.,B,Birds,Spiders,Snakes,Frogs
How many types of bats are there?,A,900,700,500,200
Chocolate cannot kill a dog.,B,True,False,,Q This animal can clean its own ears with its 21-inch tongue.
"It has been estimated that in Australia, there are about twice as many kangaroos as there are people.",A,True,False,,Q What is the fastest animal on 6 legs?
Sheep are similar to cows in that they have a stomach which contains four chambers.,B,False,True,,Q What is a female sheep called or known as?
What is the white tigers scientific name?,D,Pantha,Panthera tigis,Panthera tiger,Panthera tigris
Can tigers live to be 20 years old?,A,Yes,No,,Q All tigers have stripes.
Which of the following is not a type of chipmunk?,A,Bushy-tailed,Long-eared,Eastern,Sonoma
Which of these is not an actual breed of horse?,A,Sioux,Russian Trotter,Belgian,Murgese
Which of the following is not a breed of dog?,D,Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier
One of these is not a true breed of cat. Which one?,D,Pixie-bob,Maine coon,Ragdoll,French Twist
Which of these is not a type of beetle?,D,Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle
Which of the following is not a type of spider?,A,Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider
All but one of the following are true types of bears. Which is the odd one?,A,Moon bear,Brown bear,Black bear,Sun bear
Which of these is not an actual breed of sheep?,B,Scottish black-face,Dakota,Hampshire,Merino
One of these is not a true breed of chicken. Which one?,D,Hamburg,Plymouth Rock,Leghorn,Red-tailed
Which of the following is not a breed of pig?,C,Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X
What is a group of lions called?,D,Family,Group,School,Pride
There are more males then females in a pride.,A,False,True,,"Q Generally, how many times in an interval of 5 hours do lions mate?"
What is the breed of animal created from the crossing of a male lion and a female tiger?,D,Tigon,Tiges,Ligon,Liger
What is the breed of animal created from the crossing of a female lion and a male tiger?,C,Tigen,Liger,Tigon,Liges
What do male lions have which females do not possess?,B,An extra tooth,A mane,Longer nails,Distinguished eyes
What is the average lifespan of a lion living in the wild?,C,20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years
Are male lions are generally stronger then female lions?,B,No,Yes,,Q Female lions hunt in a group.
"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?",B,Stress,Displeasure,Boredom,Playfulness
"If a cat pushes its face against your head, this means what?",C,Impatience,Submission,Acceptance,Aggression
"Cats generally purr when they are happy, but they can also be heard purring in what other situation?",A,When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry
How many different vocalization sounds does a cat make?,A,100,200,50,150
All cats are born with green eyes.,B,True,False,,Q A cats front paws have 5 toes and their back paws have 4.
What was the largest  eagle ever found on Earth?,B,Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle
Which term refers to the group formed by frogs and amphibians?,B,Drosophillia,Herps,Mollusks,Nematodes
Which statement about elephants is untrue?,D,Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories
All pigs are classified as un-Kosher meaning they can not be eaten by Jewish people.,B,True,False,,Q What is alektorophobia?
How do scientists calculate the age of a fish?,C,They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.
"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?",A,The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach
Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?,D,minke whale,millipedes,elephants,hermit crabs
What type of animal is a lamprey?,B,worm,fish,insect,amphibian
What is the name of the first book by Darwin that directly dealt with evolution?,C,Essay on the Principles of Population,Totem and Taboo,On the Origins of the Species,The Descent of Man and the Selection in Relation to Sex
Which of these animals has the largest paws?,C,An average mountain lion,An average nematode,An average lynx,An average lichen
Sharks can only be found in salt water.,A,False,True,,Q The smallest species of shark in the world is the Dwarf Lanternfish.
Sharks must eat continually in order to survive.,B,True,False,,Q Sharks can have up to nine gills on each side of their body.
Rays and Skates are types of sharks.,A,True,False,,Q Sharks have poor vision.
More shark attacks occur during the day than at night.,B,False,True,,Q If attacked by a shark it is recommended that you punch the shark in the nose.
Sharks are immune to cancer.,B,True,False,,Q The dogfish is actually a common species of small shark.
"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?",D,Venezuela,United States,Brazil,Mexico
What maximum height at the withers can Chihuahuas reach?,B,24 inches (60 cm),15 inches (38 cm),12 inches (30 cm),9 inches (22 cm)
"Chihuahuas come in three colors: brindle, black, and camel.",B,True,False,,Q Chihuahuas are the only dogs to be born with what?
What is the average lifespan of Chihuahuas?,B,8 - 12 years,8- 18 years,8 - 26 years,8 - 15 years
The Chihuahua Gidget is famous for what reason?,C,Paris Hilton has it as a pet.,It was a fill-in mascot for the Georgia Bulldogs.,It was a mascot for Taco Bell.,It was a mascot for Taco John.
The Chihuahua is the smallest dog breed in the world.,B,False,True,,Q Chihuahuas are prone to hypoglycemia (low blood sugar).
What does the word “hippopotamus” mean?,C,Water pig,Fat horse,River horse,River pig
For their size hippos are pretty fast runners and are much faster than humans.,A,True,False,,Q How long in years is the life span of an average wild hippopotamus?
Hippos secrete a red substance known as blood sweat that protects them from the sun.,B,False,True,,Q Hippos are related to cetaceans (whales and porpoises).
The Spectacled bear makes its habitat around the Andes tropical basin.,A,True,False,,Q This is the basic food of the sea. Billions upon billions of these organisms live in the sea.
This is the result of the gravitational pull from the moon and sun.,B,Migration of certain species of whales,Tides,Shoreline,Waves
These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near.,D,Kelp,Jellyfish,Sponges,Sea Anemones
"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.",A,Oyster,Shrimp,Scallop,Lobster
"This crab is not really a crab, but an arthropod. Its closest relative is the spider.",B,Fiddler Crab,Horseshoe crab,Spider Crab,Rock Crab
"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.",D,Sea Mice,Ribbon Worms,Lugworms,Shipworms
Squid and octopus are mollusks.,B,False,True,,Q The Pacific lobster has large pincers and a spiny shell.
"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.",A,Sand Dollar,Star Fish,Scallop,Mussel
The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?,A,Emu,Platypus,Dingo,Koala
Which of these mammals was brought to Australia by humans?,B,The echidna,The dingo,The koala,The Tasmanian tiger
"Which of the following statements about echidnas, mammals native to Australia, is wrong?",D,Echidnas are covered with spines.,Echidnas have snouts.,Echidnas lay eggs.,Echidnas are marsupials.
The diet of the koala consists mainly of what plant species?,A,Eucalyptus,Bamboo,Willow,Cork Oak
Which one of these Australian reptiles is the largest living crocodile in the world?,D,The thorny devil,The weedy sea dragon,The blue-tongued skink,The saltwater crocodile
This Australian monotreme lays eggs and has a remarkable sense of electroception.,A,Platypus,Red kangaroo,Dingo,Emu
Which Australian animal is the largest living carnivorous marsupial on Earth?,B,The Tasmanian tiger,The Tasmanian devil,The platypus,The red kangaroo
"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?",B,Koala,Kangaroo,Emu,Tasmanian devil
"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?",B,There is no difference between them.,Males and females have different eye colour.,Galah males are crested.,Galah females have shorter tails.
What is the average weight of the Tasmanian Pygmy Possum?,D,About 250g,About 50g,About 100g,About 7g
Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?,C,Anole,Gila monster,Horned lizard,Komodo dragon
The venomous lizard Gila monster was named after what?,A,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?",B,North America,Indonesia,South-western China,Madagascar
Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?,C,Apotemnophilia,Autonomy,Autotomy,Autism
Which of these statements about geckos is true?,B,Geckos have toe pads which help them climb smooth vertical surfaces.,All of these,Geckos can make chirping sounds.,Geckos feed on insects.
Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?,D,Green melon,Karma lion,Colourful,Earth lion
Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?,B,A tiny insect lives under their eyelids and cleans their eyes.,They lick their own eyes.,They dip their eyes in water.,They cover their eyes with their toes.
The lizards which do not have legs are commonly known by what name?,A,Glass lizards,Monitor lizards,Skinks,Iguanas
Which of these lizard species is not endangered?,A,Eastern Bearded Dragon,Blunt-nosed Leopard Lizard,Mona Ground Iguana,Komodo Dragon
No lizard species live on which continent?,B,South America,Antarctica,Europe,Asia
"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.",A,whale shark,bull shark,great white shark,pygmy shark
This sharks white belly and grey back make it difficult for prey to spot.,C,hammerhead shark,tiger shark,great white shark,whale shark
Sharks have no bones.,A,True,False,,Q Have sharks been around for about 400 million years?
Which of these sharks has a flat body like a stingray?,D,basking shark,blue shark,blacktip reef shark,angel shark
"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.",C,cookie cutter shark,mako shark,goblin shark,angel shark
Which shark is the fastest swimmer?,B,goblin shark,mako shark,nurse shark,sandtiger shark
The zebra shark is very small and gentle and can be kept close to other fish.,B,False,True,,Q What is the common name for baby sharks?
Two thirds of a sharks brain is dedicated to its sense of smell.,B,False,True,,Q How many recognized giraffe subspecies exist?
Which of these is not a subspecies of giraffe?,D,Somali Giraffe,Rothschilds Giraffe,Kordofan Giraffe,East African Giraffe
How long is a giraffes gestation period?,C,18 - 20 months,10 months,14- 15 months,9 months
How many pounds of leaves can a giraffe consume daily?,C,60 pounds,100 pounds,140 pounds,210 pounds
Giraffes need less sleep than nearly every other animal.,B,False,True,,Q Giraffes were once thought to be a cross between a camel and a leopard.
What group of dogs does the beagle belong to?,C,retrievers,setters,hound,terriers
The beagle was developed mainly for tracking what animal?,B,squirrels,rabbits,raccoons,coyotes
About how many years have beagles been around?,A,"2,000","5,000","4,000","3,000"
Which of the following cartoon dogs was a beagle?,C,Courage,Scooby Doo,Snoopy,Clifford
The beagle is not a good choice for a childrens pet because it is aggressive.,A,False,True,,Q What is the typical lifespan of the beagle?
Beagles are sometimes used for termite detection in Australia.,B,False,True,,Q Are beagles easy to housebreak?
What type of coat do beagles have?,C,long,short,medium,depends on the dog
The puggle is a mix between a beagle and what dog?,D,papillion,puli,poodle,pug
In what country was the goldfish first domesticated?,B,Egypt,China,Japan,India
A goldfish can reach a weight of almost 10 lbs (4.5 kg),B,False,True,,Q How long can a goldfish live in optimal conditions?
The world record for the oldest goldfish is 49 years.,A,True,False,,Q In Europe goldfish were first introduced to what country?
What color goldfish were most prized by the Chinese royalty several centuries ago?,B,Silver,Yellow,Orange,Red
Goldfish can die from overeating.,A,True,False,,Q Is it true that goldfish only have a 3-second memory?
What color are wild goldfish?,D,Silver,Orange,Yellow,Green
Goldfish are good parents. They nurse and protect their young until they grow up enough to defend themselves.,A,False,True,,"Q This bird is the fastest animal on the planet in its hunting method, the stoop."
The Barn Owl likes to sleep all day long.,B,False,True,,Q Red-tailed Hawks are hunted in the USA because of their frequent attacks on domestic animals.
These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters.,D,Golden Eagle,Turkey Vulture,Spotted Owl,Harris Hawk
This animal is the largest of the deer family and can be found in the northern parts of North America.,B,Gazelle,Moose,White Tailed Deer,Elk
Which of these animals cannot be found in North America?,C,Flamingo,Walrus,Dingo,Beaver
"This bear, also known as a Silvertip bear, is native to North America.",D,Panda Bear,Polar Bear,Red Panda Bear,Grizzly Bear
The coyote lives in North America and also goes by this name.,B,Desert Dog,Prairie Wolf,Prairie Dog,Small Wolf
This North American animal is at the top of the food chain in the arctic region.,B,Walrus,Polar Bear,Arctic Fox,Penguin
This mammal is known for its black fur with a white stripe and for its apparent odor.,C,Sloth,Ferret,Skunk,Weasel
What type of animal is the cottonmouth?,B,Mouse,Snake,Bat,Lizard
This creature belongs to the rodent family and is covered in sharp spines or quills.,D,Nutria,Armadillo,Kiwi,Porcupine
How many species of skunk exist?,D,6,8,13,11
How many young skunks can be born in one litter?,C,1-10,1-5,1-7,1-4
What do skunks eat in the wild?,A,All of these,Insects,Meat,Fruit
How much of an effective range do skunks odor glands have?,A,15 feet,10 feet,8 feet,20 feet
Can skunks be trained to make good pets?,A,Yes,No,,Q Sometimes skunks kill domestic animals.
How many subspecies of Red Fox are found in India?,D,2,None. Red Fox are not native to India.,1,3
Which of these coat colors is not found in wild Red Fox populations?,D,Golden,Spotted,Red,Black
What is the top speed that the Red Fox can reach?,C,25 mph,35 mph,45 mph,55 mph
Which of these are eaten by the Red Fox?,C,Insects,worms,All of these,eggs
How long is the Red Foxs lifespan in the wild?,A,3 years,8 years,6 years,10 years
Fox hunting was made illegal in the U.K. in 2005.,A,True,False,,Q Do foxes hibernate in winter?
Approximately how long is a Red Foxs gestation period?,B,89 days,55 days,40 days,34 days
Is the Red Fox a protected species in most parts of the world?,A,No,Yes,,Q What is an adult male rooster known as?
What is the word used for someone that is afraid of chickens?,C,Xenophobic,Chickopobic,Alektorphobic,Avianphobic
Which of the following is not a breed of chicken?,D,Australorp,Cubalaya,Houdan,Chinese Crested
The Silkie chicken is the newest known breed.,A,False,True,,Q How many beats per minute does a chickens heart usually beat?
Which of the following color of egg is incorrect for a chicken egg?,A,black,white,pink,blue
All domestic chickens can be traced back to which bird?,C,The Wild Turkey,The Macaw,The Red Jungle Fowl,The Amazon Rain Forest Chicken
Which of the following characters is a chicken?,B,Dori,Foghorn Leghorn,Daffy,Kermit
What is the average lifespan of a lion in the wild?,C,6-9 years,20-24 years,10-14 years,15-20 years
The lion is the largest member of the cat species.,A,False,True,,Q Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?
What is the average maximal speed a lion can reach?,A,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
Lions are inactive about 20 hours per day.,B,False,True,,Q Approximately what amount of meat does an adult male lion’s diet require per day?
Like most mammals lions can only breed with one male ensuring that the offspring belong to just one male.,B,True,False,,Q Approximately how long is a lions gestation period?
Do white lions exsist in the wild?,A,Yes,No,,Q All penguins are found exclusively in the Southern Hemisphere.
How many species of penguins live in warm or even tropical environments?,D,0,3,2,4
"The larger the penguin species, the colder the region in which it is found.",B,False,True,,Q Which of these is the largest species of penguins?
Fossil records have shown a species of giant penguin that once stood 4 feet high.,A,False,True,,Q What does the word penguin mean?
"Large penguins can dive nearly 2,000 feet.",A,True,False,,Q Which of these animals is NOT a natural predator of penguins?
Penguins secrete salt from their nostrils.,B,False,True,,Q Where can the polar bear be found?
Polar bears are among penguins’ most dangerous natural enemies.,B,True,False,,Q What color is a polar bears skin?
A polar bear has white fur.,A,False,True,,Q Approximately how many wild polar bears are estimated to live across the Arctic?
Can polar bears be other colors besides white?,B,No,Yes,,"Q According to Guinness Book of World Records, the heaviest wild bear was caught in 1960 and weighed 1,960 lbs (890 kg). What was its length?"
"According to statistics from the past 3 decades of the 20th century, there is a significant drop in polar bears’ size.",A,True,False,,Q A polar bear is used as the marketing icon for which of these popular products?
Brown Bear/polar bear hybrids occur naturally in the wild.,A,True,False,,Q All dinosaurs were cold-blooded reptiles.
The smallest dinosaur known to science was the size of a chicken.,A,True,False,,Q All birds are descendants of dinosaurs.
Pterodactyls were large flying dinosaurs.,B,True,False,,Q Humans and human descendants hunted dinosaurs for food.
Some dinosaurs swam in the oceans.,B,True,False,,Q Mammals lived alongside dinosaurs.
All dinosaurs died out due to a meteor hitting the Earth.,B,True,False,,Q Tyrannosaurus Rex means Tyrant Lizard King.
The giant four-legged dinosaurs such as Apatosauras and Diplodocus are known as Theropods.,A,False,True,,Q The Labrador breed comes in 3 different colors.
The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?,C,65 - 110 pounds,40 - 55 pounds,55 - 80 pounds,20 - 60 pounds
What is the estimated average lifespan of a crocodile?,D,80+ years,50+ years,90+ years,70+ years
On which of these continents can you find the Salt Water Crocodile?,C,Africa,South America,Australia,North America
"In 2006, a crocodile housed at the Australia Zoo, was estimated to be 130 years old.",B,False,True,,Q A crocodile bite strength is up to how many pounds psi (per square inch)?
Crocodiles sex is determined by the temperature of their nest.,A,True,False,,Q Which of these is NOT a species of crocodile?
"According to data from the year 2001, crocodiles were the second leading cause of animal related death worldwide, second to venomous snakes.",A,False,True,,Q What is the average incubation period of crocodile eggs?
Beavers are the second largest rodents in the world after which animal?,C,Muskrat,Mountain Marmot,Capybara,Sea Otter
"In Europe, the European Beaver (Castor fiber) was almost wiped out. It was driven to near extinction because of its fur and its scent gland that was used for medicinal purposes.",A,True,False,,Q A beaver will build a dam even in dried up waterways if a recording of rushing water is played.
The North American Beaver is Canadas National symbol that adorns which Canadian coin?,B,Penny,Nickle,Quarter,Dime
In the 17th century a ban was placed on eating meat during lent but the beaver meat was not included in that ban.,A,True,False,,Q What is the gestation period of a beaver?
Can a beaver hold its breath underwater for more than 30 minutes?,B,Yes,No,,Q Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.
You can kill a butterfly if you hold its wings.,B,True,False,,Q Butterflies taste their food through this organ.
Butterflies do not have lungs. They breathe trough this organ.,B,The proboscis,The abdomen,The eyes,The legs
The butterfly is a relative to the crab and the lobster.,B,False,True,,Q This is what mostly attracts a butterfly to a flower.
The expression social butterfly is often used to describe a woman. It means that she does this.,C,Uses too much cosmetics,Behaves quite self-conceited,Flits from one person to another,Wears clothes with bright colors
Finish this old phrase:,,,"hen you call a dog, he comes right over to you. When you call a cat, she________________.",takes a message,climbs the curtains
Why does your cat interrupt you and want petting when youre on the phone?,A,your cat thinks you are talking to him/ her,to annoy you,to be a part of your telephone call,your cats is jealous that youre talking to someone else
Why do cats seem to be attracted to the one person who doesnt like cats?,D,Kitty wants to annoy them,Kitty thinks that person has food,Kitty wants to win them over,Kitty sees that person as unintimidating
Cats are so curious because they are always looking for food.,B,False,True,,Q Cats only purr when they are happy.
Why do cats suddenly race through the house?,B,They feel a change in the weather.,They have an overflow of pent-up energy.,They want to get your attention.,They feel the presence of a ghost.
Why does a cat rub against your leg?,C,Because she/ he really likes you.,Because it feels good.,To mark you by depositing his/ her scent,To show he/ she trusts you
Why does a cat bury his/ her waste?,B,To show their dominance,To protect their trail from predators,Because they are so territorial.,Because they are very clean animals.
A cats memory is about half as retentive as a dogs.,A,False,True,,"Q Why do cats always want in when they are out, and out when thery are in?"
Why do cats like to sleep in the sun?,A,To make up for the drop in body temperature when they sleep,To keep from shedding so much,It reminds them of being kittens,Because they can hear better when they are warm
Why do cats go crazy over catnip?,A,Because it smells like a cat in heat,Because it smells like prey,Because it smells like tasty food,Because it is an aphrodisiac
How many known species of earthworm exist worldwide?,C,"3,000","2,500","5,500","1,000"
"The Giant Gippsland Earthworm, the largest species of earthworm, can reach nearly 10 feet in length.",B,False,True,,Q How many hearts does a typical earthworm have?
Worm casts (waste) is richer in nutrients and essential particles than the first 6 inches of topsoil.,B,False,True,,Q Is soil pollution one of the biggest threats to earthworms?
Why do earthworms come to the surface after rainstorms?,D,The temperature on the surface is cooler.,They cant take the acid rain.,They can drown if their holes fill up.,No one knows for sure but there are four theories trying to explain this behaviour.
"Rich soil may contain up to 100,000 earthworms per square acre.",A,False,True,,Q How many species of earthworm are native to Australia?
One of the biggest threats to earthworm survival in the UK is the New Zealand Roundworm which feeds on earthworms.,B,True,False,,Q How many million of earthworms were exported from Canada and sold worldwide in 1980?
To which animal class do octopuses belong?,D,Mollusk,Coleoid,Nautiloid,Cephalopod
"As far as disguising is concerned, octopuses are among the most proficient species in nature.",B,False,True,,Q Octopuses can live in fresh water.
Which of the following animals is the least related to the octopus?,C,Scallop,Snail,Eel,Clam
How many arms do octopuses have?,A,8,5,0,2
Octopuses are known to kill sharks.,A,True,False,,Q Octopuses can not be kept as pets.
Approximately how tall is a grizzly bear when standing on its hind legs?,D,9 feet (2.7 m),7 feet (2.1 m),6 feet (1.8 m),8 feet (2.4 m)
Grizzly bears can be found in Europe and North America.,B,True,False,,Q In which country is the grizzly bear listed as a threatened species?
Grizzly bears are strict carnivores.,B,True,False,,"Q Although the grizzly bear is on the flag of this state, the last grizzly was shot there in 1922."
The grizzly bear is a subspecies of the brown bear.,A,True,False,,Q Which of these do grizzly bears eat?
Grizzly bears hibernate through the winter.,B,True,False,,Q How many fatal brown and grizzly bear attacks have been reported between 1900 and 2003 in North America?
"Should you feed a small dog, such as a miniature poodle, the same amount of food you should a large dog, for example a great dane?",A,No,Yes,,Q A water bowl should be kept within easy access for your dog at all times.
Which of these things is something you should never feed your dog?,B,Coconuts,Chocolate,Milk,Raw meat
"As a general rule, the bigger a dog is the more it should be exercised (walks, playing fetch, etc.)",A,True,False,,Q Which of these is only a dog food brand?
"Dogs sweat through their skin, like humans.",A,False,True,,Q A dog should never be left with a child under this age because the child may injure the dog or him/herself.
The dodos other name was The Robert Don.,B,False,True,,Q What were the dodos closest living relatives in nature?
Are their any complete dodo specimens anywhere in the world?,B,Yes,No,,Q In what year was the dodo discovered?
There is an intact dodo egg specimen housed in the East London museum in South Africa.,A,True,False,,Q In what year did the dodo become extinct?
The dodo was able to grow so large and become flightless because of the lack of natural predators on the island it inhabited.,B,False,True,,Q Are there any complete dodo skeletons anywhere in the world?
The does “cheetah” mean translated from Sanskrit?,B,Fast,Spotted One,Lightning,Stealth cat
The highest recorded speed a cheetah has obtained is 80 mph (130 km/h.),A,False,True,,Q What are cheetahs that have mutated patterning that creates blotches instead of spots called?
Cheetahs are only found in Africa.,A,False,True,,Q Which of these is not a sound made by cheetahs?
"Unlike most cats, cheetahs prefer to hunt during the day.",A,True,False,,Q The ruler of the Mughal Empire Akbar the Great was very enamored with cheetahs and it is said he kept a stable of how many of these cats?
The gestation period of a cheetah is about 90-95 days.,B,False,True,,Q What is the typical lifespan of the cheetah?
In 2007 the amount of cheetahs left in the wild dropped to what number?,A,"12,000","20,000","30,000","5,000"
Are frogs reptiles?,B,Yes,No,,Q What frog is the most poisonous?
Baby frogs are called pups.,B,True,False,,Q Which of these types of frogs shares its name with an animal that is not a frog?
Do all frogs live their whole life in water?,B,Yes,No,,Q The African Bullfrog is the largest frog.
Are Red-eyed Tree Frogs carnivores?,A,Yes,No,,Q What is the smallest frog?
There are frogs that can fly (or make fly-like movements),A,True,False,,Q Do frogs have gills?
Frogs can breathe underwater.,B,False,True,,Q How many species of zebra are known to exist?
Which one of these is not a species of zebra?,A,Savanna Zebra,Cape Mountain Zebra,Grevys Zebra,Plains Zebra
Can a zebra be ridden if trained properly?,A,Yes,No,,Q How tall is a typical zebra at the shoulder?
Zebras are related to rhinos.,A,True,False,,Q How fast can a zebra run?
Which of these are not a function of a zebras stripes?,A,A warning sign to other zebras,Identification within the herd,Heat dissipation,Confusion of predators
How long can a zebra live in captivity?,C,30 years,20 years,40 years,15 years
This type of ant causes a lot of allergic reactions in the USA.,D,Jack Jumper  ant,Bulldog ant,Western brown ant,Fire ant
This type of ant is considered the most venomous of all insects.,C,Western brown ant,Bulldog ant,Jack jumper ant,Fire ant
About how long have ants been around on Earth?,C,8 million years,45 milllion years,60 million years,25 million years
The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?,A,"300,000,000","30,000,000","700,000,000","1,500,000"
What are the three basic parts of an ants body?,B,"Antennae, abdomen, thoraces","Head, mesosoma, metasoma","Head, abdomen, metasoma","Head, thorax, somatomy"
